pressure,agent,mean_true,mean_proxy,random_mean_proxy,proxy_gain_over_random,trap_rate,random_trap_rate
4,proxy_maximizer,-6.114000000000001,15.587833333333332,7.2908333333333335,8.296999999999999,0.35,0.11666666666666667
4,satisficer,-5.967333333333333,15.388333333333332,7.2908333333333335,8.097499999999998,0.35,0.11666666666666667
4,quantilizer,-6.114000000000001,15.587833333333332,7.2908333333333335,8.296999999999999,0.35,0.11666666666666667
8,proxy_maximizer,-9.175000000000002,21.676666666666666,3.147666666666667,18.529,0.5,0.05
8,satisficer,-8.436333333333334,20.61733333333333,3.147666666666667,17.469666666666665,0.5,0.05
8,quantilizer,-6.325666666666667,15.286666666666665,3.147666666666667,12.139,0.35,0.05
16,proxy_maximizer,-16.168333333333337,29.37883333333333,5.1605,24.21833333333333,0.6666666666666666,0.1
16,satisficer,-9.996333333333334,24.659333333333333,5.1605,19.498833333333334,0.6,0.1
16,quantilizer,-6.398,15.869333333333334,5.1605,10.708833333333335,0.35,0.1
32,proxy_maximizer,-26.475000000000005,41.801,2.9998333333333336,38.80116666666667,0.9166666666666666,0.06666666666666667
32,satisficer,-13.967333333333334,30.43283333333333,2.9998333333333336,27.432999999999996,0.8,0.06666666666666667
32,quantilizer,-8.197333333333335,17.6465,2.9998333333333336,14.646666666666667,0.4166666666666667,0.06666666666666667
64,proxy_maximizer,-35.24133333333334,53.827999999999996,5.777,48.050999999999995,0.9833333333333333,0.15
64,satisficer,-16.00766666666667,32.81516666666666,5.777,27.038166666666662,0.8666666666666667,0.15
64,quantilizer,-8.448333333333334,19.208666666666666,5.777,13.431666666666665,0.5,0.15
128,proxy_maximizer,-43.15533333333334,64.69816666666665,5.086333333333333,59.611833333333315,1.0,0.13333333333333333
128,satisficer,-16.173000000000002,33.03033333333333,5.086333333333333,27.944,0.8833333333333333,0.13333333333333333
128,quantilizer,-7.7073333333333345,19.78783333333333,5.086333333333333,14.7015,0.4666666666666667,0.13333333333333333
256,proxy_maximizer,-52.15833333333334,76.65683333333332,5.432333333333333,71.22449999999999,1.0,0.1
256,satisficer,-16.173000000000002,33.03033333333333,5.432333333333333,27.598,0.8833333333333333,0.1
256,quantilizer,-8.344666666666667,20.340333333333334,5.432333333333333,14.908000000000001,0.5,0.1
