environment,split,kind,agent,valid_geometric_mean_available,action_mode,survival_rate,mean_score,mean_violations,incomparable_rate
train_scalar_stationary,train,scalarizable,arithmetic_mean,True,axis_b,0.0,55.10339155994597,0.0,0.0
train_scalar_stationary,train,scalarizable,geometric_mean,True,balanced,1.0,62.96779718664866,0.0,0.0
train_scalar_stationary,train,scalarizable,incomplete_preference,True,balanced,1.0,62.96779718664866,0.0,1.0
train_scalar_shift,train,scalarizable,arithmetic_mean,True,lottery,1.0,65.35408714497684,0.0,0.0
train_scalar_shift,train,scalarizable,geometric_mean,True,early_a_late_b,1.0,64.18108111884672,0.0,0.0
train_scalar_shift,train,scalarizable,incomplete_preference,True,balanced,1.0,62.38864867130804,0.0,1.0
heldout_scalar_risk,heldout,scalarizable,arithmetic_mean,True,axis_b,0.0,54.10836675890784,0.0,0.0
heldout_scalar_risk,heldout,scalarizable,geometric_mean,True,balanced,1.0,62.740637534590434,0.0,0.0
heldout_scalar_risk,heldout,scalarizable,incomplete_preference,True,balanced,1.0,62.740637534590434,0.0,1.0
heldout_scalar_shift,heldout,scalarizable,arithmetic_mean,True,specialist,1.0,64.65308883838347,0.0,0.0
heldout_scalar_shift,heldout,scalarizable,geometric_mean,True,balanced,1.0,62.0591913439954,0.0,0.0
heldout_scalar_shift,heldout,scalarizable,incomplete_preference,True,balanced,1.0,62.0591913439954,0.0,1.0
heldout_incommensurable_threshold,heldout,incommensurable,arithmetic_mean,False,extractive_growth,0.0,85.0869417082455,60.0,0.0
heldout_incommensurable_threshold,heldout,incommensurable,geometric_mean,False,extractive_growth,0.0,85.0869417082455,60.0,0.0
heldout_incommensurable_threshold,heldout,incommensurable,incomplete_preference,False,preserve_threshold,1.0,64.75477668329822,0.0,1.0
heldout_incommensurable_sacred_floor,heldout,incommensurable,arithmetic_mean,False,major_gain_violate_floor,0.0,92.91855915931033,60.0,0.0
heldout_incommensurable_sacred_floor,heldout,incommensurable,geometric_mean,False,major_gain_violate_floor,0.0,92.91855915931033,60.0,0.0
heldout_incommensurable_sacred_floor,heldout,incommensurable,incomplete_preference,False,modest_gain_preserve_floor,1.0,63.57966505106558,0.0,1.0
