profile,n_agents,frame_width,mean_fraction,empty_rate
iid_beta,2,0.15,0.009482450922070196,0.66
iid_beta,2,0.25,0.0537180249851279,0.32
iid_beta,2,0.35,0.1611659726353361,0.04
iid_beta,2,0.45,0.32894705532421176,0.0
iid_beta,2,0.55,0.5319333729922665,0.0
iid_beta,4,0.15,0.0,1.0
iid_beta,4,0.25,0.005246876859012492,0.76
iid_beta,4,0.35,0.0537180249851279,0.14
iid_beta,4,0.45,0.182558001189768,0.0
iid_beta,4,0.55,0.3764306960142772,0.0
iid_beta,8,0.15,0.0,1.0
iid_beta,8,0.25,0.0005234979179060083,0.96
iid_beta,8,0.35,0.012135633551457465,0.62
iid_beta,8,0.45,0.07954788816180844,0.0
iid_beta,8,0.55,0.22593694229625225,0.0
iid_beta,16,0.15,0.0,1.0
iid_beta,16,0.25,0.0,1.0
iid_beta,16,0.35,0.0009042236763831052,0.88
iid_beta,16,0.45,0.026579417013682334,0.04
iid_beta,16,0.55,0.12811421772754314,0.0
iid_beta,32,0.15,0.0,1.0
iid_beta,32,0.25,0.0,1.0
iid_beta,32,0.35,0.0,1.0
iid_beta,32,0.45,0.008804283164782867,0.22
iid_beta,32,0.55,0.08202260559190958,0.0
clustered,2,0.15,0.0032599643069601424,0.52
clustered,2,0.25,0.06425936942296252,0.0
clustered,2,0.35,0.20360499702558002,0.0
clustered,2,0.45,0.4190957763236169,0.0
clustered,2,0.55,0.7040333135038668,0.0
clustered,4,0.15,0.0001189767995240928,0.92
clustered,4,0.25,0.03352766210588935,0.0
clustered,4,0.35,0.14450922070196312,0.0
clustered,4,0.45,0.33163593099345623,0.0
clustered,4,0.55,0.5926472337894111,0.0
clustered,8,0.15,0.0,1.0
clustered,8,0.25,0.015229030339083878,0.08
clustered,8,0.35,0.10222486615110053,0.0
clustered,8,0.45,0.2654610350981559,0.0
clustered,8,0.55,0.5048423557406305,0.0
clustered,16,0.15,0.0,1.0
clustered,16,0.25,0.007971445568114218,0.16
clustered,16,0.35,0.08120166567519334,0.0
clustered,16,0.45,0.23073170731707318,0.0
clustered,16,0.55,0.4564069006543724,0.0
clustered,32,0.15,0.0,1.0
clustered,32,0.25,0.0029030339083878642,0.36
clustered,32,0.35,0.06,0.0
clustered,32,0.45,0.19363474122546104,0.0
clustered,32,0.55,0.4034146341463415,0.0
cross_cutting,2,0.15,0.012552052349791792,0.6
cross_cutting,2,0.25,0.07809637120761452,0.02
cross_cutting,2,0.35,0.22366448542534204,0.0
cross_cutting,2,0.45,0.40361689470553247,0.0
cross_cutting,2,0.55,0.6106365258774539,0.0
cross_cutting,4,0.15,9.518143961927425e-05,0.98
cross_cutting,4,0.25,0.014586555621653778,0.2
cross_cutting,4,0.35,0.0981915526472338,0.0
cross_cutting,4,0.45,0.2517668054729328,0.0
cross_cutting,4,0.55,0.4703152885187389,0.0
cross_cutting,8,0.15,0.0,1.0
cross_cutting,8,0.25,0.0010469958358120166,0.72
cross_cutting,8,0.35,0.04558001189767995,0.0
cross_cutting,8,0.45,0.1673170731707317,0.0
cross_cutting,8,0.55,0.3641998810232005,0.0
cross_cutting,16,0.15,0.0,1.0
cross_cutting,16,0.25,7.138607971445568e-05,0.96
cross_cutting,16,0.35,0.0252587745389649,0.0
cross_cutting,16,0.45,0.12519928613920286,0.0
cross_cutting,16,0.55,0.3012849494348602,0.0
cross_cutting,32,0.15,0.0,1.0
cross_cutting,32,0.25,0.0,1.0
cross_cutting,32,0.35,0.01684711481261154,0.0
cross_cutting,32,0.45,0.1053658536585366,0.0
cross_cutting,32,0.55,0.270029744199881,0.0
