maintenance_cost,benefit,penalty,partial_fraction,mean_first_completion
0.0,0.0,0.0,0.72,20.071428571428573
0.0,0.0,0.1,0.9,12.8
0.0,0.0,0.2,0.76,17.0
0.0,0.0,0.4,0.9,25.6
0.0,0.0,0.8,0.88,15.0
0.0,0.02,0.0,0.06,10.680851063829786
0.0,0.02,0.1,0.32,14.264705882352942
0.0,0.02,0.2,0.18,14.634146341463415
0.0,0.02,0.4,0.16,12.404761904761905
0.0,0.02,0.8,0.18,13.536585365853659
0.0,0.04,0.0,0.0,2.8
0.0,0.04,0.1,0.0,4.38
0.0,0.04,0.2,0.0,3.66
0.0,0.04,0.4,0.0,4.52
0.0,0.04,0.8,0.0,5.74
0.0,0.06,0.0,0.0,0.5
0.0,0.06,0.1,0.0,1.62
0.0,0.06,0.2,0.0,1.7
0.0,0.06,0.4,0.0,1.3
0.0,0.06,0.8,0.0,1.98
0.0,0.08,0.0,0.0,0.02
0.0,0.08,0.1,0.0,1.26
0.0,0.08,0.2,0.0,0.8
0.0,0.08,0.4,0.0,0.84
0.0,0.08,0.8,0.0,0.98
0.0,0.1,0.0,0.0,0.0
0.0,0.1,0.1,0.0,0.9
0.0,0.1,0.2,0.0,0.78
0.0,0.1,0.4,0.0,0.76
0.0,0.1,0.8,0.0,0.86
0.0,0.2,0.0,0.0,0.0
0.0,0.2,0.1,0.0,0.88
0.0,0.2,0.2,0.0,0.96
0.0,0.2,0.4,0.0,0.84
0.0,0.2,0.8,0.0,0.78
0.0,0.4,0.0,0.0,0.0
0.0,0.4,0.1,0.0,0.0
0.0,0.4,0.2,0.0,0.5
0.0,0.4,0.4,0.0,0.94
0.0,0.4,0.8,0.0,0.86
0.0,0.8,0.0,0.0,0.0
0.0,0.8,0.1,0.0,0.0
0.0,0.8,0.2,0.0,0.0
0.0,0.8,0.4,0.0,0.66
0.0,0.8,0.8,0.0,0.88
0.02,0.0,0.0,1.0,
0.02,0.0,0.1,1.0,
0.02,0.0,0.2,0.98,6.0
0.02,0.0,0.4,1.0,
0.02,0.0,0.8,1.0,
0.02,0.02,0.0,0.88,20.5
0.02,0.02,0.1,0.88,13.833333333333334
0.02,0.02,0.2,0.82,18.555555555555557
0.02,0.02,0.4,0.88,16.0
0.02,0.02,0.8,0.88,18.833333333333332
0.02,0.04,0.0,0.08,12.23913043478261
0.02,0.04,0.1,0.18,15.707317073170731
0.02,0.04,0.2,0.18,14.560975609756097
0.02,0.04,0.4,0.24,16.394736842105264
0.02,0.04,0.8,0.22,13.897435897435898
0.02,0.06,0.0,0.0,2.42
0.02,0.06,0.1,0.0,5.0
0.02,0.06,0.2,0.0,4.76
0.02,0.06,0.4,0.0,4.02
0.02,0.06,0.8,0.0,4.7
0.02,0.08,0.0,0.0,0.5
0.02,0.08,0.1,0.0,1.32
0.02,0.08,0.2,0.0,1.68
0.02,0.08,0.4,0.0,2.32
0.02,0.08,0.8,0.0,1.76
0.02,0.1,0.0,0.0,0.08
0.02,0.1,0.1,0.0,1.2
0.02,0.1,0.2,0.0,1.46
0.02,0.1,0.4,0.0,0.82
0.02,0.1,0.8,0.0,1.12
0.02,0.2,0.0,0.0,0.0
0.02,0.2,0.1,0.0,0.76
0.02,0.2,0.2,0.0,0.78
0.02,0.2,0.4,0.0,1.22
0.02,0.2,0.8,0.0,0.9
0.02,0.4,0.0,0.0,0.0
0.02,0.4,0.1,0.0,0.0
0.02,0.4,0.2,0.0,0.64
0.02,0.4,0.4,0.0,0.68
0.02,0.4,0.8,0.0,0.84
0.02,0.8,0.0,0.0,0.0
0.02,0.8,0.1,0.0,0.0
0.02,0.8,0.2,0.0,0.0
0.02,0.8,0.4,0.0,0.78
0.02,0.8,0.8,0.0,0.66
0.05,0.0,0.0,1.0,
0.05,0.0,0.1,1.0,
0.05,0.0,0.2,1.0,
0.05,0.0,0.4,1.0,
0.05,0.0,0.8,1.0,
0.05,0.02,0.0,1.0,
0.05,0.02,0.1,1.0,
0.05,0.02,0.2,1.0,
0.05,0.02,0.4,1.0,
0.05,0.02,0.8,1.0,
0.05,0.04,0.0,1.0,
0.05,0.04,0.1,0.98,36.0
0.05,0.04,0.2,0.96,18.5
0.05,0.04,0.4,0.96,14.5
0.05,0.04,0.8,0.96,18.5
0.05,0.06,0.0,0.48,18.03846153846154
0.05,0.06,0.1,0.6,18.25
0.05,0.06,0.2,0.64,18.11111111111111
0.05,0.06,0.4,0.7,14.6
0.05,0.06,0.8,0.68,15.4375
0.05,0.08,0.0,0.02,4.8979591836734695
0.05,0.08,0.1,0.0,8.84
0.05,0.08,0.2,0.02,9.653061224489797
0.05,0.08,0.4,0.04,9.5625
0.05,0.08,0.8,0.02,9.673469387755102
0.05,0.1,0.0,0.0,0.68
0.05,0.1,0.1,0.0,2.34
0.05,0.1,0.2,0.0,2.16
0.05,0.1,0.4,0.0,2.78
0.05,0.1,0.8,0.0,2.72
0.05,0.2,0.0,0.0,0.0
0.05,0.2,0.1,0.0,0.72
0.05,0.2,0.2,0.0,0.74
0.05,0.2,0.4,0.0,0.94
0.05,0.2,0.8,0.0,0.96
0.05,0.4,0.0,0.0,0.0
0.05,0.4,0.1,0.0,0.0
0.05,0.4,0.2,0.0,0.78
0.05,0.4,0.4,0.0,0.64
0.05,0.4,0.8,0.0,0.92
0.05,0.8,0.0,0.0,0.0
0.05,0.8,0.1,0.0,0.0
0.05,0.8,0.2,0.0,0.0
0.05,0.8,0.4,0.0,0.5
0.05,0.8,0.8,0.0,0.84
