split,seed,governor,collapse_time,shock_survived,final_population,median_population,mean_gini,recovery_floor_time
train,6000,arithmetic_mean,117,False,0,4.5,0.2605364648797928,81
train,6000,geometric_mean,180,True,11,10.0,0.3134837583799793,81
train,6000,incomplete_preference,117,False,0,4.5,0.284552278147761,81
train,6001,arithmetic_mean,96,False,0,5.0,0.2832808447187982,80
train,6001,geometric_mean,102,False,0,7.0,0.2691049424984687,80
train,6001,incomplete_preference,135,False,0,6.0,0.23171272223697745,76
train,6002,arithmetic_mean,118,False,0,4.0,0.21479647085800133,80
train,6002,geometric_mean,129,False,0,6.0,0.25328047546514676,81
train,6002,incomplete_preference,180,True,10,9.0,0.25956507490824793,81
train,6003,arithmetic_mean,128,False,0,5.5,0.23369778114259615,78
train,6003,geometric_mean,180,True,10,9.5,0.26635313133909033,83
train,6003,incomplete_preference,124,False,0,4.0,0.21604734628690356,79
train,6004,arithmetic_mean,120,False,0,3.0,0.23703165091391906,76
train,6004,geometric_mean,180,True,10,9.0,0.26643992937188726,80
train,6004,incomplete_preference,99,False,0,3.0,0.279096783245241,79
train,6005,arithmetic_mean,96,False,0,1.0,0.23737964128778266,77
train,6005,geometric_mean,114,False,0,4.0,0.26429498583383926,80
train,6005,incomplete_preference,131,False,0,3.0,0.21958045606778134,78
train,6006,arithmetic_mean,117,False,0,4.5,0.21098041828881067,74
train,6006,geometric_mean,130,False,0,7.5,0.24945456170551775,83
train,6006,incomplete_preference,101,False,0,1.5,0.24098333138286407,72
train,6007,arithmetic_mean,118,False,0,3.0,0.18369184761053967,80
train,6007,geometric_mean,126,False,0,4.5,0.20145600447968076,83
train,6007,incomplete_preference,129,False,0,4.5,0.15987562448828818,81
train,6008,arithmetic_mean,120,False,0,6.5,0.22987338117252895,77
train,6008,geometric_mean,105,False,0,7.5,0.27393184852477725,78
train,6008,incomplete_preference,128,False,0,6.5,0.2082033895580965,77
train,6009,arithmetic_mean,128,False,0,5.0,0.23848751714560332,83
train,6009,geometric_mean,180,True,10,9.0,0.2845213048143355,82
train,6009,incomplete_preference,114,False,0,5.0,0.2600945075795171,82
train,6010,arithmetic_mean,93,False,0,3.5,0.28255835452130323,82
train,6010,geometric_mean,127,False,0,8.5,0.24641360082310082,85
train,6010,incomplete_preference,96,False,0,4.5,0.2877828350733213,82
train,6011,arithmetic_mean,135,False,0,5.0,0.2184202174592321,75
train,6011,geometric_mean,119,False,0,3.0,0.22845159788603062,77
train,6011,incomplete_preference,121,False,0,4.0,0.21510693226511424,75
train,6012,arithmetic_mean,106,False,0,4.0,0.28267015698387266,77
train,6012,geometric_mean,121,False,0,3.5,0.27411059797087434,77
train,6012,incomplete_preference,136,True,0,4.0,0.22286577050243692,80
train,6013,arithmetic_mean,106,False,0,4.0,0.2599295839386923,84
train,6013,geometric_mean,180,True,10,10.0,0.27869300119402113,86
train,6013,incomplete_preference,147,True,0,6.0,0.20023272655801327,84
train,6014,arithmetic_mean,115,False,0,3.0,0.2447083897241939,79
train,6014,geometric_mean,180,True,10,8.0,0.29118153571119343,78
train,6014,incomplete_preference,180,True,9,8.0,0.3052438581554441,80
train,6015,arithmetic_mean,90,False,0,1.0,0.2815905872730107,79
train,6015,geometric_mean,114,False,0,4.0,0.28454863034744354,82
train,6015,incomplete_preference,180,True,9,8.0,0.2748455572334851,81
train,6016,arithmetic_mean,104,False,0,3.5,0.27832295239075167,79
train,6016,geometric_mean,180,True,10,9.0,0.279717307479577,82
train,6016,incomplete_preference,121,False,0,5.5,0.2513046989183248,79
train,6017,arithmetic_mean,112,False,0,2.0,0.20827342492307066,75
train,6017,geometric_mean,180,True,10,9.0,0.27249432521220485,77
train,6017,incomplete_preference,147,True,0,3.0,0.17405720599401878,76
train,6018,arithmetic_mean,122,False,0,3.0,0.20644701120080072,81
train,6018,geometric_mean,180,True,10,9.0,0.2578324250981677,82
train,6018,incomplete_preference,136,True,0,3.0,0.20534453837265237,81
train,6019,arithmetic_mean,107,False,0,3.5,0.23005370656905252,83
train,6019,geometric_mean,180,True,10,8.0,0.2677935552541651,82
train,6019,incomplete_preference,112,False,0,4.5,0.26146374537008715,84
train,6020,arithmetic_mean,130,False,0,2.5,0.20441326424792175,81
train,6020,geometric_mean,180,True,12,10.5,0.2958334743060275,83
train,6020,incomplete_preference,110,False,0,3.5,0.24119577021702338,81
train,6021,arithmetic_mean,112,False,0,3.0,0.23189270304655968,77
train,6021,geometric_mean,113,False,0,3.0,0.2693493126147996,76
train,6021,incomplete_preference,99,False,0,3.0,0.2523315916930133,77
train,6022,arithmetic_mean,119,False,0,3.0,0.20879820387109316,78
