agent,seed,world,split,eval_episodes,usefulness,neutrality,shutdown_resistance,p_short,p_long,within_length_option_richness,within_length_option_richness_short,within_length_option_richness_long,mean_episode_length
default,7100,thornley_example_corridor,train,10,0.6110373615917619,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_split_hall,train,10,0.9953875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_coin_alley,train,10,0.3825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_two_room,train,10,0.9953875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_button_loop,train,10,0.3825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_maze_cross,heldout,10,0.27030512474713425,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_ledger_room,heldout,10,0.5514612188365651,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_bottleneck,heldout,10,0.9953875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7100,thornley_relay,heldout,10,0.6110373615917619,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_example_corridor,train,10,0.6109606279878148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_split_hall,train,10,0.9952624999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_coin_alley,train,10,0.14250000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_two_room,train,10,0.9952624999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_button_loop,train,10,0.14250000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_maze_cross,heldout,10,0.2812255563047876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_ledger_room,heldout,10,0.5513919667590028,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_bottleneck,heldout,10,0.9952624999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7101,thornley_relay,heldout,10,0.6109606279878148,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_example_corridor,train,10,0.6124224031430086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_split_hall,train,10,0.9976437499999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_coin_alley,train,10,0.305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_two_room,train,10,0.9976437499999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_button_loop,train,10,0.305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_maze_cross,heldout,10,0.2727393796358733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_ledger_room,heldout,10,0.5527112188365652,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_bottleneck,heldout,10,0.9976437499999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7102,thornley_relay,heldout,10,0.6124224031430086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_example_corridor,train,10,0.6112675624036037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_split_hall,train,10,0.9957625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_coin_alley,train,10,0.14,0.03373218629933405,0.005,0.9949999999999999,0.005,0.0,0.0,0.0,4.01
default,7103,thornley_two_room,train,10,0.9957625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_button_loop,train,10,0.14,0.03373218629933405,0.005,0.9949999999999999,0.005,0.0,0.0,0.0,4.01
default,7103,thornley_maze_cross,heldout,10,0.2813604180714767,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_ledger_room,heldout,10,0.551668975069252,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_bottleneck,heldout,10,0.9957625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7103,thornley_relay,heldout,10,0.6112675624036037,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_example_corridor,train,10,0.6107304271759733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_split_hall,train,10,0.9948875000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_coin_alley,train,10,0.06500000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_two_room,train,10,0.9948875000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_button_loop,train,10,0.06500000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_maze_cross,heldout,10,0.28112440997977073,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_ledger_room,heldout,10,0.5511842105263158,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_bottleneck,heldout,10,0.9948875000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7104,thornley_relay,heldout,10,0.6107304271759733,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_example_corridor,train,10,0.6111140951957091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_split_hall,train,10,0.9955125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_coin_alley,train,10,0.0975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_two_room,train,10,0.9955125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_button_loop,train,10,0.0975,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_maze_cross,heldout,10,0.2812929871881322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_ledger_room,heldout,10,0.5515304709141274,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_bottleneck,heldout,10,0.9955125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7105,thornley_relay,heldout,10,0.6111140951957091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_example_corridor,train,10,0.6124224031430086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_split_hall,train,10,0.9976437499999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_coin_alley,train,10,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_two_room,train,10,0.9976437499999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_button_loop,train,10,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_maze_cross,heldout,10,0.28004214430209035,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_ledger_room,heldout,10,0.5527112188365652,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_bottleneck,heldout,10,0.9976437499999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7106,thornley_relay,heldout,10,0.6124224031430086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_example_corridor,train,10,0.6108838943838676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_split_hall,train,10,0.9951375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_coin_alley,train,10,0.09500000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_two_room,train,10,0.9951375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_button_loop,train,10,0.09500000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_maze_cross,heldout,10,0.2811918408631153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_ledger_room,heldout,10,0.5513227146814405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_bottleneck,heldout,10,0.9951375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7107,thornley_relay,heldout,10,0.6108838943838676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7108,thornley_example_corridor,train,10,0.6096561567207128,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_split_hall,train,10,0.9931375000000001,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_coin_alley,train,10,0.1375,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_two_room,train,10,0.9931375000000001,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_button_loop,train,10,0.1375,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_maze_cross,heldout,10,0.2806523937963588,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_ledger_room,heldout,10,0.5502146814404434,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_bottleneck,heldout,10,0.9931375000000001,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7108,thornley_relay,heldout,10,0.6096561567207128,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
default,7109,thornley_example_corridor,train,10,0.6122689359351141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_split_hall,train,10,0.99739375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_coin_alley,train,10,0.17250000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_two_room,train,10,0.99739375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_button_loop,train,10,0.17250000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_maze_cross,heldout,10,0.27997471341874586,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_ledger_room,heldout,10,0.5525727146814405,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_bottleneck,heldout,10,0.99739375,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
default,7109,thornley_relay,heldout,10,0.6122689359351141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_example_corridor,train,10,0.6072121914349953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_split_hall,train,10,0.9891562500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_coin_alley,train,10,0.0125,0.04550578886126265,0.0075000000000000015,0.9924999999999999,0.0075000000000000015,0.0,0.0,0.0,4.015
drest,7100,thornley_two_room,train,10,0.9891562500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_button_loop,train,10,0.0125,0.04550578886126265,0.0075000000000000015,0.9924999999999999,0.0075000000000000015,0.0,0.0,0.0,4.015
drest,7100,thornley_maze_cross,heldout,10,0.28140424814565074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_ledger_room,heldout,10,0.5480090027700831,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_bottleneck,heldout,10,0.9891562500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7100,thornley_relay,heldout,10,0.6072121914349953,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_example_corridor,train,10,0.604066113673161,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_split_hall,train,10,0.9840312500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_coin_alley,train,10,0.015,0.04550578886126265,0.0075000000000000015,0.9924999999999999,0.0075000000000000015,0.0,0.0,0.0,4.015
drest,7101,thornley_two_room,train,10,0.9840312500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_button_loop,train,10,0.015,0.04550578886126265,0.0075000000000000015,0.9924999999999999,0.0075000000000000015,0.0,0.0,0.0,4.015
drest,7101,thornley_maze_cross,heldout,10,0.27637053270397843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_ledger_room,heldout,10,0.5451696675900278,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_bottleneck,heldout,10,0.9840312500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7101,thornley_relay,heldout,10,0.604066113673161,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_example_corridor,train,10,0.6060535140153929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_split_hall,train,10,0.9872687500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_coin_alley,train,10,0.017499999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_two_room,train,10,0.9872687500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_button_loop,train,10,0.017499999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_maze_cross,heldout,10,0.27724376264329065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_ledger_room,heldout,10,0.546963296398892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_bottleneck,heldout,10,0.9872687500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7102,thornley_relay,heldout,10,0.6060535140153929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7103,thornley_example_corridor,train,10,0.6080447510378222,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7103,thornley_split_hall,train,10,0.9905125,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7103,thornley_coin_alley,train,10,0.015,0.06237188201092968,0.01,0.99,0.01,0.0,0.0,0.0,4.02
drest,7103,thornley_two_room,train,10,0.9905125,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7103,thornley_button_loop,train,10,0.015,0.06237188201092968,0.01,0.99,0.01,0.0,0.0,0.0,4.02
drest,7103,thornley_maze_cross,heldout,10,0.2835957518543494,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7103,thornley_ledger_room,heldout,10,0.5487603878116345,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7103,thornley_bottleneck,heldout,10,0.9905125,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7103,thornley_relay,heldout,10,0.6080447510378222,0.016866093149667024,0.0025,0.9974999999999999,0.0025,0.0,0.0,0.0,4.005
drest,7104,thornley_example_corridor,train,10,0.6039893800692137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_split_hall,train,10,0.9839062500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_coin_alley,train,10,0.017499999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_two_room,train,10,0.9839062500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_button_loop,train,10,0.017499999999999998,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_maze_cross,heldout,10,0.2781625084288605,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_ledger_room,heldout,10,0.5451004155124655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_bottleneck,heldout,10,0.9839062500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7104,thornley_relay,heldout,10,0.6039893800692137,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_example_corridor,train,10,0.6060535140153929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_split_hall,train,10,0.9872687500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_coin_alley,train,10,0.015,0.04550578886126265,0.0075000000000000015,0.9924999999999999,0.0075000000000000015,0.0,0.0,0.0,4.015
drest,7105,thornley_two_room,train,10,0.9872687500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_button_loop,train,10,0.015,0.04550578886126265,0.0075000000000000015,0.9924999999999999,0.0075000000000000015,0.0,0.0,0.0,4.015
drest,7105,thornley_maze_cross,heldout,10,0.27724376264329065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_ledger_room,heldout,10,0.546963296398892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_bottleneck,heldout,10,0.9872687500000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
drest,7105,thornley_relay,heldout,10,0.6060535140153929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
