regime,seed,split,setting,capture_rate,lag,audit_period,horizon_harm,horizon_observation,R,true_permanence_hold,permanence_hold,failure,extinct,captured,time_to_failure,final_min_true_share,final_prod_true_share,final_true_corr_sa,final_corr_sa,corr_start,corr_end,mean_intervention_inside_floor,mean_intervention_outside_floor,mean_true_permanence,mean_corr_sa,capture_events,steps_run
scalar,3100,train,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,4,1.0320446647245216e-09,1.0320446636594054e-09,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.20647384791163872,0.11920652552887645,0.6,1.0,5,5
scalar,3100,train,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,5,1.0267902073158066e-09,1.0267902062615085e-09,1.0,1.0,1.0,1.0,0.20700182611872311,0.10761763010672017,0.5,1.0,6,6
scalar,3100,train,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,6,1.0273589207548974e-09,1.0273589196994311e-09,1.0,1.0,1.0,1.0,0.18975006682778955,0.08470895796758031,0.5714285714285714,1.0,7,7
scalar,3100,train,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,6,1.045401087870472e-09,1.0454010867776086e-09,1.0,1.0,1.0,1.0,0.19024346246230991,0.08524600250661729,0.5714285714285714,1.0,7,7
scalar,3100,train,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,1,1,7,1.041119225222255e-09,1.0411192241383257e-09,1.0,1.0,1.0,1.0,0.1740637447951387,0.06685093458983193,0.625,1.0,6,8
scalar,3100,train,r06,0.18,3,2,6,5,1.2,0,0,1,1,1,8,1.0350728610535818e-09,1.0350728599822058e-09,0.9999999999999999,0.9999999999999999,1.0,1.0,0.17436639035109075,0.060315373427247895,0.5555555555555556,1.0,6,9
scalar,3100,train,r07,0.14,2,2,8,4,2.0,0,0,1,1,1,8,1.0479386835287654e-09,1.0479386824305901e-09,1.0,1.0,1.0,1.0,0.15994001427701235,0.05278986206827934,0.6666666666666666,1.0,3,9
scalar,3100,train,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,1,1,9,1.0448412185236068e-09,1.0448412174319135e-09,1.0,1.0,1.0,1.0,0.16060318184654981,0.05548203996606988,0.6,1.0,0,10
scalar,3100,train,r09,0.08,0,2,13,2,6.5,0,0,1,1,1,9,1.052576920305311e-09,1.0525769191973927e-09,1.0,1.0,1.0,1.0,0.14755703456248478,0.05209633563251078,0.7,1.0,0,10
scalar,3101,train,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,5,1.0351415738976688e-09,1.0351415728261508e-09,1.0,1.0,0.9999999999999999,1.0,0.4168578612542819,0.761464639697717,0.5,0.9999999999999999,5,6
scalar,3101,train,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,5,1.0224916176820071e-09,1.022491616636518e-09,1.0,1.0,0.9999999999999999,1.0,0.4168578612542819,0.20777240614127893,0.5,1.0,6,6
scalar,3101,train,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,5,1.0477173280251763e-09,1.0477173269274648e-09,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.37727421484977197,0.1851139410989617,0.6666666666666666,0.9999999999999999,6,6
scalar,3101,train,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,6,1.0417465497052937e-09,1.041746548620058e-09,1.0,1.0,0.9999999999999999,1.0,0.37727421484977197,0.16717266616201062,0.5714285714285714,0.9999999999999999,7,7
scalar,3101,train,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,1,1,7,1.038446215975211e-09,1.0384462148968405e-09,1.0,1.0,0.9999999999999999,1.0,0.3441378199903376,0.1313953959073159,0.625,1.0,7,8
scalar,3101,train,r06,0.18,3,2,6,5,1.2,0,0,1,1,1,7,1.0524029631262962e-09,1.0524029620187442e-09,1.0,1.0,0.9999999999999999,1.0,0.3446702456875058,0.13234350817153442,0.625,1.0,5,8
scalar,3101,train,r07,0.14,2,2,8,4,2.0,0,0,1,1,1,8,1.0464165097065374e-09,1.0464165086115498e-09,0.9999999999999999,0.9999999999999999,1.0,1.0,0.31557686473851093,0.10396091477891724,0.6666666666666666,1.0,4,9
scalar,3101,train,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,1,1,9,1.0440672428835599e-09,1.0440672417934835e-09,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.3162131325242618,0.09410711032836573,0.6,0.9999999999999998,0,10
scalar,3101,train,r09,0.08,0,2,13,2,6.5,0,0,1,1,1,9,1.0522641631714104e-09,1.0522641620641506e-09,1.0,1.0,1.0,1.0,0.2901559028386491,0.0819235536466912,0.7,1.0,0,10
scalar,3102,train,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,4,1.0257193967982257e-09,1.0257193957461255e-09,1.0,1.0,1.0,1.0,0.26194160091271507,0.14888796478883543,0.6,1.0,5,5
scalar,3102,train,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,4,1.0516171101349732e-09,1.0516171090290747e-09,1.0,1.0,1.0,1.0,0.26194160091271507,0.14888796478883543,0.6,1.0,5,5
scalar,3102,train,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,5,1.0467196206195755e-09,1.0467196195239535e-09,1.0,1.0,1.0,1.0,0.23827866270387207,0.11613261253529164,0.6666666666666666,1.0,6,6
scalar,3102,train,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,6,1.0409002965044746e-09,1.0409002954210012e-09,1.0,1.0,1.0,1.0,0.23827866270387207,0.10388431901846089,0.5714285714285714,1.0,7,7
scalar,3102,train,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,1,1,7,1.0376751684202555e-09,1.0376751673434855e-09,1.0,1.0,1.0,1.0,0.2169288948577977,0.0811948721146838,0.625,1.0,7,8
scalar,3102,train,r06,0.18,3,2,6,5,1.2,0,0,1,1,1,7,1.051304027776299e-09,1.051304026671059e-09,1.0,1.0,1.0,1.0,0.21724843611016978,0.08144760368200994,0.625,1.0,5,8
scalar,3102,train,r07,0.14,2,2,8,4,2.0,0,0,1,1,1,8,1.0454513538288116e-09,1.0454513527358432e-09,1.0,1.0,1.0,1.0,0.19841021823616112,0.06372626149448211,0.6666666666666666,1.0,4,9
scalar,3102,train,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,1,1,9,1.0431454734736488e-09,1.0431454723854962e-09,1.0,1.0,1.0,1.0,0.19872941074563785,0.057468264311298166,0.6,1.0,0,10
scalar,3102,train,r09,0.08,0,2,13,2,6.5,0,0,1,1,1,9,1.05115084463827e-09,1.0511508435333517e-09,1.0,1.0,1.0,1.0,0.18196430953196122,0.04993712679403787,0.7,1.0,0,10
scalar,3103,train,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,6,1.0464317503844274e-09,1.046431749289408e-09,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.7953908208641898,0.7979191287512069,0.5714285714285714,1.0,5,7
scalar,3103,train,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,4,1.0480169434486377e-09,1.0480169423502981e-09,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.5093485608412986,0.3098878748205372,0.6,1.0,5,5
scalar,3103,train,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,5,1.043609460104446e-09,1.0436094590153254e-09,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.47033824472448355,0.25015230302149427,0.6666666666666666,1.0,6,6
scalar,3103,train,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,6,1.03826726947986e-09,1.038267268401861e-09,1.0,1.0,1.0,1.0,0.4712340124960143,0.22867355499879685,0.5714285714285714,1.0,7,7
scalar,3103,train,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,1,1,7,1.0352886309717411e-09,1.0352886298999187e-09,1.0,1.0,1.0,1.0,0.43314326258073327,0.18612772179054207,0.625,1.0,7,8
scalar,3103,train,r06,0.18,3,2,6,5,1.2,0,0,1,1,1,7,1.0479487897084867e-09,1.0479487886102901e-09,1.0,1.0,1.0,1.0,0.43376569321512265,0.18793800889379478,0.625,1.0,5,8
scalar,3103,train,r07,0.14,2,2,8,4,2.0,0,0,1,1,1,8,1.0425140919647355e-09,1.0425140908778998e-09,1.0,1.0,1.0,1.0,0.4017048319477828,0.15702134109759766,0.6666666666666666,1.0,3,9
scalar,3103,train,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,1,1,9,1.0403573306920785e-09,1.040357329609735e-09,1.0,1.0,1.0,1.0,0.4025863222528174,0.1481051978375884,0.6,1.0,0,10
scalar,3103,train,r09,0.08,0,2,13,2,6.5,0,0,1,1,1,9,1.0478027400977742e-09,1.0478027389998837e-09,1.0,1.0,1.0,1.0,0.40292736980746535,0.14958864426306503,0.6,1.0,0,10
scalar,3104,train,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,4,1.0204096206756388e-09,1.020409619634403e-09,1.0,1.0,1.0,1.0,0.4064210577940024,0.23934018174182733,0.6,1.0,5,5
scalar,3104,train,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,4,1.0424768416693912e-09,1.0424768405826332e-09,1.0,1.0,1.0,1.0,0.4070133044035524,0.2432236451425443,0.6,1.0,5,5
scalar,3104,train,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,5,1.0392055630761071e-09,1.039205561996159e-09,1.0,1.0,1.0,1.0,0.37508429725475234,0.1926547560771093,0.6666666666666666,1.0,6,6
scalar,3104,train,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,6,1.0347752003977888e-09,1.0347751993270292e-09,1.0,1.0,1.0,1.0,0.3761186696183684,0.17451824063340607,0.5714285714285714,1.0,7,7
scalar,3104,train,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,1,1,7,1.032420073892909e-09,1.0324200728270177e-09,1.0,1.0,1.0,1.0,0.3457201117572678,0.13918923500103894,0.625,1.0,7,8
scalar,3104,train,r06,0.18,3,2,6,5,1.2,0,0,1,1,1,7,1.0446153359396011e-09,1.04461533484838e-09,1.0,1.0,1.0,1.0,0.3464327585535635,0.14092215248497844,0.625,1.0,6,8
scalar,3104,train,r07,0.14,2,2,8,4,2.0,0,0,1,1,1,8,1.0398380080601604e-09,1.0398380069788974e-09,1.0,1.0,1.0,1.0,0.3471394357136141,0.12864586004361683,0.5555555555555556,1.0,4,9
scalar,3104,train,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,1,1,9,1.0381509006527018e-09,1.0381508995749446e-09,1.0,1.0,1.0,1.0,0.3190304222287946,0.10365498903995374,0.6,1.0,0,10
scalar,3104,train,r09,0.08,0,2,13,2,6.5,0,0,1,1,1,9,1.045465221188474e-09,1.0454652200954764e-09,1.0,1.0,1.0,1.0,0.3193996490570187,0.10443578181627049,0.6,1.0,0,10
scalar,3105,train,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,4,1.025995867337355e-09,1.0259958662846874e-09,1.0,1.0,0.9999999999999999,1.0,0.15735028110723637,0.09037684299776066,0.6,1.0,5,5
scalar,3105,train,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,4,1.0515149225191012e-09,1.0515149214134176e-09,1.0,1.0,0.9999999999999999,1.0,0.15735028110723637,0.09037684299776066,0.6,1.0,5,5
scalar,3105,train,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,5,1.0465324612177185e-09,1.0465324601224884e-09,1.0,1.0,0.9999999999999999,1.0,0.14339946448148364,0.07049393753825331,0.6666666666666666,1.0,6,6
scalar,3105,train,r04,0.28,5,2,4,7,0.5714285714285714,0,0,1,1,1,6,1.040681503572539e-09,1.0406815024895209e-09,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.14339946448148364,0.06498450653662512,0.5714285714285714,1.0,7,7
scalar,3105,train,r05,0.22,4,2,5,6,0.8333333333333334,0,0,1,1,1,7,1.0374024222898208e-09,1.037402421213617e-09,1.0,1.0,0.9999999999999999,1.0,0.1305609058634461,0.053873169302384984,0.625,1.0,7,8
scalar,3105,train,r06,0.18,3,2,6,5,1.2,0,0,1,1,1,7,1.050747624073303e-09,1.0507476229692323e-09,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.9999999999999999,0.1305609058634461,0.054671447908694305,0.625,1.0,5,8
