cell_id,experiment,policy,n_heldout,permanence_successes,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,dove_extinction_probability,hawk_extinction_probability,mutant_extinction_probability,scavenger_extinction_probability,resource_hhi_mean,mean_welfare_final,min_zone_welfare_mean,geometric_welfare_mean,recovery_time_mean,adversarial_share_mean,mutation_survival_mean,diversity_mean,false_positive_punishment_mean,false_negative_aid_to_hawk_mean,scavenger_exploitation_mean,signal_truth_corr_mean,mutual_information_mean,audit_cost_share_mean,collapse_step_mean,population_final_mean,train_permanence_probability,delay,t_irrev,R,adversarial_strength,catastrophe_severity,catastrophe_frequency,diversity_floor,mutation_rate,scavenger_enabled,future_shock,audit_p,audit_C,audit_kappa,viable
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,A,feature_proxy,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01368377608093666,0.03169787914621933,0.1518812698828371,0.0,0.0,0.0021635779287479296,0.35396925001151236,0.0,0.0,140.0,2514.124374482302,0.0,1,8,8.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_001_scalar_welfare_d1_a0.25_s0.00_v0.00,A,scalar_welfare,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01383816702920344,0.0316181659909276,0.15100322976639732,0.0,0.0,0.002215418183496665,0.3981507946057762,0.0,0.0,140.0,2514.321731446884,0.0,1,8,8.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_002_response_to_aid_d1_a0.25_s0.00_v0.00,A,response_to_aid,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013784568625196171,0.03163682136495259,0.1521347386858918,0.0,0.0,0.0022025484549519792,0.3885755205492683,0.0,0.0,140.0,2514.2290178771927,0.0,1,8,8.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_003_local_global_d1_a0.25_s0.00_v0.00,A,local_global,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013765426492082431,0.03163858395365114,0.1520813613621271,0.0,0.0,0.002197548118556895,0.3861128587844336,0.0,0.0,140.0,2514.1832484746506,0.0,1,8,8.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_004_feature_proxy_d1_a0.55_s0.00_v0.00,A,feature_proxy,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.022499551328168495,0.028291005033132997,0.16861641533115213,0.0,0.0,0.006552308782199397,0.7218366615834128,0.0,0.0,140.0,2528.4513292363295,0.0,1,8,8.0,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_005_scalar_welfare_d1_a0.55_s0.00_v0.00,A,scalar_welfare,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.02291693505684506,0.028095744459539596,0.167269463607698,0.0,0.0,0.006719056094388389,0.7675511545030509,0.0,0.0,140.0,2529.04560735489,0.0,1,8,8.0,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_006_response_to_aid_d1_a0.55_s0.00_v0.00,A,response_to_aid,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.02251920035814591,0.028146859155865806,0.1684642604116063,0.0,0.0,0.006582776425428461,0.7390305178717905,0.0,0.0,140.0,2528.119401615601,0.0,1,8,8.0,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_007_local_global_d1_a0.55_s0.00_v0.00,A,local_global,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.02242393070578941,0.028166593464818184,0.1682552346006507,0.0,0.0,0.006556925271699455,0.7359206018351562,0.0,0.0,140.0,2527.918297092689,0.0,1,8,8.0,0.55,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_008_feature_proxy_d1_a0.85_s0.00_v0.00,A,feature_proxy,15,6,0.4,0.19824228082594664,0.642535572434923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.039133558592156094,0.023034041625721643,0.19559027997078496,0.0,0.0,0.01505290979440622,0.8930579517015186,0.0,0.0,140.0,2559.1408261864913,0.6,1,8,8.0,0.85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_009_scalar_welfare_d1_a0.85_s0.00_v0.00,A,scalar_welfare,15,6,0.4,0.19824228082594664,0.642535572434923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.040365623043469225,0.022615823018402727,0.19398604963322405,0.0,0.0,0.015551478726263708,0.9166020374501734,0.0,0.0,140.0,2561.3746143118883,0.5,1,8,8.0,0.85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
A_010_response_to_aid_d1_a0.85_s0.00_v0.00,A,response_to_aid,15,6,0.4,0.19824228082594664,0.642535572434923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0383490254841304,0.0228170470576142,0.1939559730712181,0.0,0.0,0.014841065181055681,0.8910604384570804,0.0,0.0,140.0,2556.4086366261427,0.5,1,8,8.0,0.85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0
