cell_id,experiment,policy,n_heldout,permanence_successes,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,dove_extinction_probability,hawk_extinction_probability,mutant_extinction_probability,scavenger_extinction_probability,resource_hhi_mean,mean_welfare_final,min_zone_welfare_mean,geometric_welfare_mean,recovery_time_mean,adversarial_share_mean,mutation_survival_mean,diversity_mean,false_positive_punishment_mean,false_negative_aid_to_hawk_mean,scavenger_exploitation_mean,signal_truth_corr_mean,mutual_information_mean,audit_cost_share_mean,collapse_step_mean,population_final_mean,train_permanence_probability,delay,t_irrev,R,adversarial_strength,catastrophe_severity,catastrophe_frequency,diversity_floor,mutation_rate,scavenger_enabled,future_shock,audit_p,audit_C,audit_kappa,viable
C_053_feature_proxy_d4_a0.60_s0.00_v0.00,C,feature_proxy,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10021735686186978,0.38339772147668055,0.6771753387139993,0.0,0.0,0.02038220490517447,0.8391390150106465,0.0,0.0,140.0,3506.960227824607,1.0,4,8,2.0,0.6,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,1
C_054_local_consequence_d4_a0.60_s0.00_v0.00,C,local_consequence,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09799501961700709,0.38510889796808634,0.67478505791549,0.0,0.0,0.019926250657929703,0.8343300465405448,0.0,0.0,140.0,3527.4313732627256,1.0,4,8,2.0,0.6,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,1
C_055_response_to_aid_d4_a0.60_s0.00_v0.00,C,response_to_aid,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.09877700600118483,0.38449994908877155,0.6755152522026253,0.0,0.0,0.0201090954634185,0.8376381518069284,0.0,0.0,140.0,3517.0551520179574,1.0,4,8,2.0,0.6,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,1
C_056_local_global_d4_a0.60_s0.00_v0.00,C,local_global,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0984873440814822,0.38472439791233753,0.6752529912421157,0.0,0.0,0.020033088272315844,0.8352894546179335,0.0,0.0,140.0,3520.457576773604,1.0,4,8,2.0,0.6,0.0,0.0,0.0,0.01,0,0,0.0,0.0,0.0,1
D_057_always_cut_sagging_d4_a0.45_s0.25_v0.00,D,always_cut_sagging,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9997620037410475,0.9971440448925704,0.9997571987263341,0.0,0.06838581282080698,0.3359425957650944,0.6153237144544649,0.0,0.0,0.009716462796947925,0.834816617290332,0.0,0.0,140.0,4029.2518508853195,1.0,4,8,2.0,0.45,0.25,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_058_always_aid_sagging_d4_a0.45_s0.25_v0.00,D,always_aid_sagging,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9997293993680383,0.9967527924164593,0.9997231633965001,0.0,0.06840852380298464,0.3359311897540212,0.6171519431626329,0.0,0.0,0.009750477488451113,0.8305552868805662,0.0,0.0,140.0,4029.3139647427233,1.0,4,8,2.0,0.45,0.25,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_059_response_to_aid_d4_a0.45_s0.25_v0.00,D,response_to_aid,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.999739693481878,0.9968763217825352,0.9997339300462061,0.0,0.06795622419692725,0.3364888393466626,0.6169543941377952,0.0,0.0,0.009559014014877224,0.817147495738113,0.0,0.0,140.0,4030.0298189385157,1.0,4,8,2.0,0.45,0.25,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_060_local_global_d4_a0.45_s0.25_v0.00,D,local_global,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9997400128660289,0.9968801543923461,0.9997342637842389,0.0,0.06788786900556916,0.3365713874284726,0.6168799539846754,0.0,0.0,0.009540645411455235,0.8160649791247947,0.0,0.0,140.0,4030.124560297374,1.0,4,8,2.0,0.45,0.25,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_061_always_cut_sagging_d4_a0.45_s0.45_v0.00,D,always_cut_sagging,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9992618723220913,0.9911424678650965,0.9992142656831795,0.0,0.06839946304588713,0.3343493458603492,0.6147877002758192,0.0,0.0,0.00975012129987088,0.8355222685888494,0.0,0.0,140.0,4018.064855059597,1.0,4,8,2.0,0.45,0.45,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_062_always_aid_sagging_d4_a0.45_s0.45_v0.00,D,always_aid_sagging,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9992398007580463,0.9908776090965559,0.9991874896046742,0.0,0.06838278967336128,0.33437138982719616,0.6165061374826737,0.0,0.0,0.0097812414506356,0.8311979504831316,0.0,0.0,140.0,4018.090731627595,1.0,4,8,2.0,0.45,0.45,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_063_response_to_aid_d4_a0.45_s0.45_v0.00,D,response_to_aid,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9992535333261344,0.9910423999136128,0.9992031846820648,0.0,0.06792968936110373,0.3349087763608964,0.6162999322755741,0.0,0.0,0.009587723796071947,0.8179702728089342,0.0,0.0,140.0,4018.6595044985165,1.0,4,8,2.0,0.45,0.45,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
D_064_local_global_d4_a0.45_s0.45_v0.00,D,local_global,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9992546380501961,0.9910556566023535,0.9992044454952035,0.0,0.0678931964679033,0.33497340328222613,0.6162520735729452,0.0,0.0,0.009567471326221632,0.8166815646862631,0.0,0.0,140.0,4018.8489240279855,1.0,4,8,2.0,0.45,0.45,0.055,0.0,0.006,0,0,0.0,0.0,0.0,1
