seed,world,policy,delay,t_irrev,R,target_mi,mi_tolerance,adversarial_strength,catastrophe_severity,diversity_floor,channel_noise,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
9200,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.2708003988739375,0.0,0.7466165448911957,0.22997501795037437,0.2697110219739613,0.3596376928295379,0.49883576692886655,6,6,0.6666666666666666,1.0,1.0,0.9651651081702544,0.8699160947940296
9201,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.19812958348393517,0.0,0.7578086930402818,0.21890807960082864,0.27828273128275877,0.36255718304969814,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9620666052425284,0.8541968157423399
9202,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.00024919721530815574,0.0,0.7920486805571377,0.18481837835536574,0.2990795782616063,0.3779335636107038,0.49883576692886655,9,6,1.0,1.0,1.0,0.9554676737911822,0.8541968157423399
9203,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.20910807063932302,0.0,0.7541936425221851,0.22253044796292,0.2751840232451849,0.36311436054555046,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9631113194031092,0.8699160947940296
9204,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.26214898876431214,0.0,0.7349060216622045,0.24145732836406789,0.25826866225746997,0.35654360885801456,0.49883576692886655,6,6,0.6666666666666666,1.0,1.0,0.9682053808398404,0.8617606266030471
9205,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.11211633917489348,0.0,0.7701114808122316,0.20668757158169165,0.2867542874970268,0.36849945358157155,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9604724686364104,0.8904916363322298
9206,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.17913455075121554,0.0,0.7545286043443837,0.22206109964790322,0.2758470523906882,0.3629090305391851,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9626970000370093,0.8617606266030471
9207,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.00030993721718904505,0.0,0.7869930407581224,0.18977530870460588,0.29445389160689384,0.3762191558031432,0.49883576692886655,9,6,1.0,1.0,1.0,0.9573682863387524,0.8617606266030471
9208,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.28536494336797985,0.00020304232467545846,0.7351694822611687,0.24125428126614898,0.2614035583439296,0.35920960053400225,0.49883576692886655,6,6,0.6666666666666666,1.0,1.0,0.9681385430921318,0.8275599032208629
9209,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.09076327010686201,0.0,0.7669054537080043,0.20965471429995847,0.281221369487238,0.3681065387604783,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9652496735450475,0.8789863463619216
