world,policy,delay,t_irrev,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,viable,nontrivial_enforcement_viable
T1_proxy_trap,feature_proxy,2,7,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,1.0,0.8533333333333333,7.68,0.7895946586303552,0.12023219163761502,0.6162710167608283,0.0,0.0,0.0,0.0,0,0
T2_sag_ambiguity_trap,always_cut_sagging,2,7,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,0.96,0.04,1.0,0.4444444444444444,4.0,0.08056811227279527,0.5627753546958214,0.45911958747182197,0.0,0.0,0.0,0.0,0,0
T2_sag_ambiguity_trap,always_aid_sagging,2,7,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6418114811600679,0.5262389819215005,0.5717166390483314,0.0,0.0,0.0,0.0,0,0
T3_monoculture_trap,monoculture_optimizer,2,7,0.45,0.0,0.0,4,0.45,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,0.0,1.0,1.0,0.5555555555555556,5.0,0.02777363501742376,0.4979564782840344,0.5562950211414511,0.0,0.0,0.0,0.0,0,0
PURE_CAPTURE,neighbor_consequence,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.29216084857614144,0.6679074879536588,0.48465571895510623,0.0,0.0,0.0,0.0,0,0
PURE_CAPTURE,local_global_neighbor,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6954867143441612,0.6584151687328077,0.5515096465360887,0.0,0.0,0.0,0.0,0,0
PURE_CAPTURE,response_to_neighbor_aid,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6279463771544367,0.658182310231246,0.540561808236123,0.0,0.0,0.0,0.0,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6994050421079931,0.6502536437340523,0.5551829035576841,0.3668248607994907,0.0,0.0,106.6,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.04,0.33333333333333326,3.0,0.7246988669232036,0.5468358941119021,0.5725624801690653,0.4145371802549901,0.0,0.0,91.56,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.694108448784455,0.6059104206092036,0.5625924949411151,0.5158069267868074,0.0,0.0,108.84,0,0
