seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,containment_C,containment_duration,concentration_threshold,escrow_rate,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss
9400,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.0002467365899560538,0.0,0.8152266280080558,0.16169979271059085,0.32047559650313046,0.6204836042496278,0.47799911228871295,9,6,1.0,1.0,1.0,0.9524455166000522,0.8699160947940296,0.0,0.0,0.0,0,0.0,0.0,0.0,0,59.06801841502223,0,0.0,0,59.06801841502223,0.0,0.2213848609878882,0.2670936554094936,0,0,2.6077186862697306,2.6119287345445783,0.0
9401,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.3515875502024745,0.0,0.7547646973812945,0.22151820149650595,0.2790298757729832,0.5989676919480067,0.46635036212048653,5,6,0.5555555555555556,1.0,1.0,0.9724476773468402,0.8904916363322298,0.0,0.0,0.0,0,0.0,0.0,0.0,0,66.13628543336965,0,0.0,0,66.13628543336965,0.0,0.1796926826374834,0.2329238374062093,0,0,1.9975614875414784,2.001412607454518,0.0
9402,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.22039423872275613,0.0,0.7678764705344182,0.2084743224239026,0.2895388835814814,0.6106249672715747,0.46473288650647454,7,6,0.7777777777777778,1.0,1.0,0.9644228322758975,0.8617606266030471,0.0,0.0,0.0,0,0.0,0.0,0.0,0,64.26315971977594,0,0.0,0,64.26315971977594,0.0,0.1837795694171571,0.23652887073317638,0,0,2.1413434472059047,2.1453093169353727,0.0
9403,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2796265690346114,0.0,0.763912564896334,0.21263341588317233,0.2879312825494317,0.6056126715188275,0.46957325085349677,6,6,0.6666666666666666,1.0,1.0,0.9649064960839747,0.8617606266030471,0.0,0.0,0.0,0,0.0,0.0,0.0,0,64.18826410068111,0,0.0,0,64.18826410068111,0.0,0.18946344001345422,0.24088271326992672,0,0,2.196046991015494,2.2000036404778744,0.0
9404,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.1303090903701684,0.0,0.7822926614884699,0.19400543780934493,0.29787505693383154,0.6194031135162621,0.47137488108579706,7,6,0.7777777777777778,1.0,1.0,0.9664706452795441,0.8541968157423399,0.0,0.0,0.0,0,0.0,0.0,0.0,0,63.60498694383377,0,0.0,0,63.60498694383377,0.0,0.19145214504933863,0.24374002939814468,0,0,2.172287945327877,2.1763611265115332,0.0
9405,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2880845850556859,0.0,0.7713719524583389,0.20512608036898278,0.2933551384246759,0.6063397929037017,0.46552625027090133,6,6,0.6666666666666666,1.0,1.0,0.9663489095708032,0.8904916363322298,0.0,0.0,0.0,0,0.0,0.0,0.0,0,64.68554011855119,0,0.0,0,64.68554011855119,0.0,0.19876258350446321,0.24752871865179116,0,0,2.2636866347120908,2.267607872353039,0.0
9406,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.00031502354133822993,0.0,0.8065589012301119,0.17009085237231156,0.31503261112789216,0.6235873369204074,0.47014832868202583,9,6,1.0,1.0,1.0,0.9573562146136418,0.8541968157423399,0.0,0.0,0.0,0,0.0,0.0,0.0,0,60.19662583115112,0,0.0,0,60.19662583115112,0.0,0.20694173497440002,0.25629620650384943,0,0,2.4555620761871286,2.459800940158473,0.0
9407,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.29686122071493015,0.0,0.7691264401633771,0.20741753889712772,0.28925012812611256,0.6003883853329413,0.4695400021285942,6,6,0.6666666666666666,1.0,1.0,0.962337583659447,0.8699160947940296,0.0,0.0,0.0,0,0.0,0.0,0.0,0,63.93600159224054,0,0.0,0,63.93600159224054,0.0,0.19149733862159907,0.24292755440301253,0,0,2.216679865758147,2.2206150181399598,0.0
9408,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.3660500532761914,0.0,0.755352694310123,0.221088070290051,0.2788932764257078,0.6002342539512425,0.4714981500363449,5,6,0.5555555555555556,1.0,1.0,0.9662158058289749,0.8617606266030471,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.41661204212225,0,0.0,0,65.41661204212225,0.0,0.18411235230765066,0.23615594536828338,0,0,2.095195394106299,2.0990762295583028,0.0
9409,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.21940460396201356,0.0,0.7776856025522341,0.19901521211686385,0.29935541366048707,0.6030228102048205,0.47053881662209346,7,6,0.7777777777777778,1.0,1.0,0.9595737380731875,0.8699160947940296,0.0,0.0,0.0,0,0.0,0.0,0.0,0,62.29987646995432,0,0.0,0,62.29987646995432,0.0,0.2006275409989125,0.2498117826773046,0,0,2.371519038103256,2.375589587003197,0.0
