world,policy,delay,t_irrev,containment_C,containment_duration,concentration_threshold,escrow_rate,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss,viable,action_viable
T1_proxy_trap,feature_proxy,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,1.0,0.7777777777777777,7.0,0.7814107966707153,0.18421649111298324,0.6111528188234366,0.0,0.0,0.0,62.7162359426299,0.0,0.0,0.0,62.7162359426299,0.0,0.19897382568160046,0.24881250969654278,0.0,0.0,2.3121099209222558,2.31613034970333,0.0,0,0
T2_sag_ambiguity_trap,always_cut_sagging,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,1.0,0.4444444444444444,4.0,0.08062539052750144,0.562775275969567,0.45974345876110106,0.0,0.0,0.0,65.52896967578938,0.0,0.0,0.0,65.52896967578938,0.0,0.19585819983741537,0.197904376236472,0.0,0.0,2.2713468241799077,2.2728357162072883,0.0,0,0
T2_sag_ambiguity_trap,always_aid_sagging,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6413681183889257,0.5413992225493168,0.571127535229064,0.0,0.0,0.0,67.96724602359275,0.0,0.0,0.0,67.96724602359275,0.0,0.27632107428931596,0.3125158990259158,0.0,0.0,2.0746435003289645,2.076509682181809,0.0,0,0
T3_monoculture_trap,monoculture_optimizer,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,0.0,1.0,1.0,0.5555555555555556,5.0,0.027726737462639567,0.4983588566920353,0.5561959811944264,0.0,0.0,0.0,56.01572935446059,0.0,0.0,0.0,56.01572935446059,0.0,0.22476217000754933,0.24646640751296897,0.0,0.0,0.593128112558773,0.5921981247694372,0.0,0,0
PURE_CAPTURE,no_enforcement,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,1.0,1.0,9.0,0.7916376554454206,0.0009375305978094171,0.6390276615391355,0.0,0.0,0.0,47.02274178953771,0.0,0.0,0.0,47.02274178953771,0.0,0.1111347212697153,0.11340092707332772,0.0,0.0,2.561329343277701,2.565625598927743,0.0,0,0
PURE_CAPTURE,neighbor_penalty,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.08,0.33333333333333326,3.0,0.7237908697988727,0.549803802672161,0.5718054160726138,0.0,0.0,0.0,69.64010774447291,0.0,0.0,0.0,69.64010774447291,0.0,0.1111111111111111,0.0,0.0,0.0,1.782078899514309,1.7859531601993017,0.0,0,0
PURE_CAPTURE,neighbor_quarantine,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.04,0.33333333333333326,3.0,0.6870433583074425,0.612758597823468,0.5569731620250394,0.0,0.0,0.0,70.12727282639672,0.0,0.0,0.0,70.12727282639672,0.0,0.1111111111111111,0.0,0.0,0.0,1.7801677219831782,1.7834649717551394,0.0,0,0
PURE_CAPTURE,action_containment_extraction_cap,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7197667611602592,0.6432686200251009,0.565251681409378,0.04888828447288449,0.0,63.4,63.77732005539942,103.08,0.0,0.0,63.77732005539942,0.0,0.1692952977345988,0.24302358082683656,0.0,0.0,1.767244667683541,1.7712161947772058,0.0,0,0
PURE_CAPTURE,action_containment_extraction_cap,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7206348976987264,0.6432317149426124,0.5657716497852348,0.07363209037754989,0.0,67.0,62.15687333049678,110.28,0.0,0.0,62.15687333049678,0.0,0.16924060819643447,0.24310604948246822,0.0,0.0,1.7663619170281317,1.7703627530214328,0.0,0,0
PURE_CAPTURE,action_containment_extraction_cap,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7227997306483802,0.6432179774878881,0.5674292773557117,0.10884720242106605,0.0,75.52,60.51366147719962,116.0,0.0,0.0,60.51366147719962,0.0,0.16907366649263433,0.24287885885129742,0.0,0.0,1.766204378516671,1.7702398475761325,0.0,0,0
