seed,mode,world,policy,audit_intervention,delay,t_irrev,R,containment_strength,capture_threshold,permanence,collapse,capture_index,strict_zero_capture,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss
9600,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6517961710030434,0.0,0.12985364319750697,0.010902178015964943,0.6080424223364042,0.39195757766353534,0.7967622988956843,0.9493209165639117,0.004480681589890564,0.0,33.03097335878958,1.8354892047226783,2.068386565987642,0.4938964535803864,1.0,1689,0.0,0.0,0.02139642259760298,9,0,1689,1.0,0.0073651848751624446,114877.09711672274,9130.558173704443,1.0,0.05355009167541677,1.0,1.0,1.0,0.06676767222967774
9601,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.649328351646312,0.0,0.13711033881943024,0.011221529784346661,0.5883607438429693,0.4116392561569683,0.7543761319835672,0.9540921230468007,0.004508111799077675,0.0,30.03401888270512,1.641739608189081,1.7766096412773675,0.46913120371530215,1.0,1700,0.0,0.0,0.021453688684931603,9,0,1700,1.0,0.007223290976747603,99556.59180415116,8777.209458223433,1.0,0.07428350773805469,1.0,1.0,1.0,0.019906532959599297
9602,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6806900825026444,0.0,0.1438533656596309,0.01312278825193164,0.6643058630019364,0.33569413699799056,0.6472053025459226,0.9519433803346067,0.0020146726801566236,0.0,30.67535113326683,1.5511198112783728,1.724974537463211,0.4793029378045665,1.0,1684,0.0,0.0,0.016436305812751836,9,0,1684,1.0,0.010323928967790639,101628.30113352361,6115.354934127408,1.0,0.09354929871005653,1.0,1.0,1.0,0.2007282452428796
9603,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6659039544453194,0.0,0.15658157941564338,0.01348318095190001,0.6005030482308423,0.39949695176908273,0.5561220031277121,0.9685966971436589,0.01283705427281696,0.0,29.091191561786328,1.549281467844183,1.7237580983139733,0.3791653687430434,1.0,1612,0.0,0.0,0.00854172317396985,9,0,1612,1.0,0.008927769910995875,92996.34968346106,8420.751702835885,1.0,0.12991562372723509,1.0,1.0,1.0,0.04881678150218394
9604,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6812110050680764,0.0,0.15471292949155635,0.014127341852816992,0.6466516138409519,0.35334838615896946,0.5534922845332121,0.9533831555009188,0.013702487176668011,0.0,29.777386283703223,1.3866062351284956,1.565701627031269,0.42028203431547095,1.0,1658,0.0,0.0,0.012648432442135961,9,0,1658,1.0,0.010560650191694798,96117.71008569466,7128.368015328645,1.0,0.12457662394412929,1.0,1.0,1.0,0.1586943186691203
9605,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6571551840039813,0.0,0.12733515074754212,0.010360500434634125,0.6274802054509712,0.37251979454897116,0.653884834258513,0.9504382853390125,0.013514761763442368,0.0,32.101494857171836,1.6204234519007992,1.8402047534975439,0.4711757676579056,1.0,1640,0.0,0.0,0.024275603446306068,9,0,1640,1.0,0.007370220221555245,111851.01517734368,8336.372736856505,1.0,0.046354398961231474,1.0,1.0,1.0,0.11304810821673529
9606,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6580342523662924,0.0,0.11245143239486236,0.008715286176487945,0.6561369411661679,0.3438630588337836,0.8049323379496897,0.9405500609833527,0.004312147941339865,0.0,40.47154226779604,2.0859996182180867,2.355103164144546,0.5843097537162868,1.0,1730,0.0,0.0,0.04348918215636845,9,0,1730,1.0,0.006718816312341009,167016.23427559756,8446.195290365324,1.0,0.0038294893821464292,1.0,1.0,1.0,0.18127843134813426
9607,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6941917213490257,0.0,0.15892300145037797,0.01507695329230449,0.6755878927800782,0.3244121072198377,0.6471360853515287,0.9595502338165528,0.0052462871720315,0.0,29.45027314674612,1.8001386057493496,1.904273689980481,0.4672801857513945,1.0,1712,0.0,0.0,0.012523931543141784,9,0,1712,1.0,0.012253101516590936,95043.32784432794,5706.085223290206,1.0,0.1366054009693339,1.0,1.0,1.0,0.22759022090514827
9608,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6622295306899157,0.0,0.13694008135677005,0.011427047370328068,0.6247836982993407,0.37521630170059567,0.7421499046163115,0.9593314723093285,0.00499838367456263,0.0,34.11630484816714,1.9834271477155285,2.220099487449964,0.4954179299044122,1.0,1586,0.0,0.0,0.02536739148320058,9,0,1586,1.0,0.008062202380302676,121148.96635965267,7486.273274047329,1.0,0.07379705784473985,1.0,1.0,1.0,0.10662785309381981
9609,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6833054624212924,0.0,0.15929727810782124,0.015101642598298236,0.6444476408653249,0.35555235913459105,0.5649384565954607,0.9648323003924266,0.014190296939031729,0.0,29.169784867569,1.3431811101397748,1.5002175334584709,0.4025576965397533,1.0,1597,0.0,0.0,0.011363678531141161,9,0,1597,1.0,0.011209855827624234,93003.9059647928,6715.373019852623,1.0,0.13767476284774324,1.0,1.0,1.0,0.1534467639652594
