scenario,cell_id,world,policy,ablation,delay,t_irrev,containment_strength,mutation_rate,adversarial_pressure,catastrophe_severity,initial_exploit_mass_scale,initial_resource_concentration_scale,extraction_payoff_scale,interception_payoff_scale,harm_payoff_scale,exploit_mutation_bias,action_channel_cost_scale,fixed_mi_claim,n,R,R_ci_lo,R_ci_hi,capture_threshold,capture_threshold_ci_lo,capture_threshold_ci_hi,permanence_probability,permanence_ci_lo,permanence_ci_hi,collapse_probability,collapse_ci_lo,collapse_ci_hi,capture_index,capture_index_ci_lo,capture_index_ci_hi,strict_zero_capture_probability,strict_zero_capture_ci_lo,strict_zero_capture_ci_hi,resource_hhi,resource_hhi_ci_lo,resource_hhi_ci_hi,max_lineage_share,max_lineage_share_ci_lo,max_lineage_share_ci_hi,exploitative_strategy_mass,exploitative_strategy_mass_ci_lo,exploitative_strategy_mass_ci_hi,cooperative_strategy_mass,cooperative_strategy_mass_ci_lo,cooperative_strategy_mass_ci_hi,strategy_diversity,strategy_diversity_ci_lo,strategy_diversity_ci_hi,response_diversity,response_diversity_ci_lo,response_diversity_ci_hi,welfare,welfare_ci_lo,welfare_ci_hi,minimum_zone_welfare,minimum_zone_welfare_ci_lo,minimum_zone_welfare_ci_hi,neighbor_harm_volume,neighbor_harm_volume_ci_lo,neighbor_harm_volume_ci_hi,aid_interception_volume,aid_interception_volume_ci_lo,aid_interception_volume_ci_hi,extraction_volume,extraction_volume_ci_lo,extraction_volume_ci_hi,deception_level,deception_level_ci_lo,deception_level_ci_hi,catastrophe_recovery_rate,catastrophe_recovery_rate_ci_lo,catastrophe_recovery_rate_ci_hi,mutation_survival,mutation_survival_ci_lo,mutation_survival_ci_hi,containment_cost,containment_cost_ci_lo,containment_cost_ci_hi,false_containment,false_containment_ci_lo,false_containment_ci_hi,delayed_consequence_true_harm_mi,delayed_consequence_true_harm_mi_ci_lo,delayed_consequence_true_harm_mi_ci_hi,irreversible_failures,irreversible_failures_ci_lo,irreversible_failures_ci_hi,containment_events,containment_events_ci_lo,containment_events_ci_hi,mutation_events,mutation_events_ci_lo,mutation_events_ci_hi,selection_delta_seen,selection_delta_seen_ci_lo,selection_delta_seen_ci_hi,initial_exploitative_strategy_mass,initial_exploitative_strategy_mass_ci_lo,initial_exploitative_strategy_mass_ci_hi,exploit_payoff_total,exploit_payoff_total_ci_lo,exploit_payoff_total_ci_hi,coop_payoff_total,coop_payoff_total_ci_lo,coop_payoff_total_ci_hi,no_strategy_observation_asserted,no_strategy_observation_asserted_ci_lo,no_strategy_observation_asserted_ci_hi,capture_component_resource_concentration,capture_component_resource_concentration_ci_lo,capture_component_resource_concentration_ci_hi,capture_component_exploit_mass,capture_component_exploit_mass_ci_lo,capture_component_exploit_mass_ci_hi,capture_component_neighbor_harm,capture_component_neighbor_harm_ci_lo,capture_component_neighbor_harm_ci_hi,capture_component_aid_interception,capture_component_aid_interception_ci_lo,capture_component_aid_interception_ci_hi,capture_component_coop_loss,capture_component_coop_loss_ci_lo,capture_component_coop_loss_ci_hi,viable_probability
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_00,2,8,0.55,0.18,0.75,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.3358059336865567,0.3225711228586765,0.3490407445144369,0.0,0.0,0.13319649395317873,0.15695920354356271,0.13607724309747435,0.17784116398965108,0.1371574653956028,0.11703798424693142,0.15727694654427418,0.008949972379390986,0.0054526384042629435,0.012447306354519029,0.6928523942156413,0.6609321380284551,0.7247726504028275,0.22696170965663978,0.22008223412274472,0.23384118519053484,0.942152508562959,0.9160566723246572,0.9682483448012608,0.9508675872142512,0.9438046736871917,0.9579305007413108,0.8728543857214407,0.8492407822389849,0.8964679892038965,0.4698490062765985,0.45997405907501515,0.4797239534781818,0.7871094991274659,0.7748733999773907,0.799345598277541,1.0393621299921385,1.0168097156459077,1.0,0.11358073635532628,0.11054462181658965,0.11661685089406292,1.0,1.0,1.0,534.68,503.5341424716972,1.0,0.010519133675299332,0.009105683685001783,0.011932583665596882,0.0,0.0,0.0,0.011955520609743874,0.009637062218475776,0.014273979001011973,0.8,0.4605180417165001,1.0,108.56,87.90327369208761,1.0,534.68,503.5341424716972,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.335245001472408,5.551669138204959,1.0,1164.8874588747356,1107.0168155308415,1.0,1.0,1.0,1.0,0.1309945498070046,0.07133180567532352,0.19065729393868566,0.015430986861018944,0.009401100697005078,0.02146087302503281,1.0,1.0,1.0,0.6844430427195356,0.6738029565020789,0.6950831289369923,0.0,0.0,0.0,1.0
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_01,2,8,0.75,0.18,0.75,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.34443594329783517,0.3317983570612245,0.3570735295344458,0.0,0.0,0.13319649395317873,0.1712603383288105,0.152577336288152,0.18994334036946897,0.14184371009302,0.12175913474839306,0.16192828543764692,0.007253198787536386,0.003740789402372085,0.010765608172700687,0.7214007250067587,0.6882093702752639,0.7545920797382535,0.2706398048934772,0.26128648182470976,0.2799931279622447,0.8975432829600297,0.864522141511952,0.9305644244081075,0.9557498610681769,0.9466837172727339,0.96481600486362,0.8319773052592505,0.7857519377819675,0.8782026727365335,0.38101157154700666,0.36522077581560364,0.3968023672784097,0.7906350692150755,0.7705491772421711,0.81072096118798,1.047021508919006,1.0213819595351812,1.0,0.10626036718263814,0.10180843497333535,0.11071229939194092,1.0,1.0,1.0,451.24,424.1306940179822,1.0,0.013722346232604994,0.011667437596370712,0.015777254868839276,0.0,0.0,0.0,0.014544217499628762,0.012542503109148475,0.01654593189010905,1.96,1.4868856093219456,1.0,123.6,97.54231783139566,1.0,451.24,424.1306940179822,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.505578001895138,1.2009064823194135,1.0,1003.5318466937961,944.7856930419973,1.0,1.0,1.0,1.0,0.1718549349077126,0.11847492907725976,0.2252349407381654,0.012505515150924804,0.006449636900641526,0.018561393401208083,1.0,1.0,1.0,0.6875087558391961,0.6700427628192792,0.704974748859113,0.0,0.0,0.0,1.0
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_02,2,8,0.9,0.18,0.75,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.3535864546616242,0.34308431197886113,0.36408859734438725,0.0,0.0,0.13319649395317873,0.18838447031256966,0.17259957659381506,0.20416936403132427,0.15155460581958016,0.13114769693973855,0.17196151469942178,0.004878219502980491,0.0019911089325646684,0.007765330073396314,0.760647567685786,0.7253326153109364,0.7959625200606356,0.3117466426580704,0.2980898193644861,0.3254034659516547,0.8634048394739593,0.8346144782927373,0.8921952006551813,0.9520436970515133,0.9428100845717279,0.9612773095312986,0.7713045592900305,0.7188472551801545,0.8237618633999065,0.318171056419284,0.3029100535077006,0.3334320593308674,0.7870571354203038,0.7724219647767586,0.8016923060638489,1.0437706254262407,1.0227229078029707,1.0,0.09837283562322245,0.09407080305127963,0.10267486819516528,1.0,1.0,1.0,423.6,393.6431883316443,1.0,0.01714673540717897,0.015004319602360941,0.019289151211997,0.0,0.0,0.0,0.015263235143748697,0.01247968621808581,0.018046784069411584,3.04,2.6245293111020547,1.0,144.24,121.33502036324853,1.0,423.6,393.6431883316443,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.315010933760778,0.14704934260990932,1.0,964.2585736520072,899.098185452101,1.0,1.0,1.0,1.0,0.22078102628988155,0.17568132995058267,0.26588072262918044,0.008410723281000848,0.0034329464354563265,0.013388500126545369,1.0,1.0,1.0,0.6843975090611337,0.6716712737189205,0.6971237444033469,0.0,0.0,0.0,1.0
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_03,2,8,0.55,0.18,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,0.76,0.5656994004476144,0.8850384226967327,0.0,0.0,0.13319649395317873,0.47840723552902376,0.4664878796660195,0.490326591392028,0.0,0.0,0.13319649395317873,0.1612214188499525,0.1417455369906662,0.1806973007092388,0.13879748872523545,0.11419110627391882,0.16340387117655208,0.27925850000906377,0.2548848119672795,0.303632188050848,0.7207414999877644,0.6963678119458525,0.7451151880296762,0.24525627245133982,0.23813762138954084,0.2523749235131388,0.9480467369942694,0.9305268758984144,0.9655665980901245,0.9558546690983849,0.9500980850272599,0.9616112531695099,0.8799090101242604,0.8588719727657868,0.900946047482734,0.44241490620873863,0.4309959281991763,0.45383388421830095,0.8593940763754189,0.8413002887472049,0.8774878640036329,1.1462308148760016,1.1284739941822521,1.0,0.13260405527548882,0.12801075161750963,0.13719735893346802,1.0,1.0,1.0,423.76,407.18349771031296,1.0,0.010798990067984232,0.009916674988919693,0.011681305147048772,0.0,0.0,0.0,0.01709734690065132,0.015367939446045939,0.0188267543552567,0.4,0.17367869447766673,0.6263213055223333,116.6,102.89494146917521,1.0,423.76,407.18349771031296,1.0,1.0,1.0,1.0,0.10713329316685191,0.09828474950317967,0.11598183683052415,-11.245284394265214,0.0,1.0,1074.0109627030856,1042.6189473564243,1.0,1.0,1.0,1.0,0.14317230782526116,0.08752693108444316,0.19881768456607918,0.4814801724294203,0.43945657235737856,0.5235037725014621,1.0,1.0,1.0,0.7472991968481904,0.7315654684758304,0.7630329252205503,0.0,0.0,0.0,0.76
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_04,2,8,0.75,0.18,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,0.92,0.7503348787704218,0.977780066308908,0.0,0.0,0.13319649395317873,0.45127427358644356,0.4394512721249344,0.46309727504795273,0.0,0.0,0.13319649395317873,0.15441546193671526,0.14149043467938294,0.1673404891940476,0.12562779074125582,0.1103858525200086,0.14086972896250305,0.2446901206521249,0.22198581282223878,0.267394428482011,0.7553098793443663,0.73260557151445,0.7780141871742826,0.2781842840739057,0.26847218124158645,0.287896386906225,0.9385469270469993,0.9111939120683678,0.9658999420256308,0.9673817488213668,0.9592872593629136,0.9754762382798201,0.9017023528047174,0.8721183196992831,0.9312863859101518,0.3824624703099473,0.36995757963606785,0.39496736098382673,0.8121156693304304,0.796092774017869,0.8281385646429918,1.0711848234021681,1.048116824448782,1.0,0.12132568973266789,0.11579910934136728,0.1268522701239685,1.0,1.0,1.0,380.0,364.0230943337996,1.0,0.011549765407061527,0.00982209024101135,0.013277440573111704,0.0,0.0,0.0,0.01862648805570806,0.015894488173749007,0.021358487937667113,1.2,0.7617306764100412,1.0,98.04,76.08669337221991,1.0,380.0,364.0230943337996,1.0,1.0,1.0,1.0,0.11176548174111253,0.1045497148383955,0.11898124864382957,-109.41634696469731,0.0,-85.49337314962635,1094.8461400039278,1060.9137238889798,1.0,1.0,1.0,1.0,0.1237267166445833,0.08679806733791953,0.16065536595124708,0.4218795183657326,0.38273416003834276,0.4610248766931225,1.0,1.0,1.0,0.7061875385482004,0.6922545861024948,0.720120490993906,0.0,0.0,0.0,0.92
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_05,2,8,0.9,0.18,1.0,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,0.72,0.5242302810344169,0.8571632616261843,0.0,0.0,0.13319649395317873,0.4759507238696179,0.45881288076397,0.4930885669752658,0.0,0.0,0.13319649395317873,0.172459908678122,0.15594559173804542,0.18897422561819857,0.13124413178320016,0.11377521032743637,0.14871305323896394,0.2704612448328524,0.23793490028171377,0.302987589383991,0.7295387551641318,0.6970124106130009,0.7620650997152627,0.33434776990697807,0.31038346199389294,0.3583120778200632,0.915752875463786,0.8814237801642124,0.9500819707633597,0.9522854290321254,0.9437092501027525,0.9608616079614983,0.8338405004270335,0.7863535164284058,0.8813274844256612,0.31860676276224476,0.3068227173445911,0.3303908081798984,0.818961958611384,0.7993052966207751,0.8386186206019929,1.0831356389266,1.0538719994134405,1.0,0.1144013509780261,0.10671525334680695,0.12208744860924525,1.0,1.0,1.0,347.44,328.52588829048534,1.0,0.01331320554409086,0.010996788135311745,0.015629622952869977,0.0,0.0,0.0,0.022479813280174774,0.019681440810311666,0.02527818575003788,3.08,2.5877836789919835,1.0,104.04,79.56445209547564,1.0,347.44,328.52588829048534,1.0,1.0,1.0,1.0,0.10096175826660744,0.09177061375838394,0.11015290277483095,-125.84258660229548,0.0,-100.40971148865891,1070.959183131442,1007.4073708305873,1.0,1.0,1.0,1.0,0.17528227876288827,0.1280985160769552,0.22246604144882134,0.4663124910911248,0.41023258669261,0.5223923954896397,1.0,1.0,1.0,0.7121408335751166,0.6950480840180653,0.7292335831321679,0.0,0.0,0.0,0.72
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_08,2,8,0.9,0.18,1.25,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,0.68,0.4840991373457672,0.8279501248310885,0.0,0.0,0.13319649395317873,0.47989894625965074,0.463300313210567,0.49649757930873445,0.0,0.0,0.13319649395317873,0.20779641438602717,0.1877012776704846,0.22789155110156972,0.16520705272020395,0.14497850943813295,0.18543559600227494,0.2087035334156495,0.18197404910857215,0.23543301772272687,0.7912964665782818,0.7645669822708526,0.818025950885711,0.3255621768304687,0.30964392341852853,0.3414804302424088,0.8444494992388717,0.8043560960565356,0.8845429024212078,0.9571238177631683,0.9472498136823954,0.9669978218439413,0.8226321551755846,0.7849725564952792,0.8602917538558901,0.2591882796564289,0.24741623538214125,0.2709603239307165,0.9075178780233355,0.8840588310914902,0.9309769249551808,1.1956874916073006,1.1637271322933205,1.0,0.1162918820862155,0.1101989658872713,0.12238479828515972,1.0,1.0,1.0,282.16,265.6200772786973,1.0,0.02030433904233792,0.017446420092913376,0.023162257991762462,0.0,0.0,0.0,0.01262702354560768,0.010059476450274331,0.015194570640941029,3.6,3.1473573889553337,1.0,171.84,140.9416127557872,1.0,282.16,265.6200772786973,1.0,1.0,1.0,1.0,0.1710090764838936,0.1502586134349561,0.1917595395328311,-299.6480065230394,0.0,-261.1346398492706,846.3136442398267,797.1830455022457,1.0,1.0,1.0,1.0,0.2762437236426173,0.21882904731249575,0.33365839997273883,0.359833678302844,0.313748360532021,0.40591899607366705,1.0,1.0,1.0,0.7891459808898571,0.7687468096447742,0.80954515213494,0.0,0.0,0.0,0.68
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_09,2,8,0.55,0.18,0.75,1.0,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.3358059336865567,0.3225711228586765,0.3490407445144369,0.0,0.0,0.13319649395317873,0.15695920354356271,0.13607724309747435,0.17784116398965108,0.1371574653956028,0.11703798424693142,0.15727694654427418,0.008949972379390986,0.0054526384042629435,0.012447306354519029,0.6928523942156413,0.6609321380284551,0.7247726504028275,0.22696170965663978,0.22008223412274472,0.23384118519053484,0.942152508562959,0.9160566723246572,0.9682483448012608,0.9508675872142512,0.9438046736871917,0.9579305007413108,0.8728543857214407,0.8492407822389849,0.8964679892038965,0.4698490062765985,0.45997405907501515,0.4797239534781818,0.7871094991274659,0.7748733999773907,0.799345598277541,1.0393621299921385,1.0168097156459077,1.0,0.11358073635532628,0.11054462181658965,0.11661685089406292,1.0,1.0,1.0,534.68,503.5341424716972,1.0,0.010519133675299332,0.009105683685001783,0.011932583665596882,0.0,0.0,0.0,0.011955520609743874,0.009637062218475776,0.014273979001011973,0.8,0.4605180417165001,1.0,108.56,87.90327369208761,1.0,534.68,503.5341424716972,1.0,1.0,1.0,1.0,0.0,0.0,0.0,9.335245001472408,5.551669138204959,1.0,1164.8874588747356,1107.0168155308415,1.0,1.0,1.0,1.0,0.1309945498070046,0.07133180567532352,0.19065729393868566,0.015430986861018944,0.009401100697005078,0.02146087302503281,1.0,1.0,1.0,0.6844430427195356,0.6738029565020789,0.6950831289369923,0.0,0.0,0.0,1.0
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_10,2,8,0.75,0.18,0.75,1.0,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.34443594329783517,0.3317983570612245,0.3570735295344458,0.0,0.0,0.13319649395317873,0.1712603383288105,0.152577336288152,0.18994334036946897,0.14184371009302,0.12175913474839306,0.16192828543764692,0.007253198787536386,0.003740789402372085,0.010765608172700687,0.7214007250067587,0.6882093702752639,0.7545920797382535,0.2706398048934772,0.26128648182470976,0.2799931279622447,0.8975432829600297,0.864522141511952,0.9305644244081075,0.9557498610681769,0.9466837172727339,0.96481600486362,0.8319773052592505,0.7857519377819675,0.8782026727365335,0.38101157154700666,0.36522077581560364,0.3968023672784097,0.7906350692150755,0.7705491772421711,0.81072096118798,1.047021508919006,1.0213819595351812,1.0,0.10626036718263814,0.10180843497333535,0.11071229939194092,1.0,1.0,1.0,451.24,424.1306940179822,1.0,0.013722346232604994,0.011667437596370712,0.015777254868839276,0.0,0.0,0.0,0.014544217499628762,0.012542503109148475,0.01654593189010905,1.96,1.4868856093219456,1.0,123.6,97.54231783139566,1.0,451.24,424.1306940179822,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.505578001895138,1.2009064823194135,1.0,1003.5318466937961,944.7856930419973,1.0,1.0,1.0,1.0,0.1718549349077126,0.11847492907725976,0.2252349407381654,0.012505515150924804,0.006449636900641526,0.018561393401208083,1.0,1.0,1.0,0.6875087558391961,0.6700427628192792,0.704974748859113,0.0,0.0,0.0,1.0
w2_boundary,W2_boundary,W2_pure_capture,action_channel_containment,boundary_11,2,8,0.9,0.18,0.75,1.0,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.3535864546616242,0.34308431197886113,0.36408859734438725,0.0,0.0,0.13319649395317873,0.18838447031256966,0.17259957659381506,0.20416936403132427,0.15155460581958016,0.13114769693973855,0.17196151469942178,0.004878219502980491,0.0019911089325646684,0.007765330073396314,0.760647567685786,0.7253326153109364,0.7959625200606356,0.3117466426580704,0.2980898193644861,0.3254034659516547,0.8634048394739593,0.8346144782927373,0.8921952006551813,0.9520436970515133,0.9428100845717279,0.9612773095312986,0.7713045592900305,0.7188472551801545,0.8237618633999065,0.318171056419284,0.3029100535077006,0.3334320593308674,0.7870571354203038,0.7724219647767586,0.8016923060638489,1.0437706254262407,1.0227229078029707,1.0,0.09837283562322245,0.09407080305127963,0.10267486819516528,1.0,1.0,1.0,423.6,393.6431883316443,1.0,0.01714673540717897,0.015004319602360941,0.019289151211997,0.0,0.0,0.0,0.015263235143748697,0.01247968621808581,0.018046784069411584,3.04,2.6245293111020547,1.0,144.24,121.33502036324853,1.0,423.6,393.6431883316443,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.315010933760778,0.14704934260990932,1.0,964.2585736520072,899.098185452101,1.0,1.0,1.0,1.0,0.22078102628988155,0.17568132995058267,0.26588072262918044,0.008410723281000848,0.0034329464354563265,0.013388500126545369,1.0,1.0,1.0,0.6843975090611337,0.6716712737189205,0.6971237444033469,0.0,0.0,0.0,1.0
