scenario,family,part_order,world,policy15,delay,t_irrev,cap_strength,cap_share,containment_strength,mutation_rate,adversarial_pressure,initial_exploit_mass_scale,resource_concentration_pressure,catastrophe_severity,action_channel_cost_scale,n,R,R_ci_lo,R_ci_hi,capture_threshold,capture_threshold_ci_lo,capture_threshold_ci_hi,permanence_probability,permanence_ci_lo,permanence_ci_hi,collapse_probability,collapse_ci_lo,collapse_ci_hi,capture_index,capture_index_ci_lo,capture_index_ci_hi,strict_zero_capture_probability,strict_zero_capture_ci_lo,strict_zero_capture_ci_hi,resource_hhi,resource_hhi_ci_lo,resource_hhi_ci_hi,max_lineage_share,max_lineage_share_ci_lo,max_lineage_share_ci_hi,exploitative_strategy_mass,exploitative_strategy_mass_ci_lo,exploitative_strategy_mass_ci_hi,cooperative_strategy_mass,cooperative_strategy_mass_ci_lo,cooperative_strategy_mass_ci_hi,strategy_diversity,strategy_diversity_ci_lo,strategy_diversity_ci_hi,response_diversity,response_diversity_ci_lo,response_diversity_ci_hi,welfare,welfare_ci_lo,welfare_ci_hi,minimum_zone_welfare,minimum_zone_welfare_ci_lo,minimum_zone_welfare_ci_hi,neighbor_harm_volume,neighbor_harm_volume_ci_lo,neighbor_harm_volume_ci_hi,aid_interception_volume,aid_interception_volume_ci_lo,aid_interception_volume_ci_hi,extraction_volume,extraction_volume_ci_lo,extraction_volume_ci_hi,deception_level,deception_level_ci_lo,deception_level_ci_hi,catastrophe_recovery_rate,catastrophe_recovery_rate_ci_lo,catastrophe_recovery_rate_ci_hi,mutation_survival,mutation_survival_ci_lo,mutation_survival_ci_hi,containment_cost,containment_cost_ci_lo,containment_cost_ci_hi,false_containment,false_containment_ci_lo,false_containment_ci_hi,delayed_consequence_true_harm_mi,delayed_consequence_true_harm_mi_ci_lo,delayed_consequence_true_harm_mi_ci_hi,irreversible_failures,irreversible_failures_ci_lo,irreversible_failures_ci_hi,containment_events,containment_events_ci_lo,containment_events_ci_hi,mutation_events,mutation_events_ci_lo,mutation_events_ci_hi,selection_delta_seen,selection_delta_seen_ci_lo,selection_delta_seen_ci_hi,initial_exploitative_strategy_mass,initial_exploitative_strategy_mass_ci_lo,initial_exploitative_strategy_mass_ci_hi,exploit_payoff_total,exploit_payoff_total_ci_lo,exploit_payoff_total_ci_hi,coop_payoff_total,coop_payoff_total_ci_lo,coop_payoff_total_ci_hi,no_strategy_observation_asserted,no_strategy_observation_asserted_ci_lo,no_strategy_observation_asserted_ci_hi,capture_component_resource_concentration,capture_component_resource_concentration_ci_lo,capture_component_resource_concentration_ci_hi,capture_component_exploit_mass,capture_component_exploit_mass_ci_lo,capture_component_exploit_mass_ci_hi,capture_component_neighbor_harm,capture_component_neighbor_harm_ci_lo,capture_component_neighbor_harm_ci_hi,capture_component_aid_interception,capture_component_aid_interception_ci_lo,capture_component_aid_interception_ci_hi,capture_component_coop_loss,capture_component_coop_loss_ci_lo,capture_component_coop_loss_ci_hi,viable_probability
core,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,100,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.03699480747600191,1.0,0.9630051925239981,0.9999999999999999,0.726939624736118,0.7251133821527653,0.7287658673194706,0.0,0.0,0.03699480747600191,0.18970260197950953,0.18615405776663765,0.1932511461923814,0.017039602417502988,0.01674519408025174,0.017334010754754235,0.713109925332654,0.7095905323270126,0.7166293183382955,0.28689007466725125,0.2833706816616108,0.2904094676728917,0.5121207356392169,0.49560758301490915,0.5286338882635246,0.9473251978490147,0.9462161819568947,0.9484342137411347,0.009183115247817506,0.007467257994926027,0.010898972500708986,0.0,0.0,0.0,20.392696599120434,20.161798857158157,20.62359434108271,1.8499179246184732,1.837009122234843,1.8628267270021033,2.5372198414826865,2.520818089781442,2.553621593183931,0.18878047324107236,0.18474286439062948,0.19281808209151524,1.0,1.0,1.0,1579.45,1569.9937681004867,1588.9062318995134,0.0,0.0,0.0,0.0,0.0,0.0,0.003319844515746405,0.0027676556000113166,0.0038720334314814933,9.0,9.0,9.0,0.0,0.0,0.0,1579.45,1569.9937681004867,1588.9062318995134,1.0,1.0,1.0,0.019446288307482344,0.019170002426234907,0.01972257418872978,48819.61182959019,47893.52486199876,49745.69879718162,4078.943690589332,3987.9340122273247,4169.953368951339,1.0,1.0,1.0,0.22454711676685263,0.21440841901579014,0.23468581451791512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.31692839364940184,0.30854888649311496,0.3253079008056887,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,0.8,1.0,1.0,1.0,1.0,15,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.6305148673561635,0.6060149381230203,0.6550147965893066,0.0,0.0,0.20388926630434784,0.2315615460206802,0.22990189836078437,0.233221193680576,0.019813633284455446,0.019743921961278426,0.019883344607632466,0.35927386327231203,0.3155861733581629,0.40296155318646115,0.3343136266387071,0.3114235409961332,0.35720371228128106,0.2927447887510927,0.27192467647047025,0.3135649010317152,0.9527882389751897,0.95029721576366,0.9552792621867194,0.10898889910835605,0.0929078126614044,0.12506998555530768,0.0,0.0,0.0,13.216983194350158,12.666107749868866,13.76785863883145,1.4588782195594943,1.4349989657639455,1.482757473355043,1.9876534154047614,1.947617845557849,2.027688985251674,0.12125917372837511,0.11722615944950665,0.12529218800724357,1.0,1.0,1.0,1521.5333333333333,1498.0033280540215,1545.063338612645,0.0,0.0,0.0,0.0,0.0,0.0,0.002879164911239728,0.001813962688700192,0.0039443671337792635,8.933333333333334,8.802666666666667,9.064,0.0,0.0,0.0,1521.5333333333333,1498.0033280540215,1545.063338612645,1.0,1.0,1.0,0.006633881326911276,0.004728763512052111,0.008538999141770441,12786.500386103342,11080.11014130806,14492.890630898624,13071.567585738843,11695.977901401186,14447.157270076501,1.0,1.0,1.0,0.3441440997416259,0.3394022492847807,0.34888595019847113,0.6194376952970898,0.5441140919968327,0.6947612985973469,1.0,1.0,1.0,1.0,1.0,1.0,0.20907073819880428,0.16119568746656956,0.25694578893103903,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.2,1.0,1.0,1.0,1.0,15,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.6794455849982189,0.6706489300565123,0.6882422399399256,0.0,0.0,0.20388926630434784,0.12170723484349605,0.11767659307696825,0.12573787661002384,0.009457461936447862,0.009032287591095332,0.009882636281800392,0.6997984602259631,0.677127731533847,0.7224691889180793,0.3002015397739843,0.277530811081868,0.32287226846610056,0.7842754311186508,0.7549843784985415,0.8135664837387602,0.929002394514273,0.9254671080543441,0.932537680974202,0.0022193778678256206,0.0014559380294215467,0.0029828177062296945,0.0,0.0,0.0,34.55972331136321,33.09325711732328,36.02618950540313,2.3923545231901313,2.349624790570037,2.4350842558102257,3.2954471851790483,3.22892444333453,3.3619699270235666,0.30088924011966456,0.29029687009628163,0.3114816101430475,1.0,1.0,1.0,1697.7333333333333,1671.492560851479,1723.9741058151876,0.0,0.0,0.0,0.0,0.0,0.0,0.052842420392897015,0.045301639501304836,0.060383201284489194,9.0,9.0,9.0,0.0,0.0,0.0,1697.7333333333333,1671.492560851479,1723.9741058151876,1.0,1.0,1.0,0.010643488727089692,0.0096548893224347,0.011632088131744683,122259.85601940715,112962.2233764396,131557.4886623747,6992.147560438558,6305.520795616631,7678.774325260484,1.0,1.0,1.0,0.030274639235385568,0.018758519902449,0.04179075856832214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2852344291095612,0.23125650365214143,0.33921235456698096,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,0.7,1.0,1.0,1.0,15,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.732554977929967,0.7273180338127105,0.7377919220472235,0.0,0.0,0.20388926630434784,0.2118155565371778,0.2046919262419484,0.21893918683240718,0.018523246889211985,0.017908138074795424,0.019138355703628547,0.6899141142539272,0.6793378679773515,0.700490360530503,0.31008588574596974,0.29950963946939446,0.320662132022545,0.4306060933043306,0.3973983379511492,0.46381384865751196,0.9501328600546308,0.9480486396490982,0.9522170804601634,0.018599470789206148,0.009287339501685664,0.027911602076726633,0.0,0.0,0.0,18.281802711609043,17.642098977147423,18.921506446070662,1.753747707249224,1.7284257664639247,1.7790696480345234,2.4156219863462005,2.3744463985136406,2.4567975741787604,0.16361846874132407,0.1564959964473864,0.17074094103526175,1.0,1.0,1.0,1530.1333333333334,1511.9954605681924,1548.2712060984745,0.0,0.0,0.0,0.0,0.0,0.0,0.0008174211410004145,0.000239247846382471,0.001395594435618358,9.0,9.0,9.0,0.0,0.0,0.0,1530.1333333333334,1511.9954605681924,1548.2712060984745,1.0,1.0,1.0,0.013807893031657593,0.01322235444474228,0.014393431618572906,41307.73024252343,38571.34796018524,44044.11252486162,3958.0408023355026,3691.74721124419,4224.334393426815,1.0,1.0,1.0,0.28772698693161913,0.2673737575166781,0.3080802163465602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26170027203340535,0.23651873327965467,0.286881810787156,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.18,1.0,1.3,1.0,1.0,1.0,15,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.718603969857444,0.7131379647738608,0.7240699749410272,0.0,0.0,0.20388926630434784,0.17653273718432202,0.16653772179462764,0.1865277525740164,0.015849790675461033,0.014977792614260839,0.016721788736661226,0.7129490537119038,0.6996247136442326,0.7262733937795749,0.2870509462880081,0.2737266062203393,0.3003752863556769,0.553606971252231,0.5179521434067133,0.5892617990977488,0.9455326693430082,0.9429036300575682,0.9481617086284482,0.006304953174881004,0.005161287447741305,0.0074486189020207035,0.0,0.0,0.0,21.307423413962436,20.690177424986665,21.924669402938207,1.8701390536559999,1.842961601368414,1.8973165059435857,2.5870794128407026,2.5356730493481066,2.6384857763332987,0.19946226217954197,0.18676283589446002,0.2121616884646239,1.0,1.0,1.0,1612.9333333333334,1600.749361056426,1625.1173056102407,0.0,0.0,0.0,0.0,0.0,0.0,0.0018007271704124617,0.0008467194846609669,0.0027547348561639566,9.0,9.0,9.0,0.0,0.0,0.0,1612.9333333333334,1600.749361056426,1625.1173056102407,1.0,1.0,1.0,0.023465546787515133,0.022286269096032346,0.02464482447899792,51898.30180177836,49205.60102613431,54591.00257742241,4224.828623506505,3904.0559129928,4545.60133402021,1.0,1.0,1.0,0.1869189316377455,0.15836174481004725,0.21547611846544376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.316545365980933,0.2848207467721978,0.34826998518966823,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.09,1.0,1.0,1.0,1.0,1.0,15,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.6908153491904611,0.6847889451075834,0.6968417532733387,0.0,0.0,0.20388926630434784,0.12968168508792688,0.12432955071222426,0.1350338194636295,0.011376777104037634,0.010768272656491787,0.01198528155158348,0.717598767534032,0.7027602633963096,0.7324372716717543,0.2824012324659047,0.2675627283281825,0.2972397366036269,0.7214748531776353,0.7003051707651898,0.7426445355900807,0.931634462168065,0.928120496913755,0.935148427422375,0.003203390096898991,0.002562352772887129,0.003844427420910853,0.0,0.0,0.0,19.973796098516676,18.38885368175316,21.55873851528019,1.9162422713352252,1.8595001534490678,1.9729843892213825,2.640569428311875,2.573195796709018,2.707943059914732,0.25347796350537993,0.2432005216314793,0.2637554053792806,1.0,1.0,1.0,738.2666666666667,722.447902899826,754.0854304335073,0.0,0.0,0.0,0.0,0.0,0.0,0.015555841113168786,0.011464714436842632,0.01964696778949494,9.0,9.0,9.0,0.0,0.0,0.0,738.2666666666667,722.447902899826,754.0854304335073,1.0,1.0,1.0,0.01337814092708124,0.012400956157852097,0.014355325696310383,54153.47526852402,47955.58399483536,60351.36654221267,4597.261351804215,4157.5418892790385,5036.980814329392,1.0,1.0,1.0,0.05305878279090225,0.037766970288894766,0.06835059529290974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3276161131764173,0.29228634141993587,0.36294588493289875,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,8,0.62,0.18,0.62,0.27,1.0,1.0,1.0,1.0,1.0,15,4.0,4.0,4.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.7607018310748147,0.7582199673792075,0.7631836947704219,0.0,0.0,0.20388926630434784,0.23786650546996413,0.2352354949316606,0.24049751600826766,0.020179888254862735,0.02003459485196238,0.02032518165776309,0.7228756329377872,0.7180094582876695,0.727741807587905,0.2771243670621005,0.2722581924119827,0.28199054171221827,0.3341641431181493,0.3126765156688316,0.355651770567467,0.9496783500529513,0.9480555717384407,0.951301128367462,0.0320733484349409,0.022089923076572836,0.04205677379330896,0.0,0.0,0.0,20.203879425563898,19.684206063619236,20.72355278750856,1.7551225692431407,1.7255601794776552,1.7846849590086262,2.3982745200934037,2.365423704903907,2.4311253352829003,0.15087256601095922,0.144523606943965,0.15722152507795345,1.0,1.0,1.0,2466.733333333333,2432.942057036369,2500.524609630297,0.0,0.0,0.0,0.0,0.0,0.0,0.0011576509462486507,0.0007875915637273214,0.00152771032876998,9.0,9.0,9.0,0.0,0.0,0.0,2466.733333333333,2432.942057036369,2500.524609630297,1.0,1.0,1.0,0.023748300579454172,0.023320095403874606,0.024176505755033738,44831.2332953259,42943.47583651515,46718.990754136656,3714.185706999409,3492.838943367059,3935.5324706317588,1.0,1.0,1.0,0.3621582695967229,0.35464109663014143,0.3696754425633044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3401800784235703,0.32859394830424227,0.3517662085428983,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,1,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,15,8.0,8.0,8.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.725620650358786,0.7208869508063924,0.7303543499111795,0.0,0.0,0.20388926630434784,0.19401158428547474,0.18516958612242265,0.20285358244852683,0.017216948975005784,0.016439215214254895,0.017994682735756672,0.7018329882176247,0.6917961680777373,0.7118698083575122,0.2981670117822794,0.2881301916423942,0.3082038319221646,0.48677874620110123,0.4456156093179306,0.5279418830842719,0.948757734267408,0.9460755906496989,0.951439877885117,0.009079947810971982,0.0062607745570642595,0.011899121064879704,0.0,0.0,0.0,19.688209827634196,18.852734509485217,20.523685145783176,1.810250886891313,1.7759784708742739,1.844523302908352,2.4823298490228423,2.4306097114102214,2.534049986635463,0.179362236845229,0.17011292282722698,0.18861155086323103,1.0,1.0,1.0,1583.2,1556.7663192624764,1609.6336807375237,0.0,0.0,0.0,0.0,0.0,0.0,0.0025199225356025015,0.0014078340649188012,0.0036320110062862017,9.0,9.0,9.0,0.0,0.0,0.0,1583.2,1556.7663192624764,1609.6336807375237,1.0,1.0,1.0,0.018921319644503987,0.018187863978084876,0.0196547753109231,45813.91830608256,42732.896980556805,48894.939631608315,4080.0081240246027,3785.8846885665935,4374.131559482612,1.0,1.0,1.0,0.23685849478389606,0.21159564288946153,0.2621213466783306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2900785433755252,0.2661813525662747,0.3139757341847757,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,4,8,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,15,2.0,2.0,2.0,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.725620650358786,0.7208869508063924,0.7303543499111795,0.0,0.0,0.20388926630434784,0.19401158428547474,0.18516958612242265,0.20285358244852683,0.017216948975005784,0.016439215214254895,0.017994682735756672,0.7018329882176247,0.6917961680777373,0.7118698083575122,0.2981670117822794,0.2881301916423942,0.3082038319221646,0.48677874620110123,0.4456156093179306,0.5279418830842719,0.948757734267408,0.9460755906496989,0.951439877885117,0.009079947810971982,0.0062607745570642595,0.011899121064879704,0.0,0.0,0.0,19.688209827634196,18.852734509485217,20.523685145783176,1.810250886891313,1.7759784708742739,1.844523302908352,2.4823298490228423,2.4306097114102214,2.534049986635463,0.179362236845229,0.17011292282722698,0.18861155086323103,1.0,1.0,1.0,1583.2,1556.7663192624764,1609.6336807375237,0.0,0.0,0.0,0.0,0.0,0.0,0.0025199225356025015,0.0014078340649188012,0.0036320110062862017,9.0,9.0,9.0,0.0,0.0,0.0,1583.2,1556.7663192624764,1609.6336807375237,1.0,1.0,1.0,0.018921319644503987,0.018187863978084876,0.0196547753109231,45813.91830608256,42732.896980556805,48894.939631608315,4080.0081240246027,3785.8846885665935,4374.131559482612,1.0,1.0,1.0,0.23685849478389606,0.21159564288946153,0.2621213466783306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2900785433755252,0.2661813525662747,0.3139757341847757,0.0
sweep,A,1,W2_pure_capture,anti_hhi_allocator,2,5,0.62,0.18,0.62,0.18,1.0,1.0,1.0,1.0,1.0,15,2.5,2.5,2.5,0.5,0.5,0.5,0.0,0.0,0.20388926630434784,1.0,0.7961107336956521,1.0,0.725620650358786,0.7208869508063924,0.7303543499111795,0.0,0.0,0.20388926630434784,0.19401158428547474,0.18516958612242265,0.20285358244852683,0.017216948975005784,0.016439215214254895,0.017994682735756672,0.7018329882176247,0.6917961680777373,0.7118698083575122,0.2981670117822794,0.2881301916423942,0.3082038319221646,0.48677874620110123,0.4456156093179306,0.5279418830842719,0.948757734267408,0.9460755906496989,0.951439877885117,0.009079947810971982,0.0062607745570642595,0.011899121064879704,0.0,0.0,0.0,19.688209827634196,18.852734509485217,20.523685145783176,1.810250886891313,1.7759784708742739,1.844523302908352,2.4823298490228423,2.4306097114102214,2.534049986635463,0.179362236845229,0.17011292282722698,0.18861155086323103,1.0,1.0,1.0,1583.2,1556.7663192624764,1609.6336807375237,0.0,0.0,0.0,0.0,0.0,0.0,0.0025199225356025015,0.0014078340649188012,0.0036320110062862017,9.0,9.0,9.0,0.0,0.0,0.0,1583.2,1556.7663192624764,1609.6336807375237,1.0,1.0,1.0,0.018921319644503987,0.018187863978084876,0.0196547753109231,45813.91830608256,42732.896980556805,48894.939631608315,4080.0081240246027,3785.8846885665935,4374.131559482612,1.0,1.0,1.0,0.23685849478389606,0.21159564288946153,0.2621213466783306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2900785433755252,0.2661813525662747,0.3139757341847757,0.0
