system,horizon,raw_size,compressed_size,compression_ratio,compression_gain
A_dead_control,1,738316,34048,0.04611575531344302,0.0
A_dead_control,2,1074975,41846,0.03892741691667248,0.0071883383967705425
A_dead_control,4,1587108,53480,0.03369650962631403,0.0052309072903584525
A_dead_control,8,2181162,85465,0.03918324269357343,-0.0054867330672594
A_dead_control,16,2533710,106920,0.04219898883455486,-0.0030157461409814346
A_dead_control,32,2532287,106892,0.04221164504655278,-1.2656211997918998e-05
A_dead_control,64,2503817,105923,0.042304609322486426,-9.296427593364492e-05
A_dead_control,128,2537433,107260,0.04227106686166689,3.3542460819539766e-05
B_fake_live_control,1,591519,27427,0.046367065132311897,0.0
B_fake_live_control,2,1068431,40185,0.03761122618119467,0.008755838951117229
B_fake_live_control,4,2379399,65801,0.027654462324309625,0.009956763856885043
B_fake_live_control,8,6446771,281374,0.043645725899058616,-0.01599126357474899
B_fake_live_control,16,20328327,957970,0.04712488145236939,-0.003479155553310777
B_fake_live_control,32,71147339,2689863,0.03780693751596247,0.00931794393640692
B_fake_live_control,64,264938179,6298297,0.02377270434851143,0.014034233167451043
B_fake_live_control,128,1021139231,14753087,0.014447674276065494,0.009325030072445936
C_collapsing_live_candidate,1,719324,28495,0.03961358164054028,0.0
C_collapsing_live_candidate,2,1279316,54478,0.04258369316103293,-0.0029701115204926465
C_collapsing_live_candidate,4,2686775,130407,0.04853662848582408,-0.005952935324791152
C_collapsing_live_candidate,8,6448319,449827,0.06975880070449368,-0.0212221722186696
C_collapsing_live_candidate,16,17008817,1517190,0.08920020716314368,-0.01944140645865
C_collapsing_live_candidate,32,34290254,2980064,0.08690702611884998,0.002293181044293699
C_collapsing_live_candidate,64,35709671,3101702,0.08685887920950042,4.814690934956678e-05
C_collapsing_live_candidate,128,35665813,3115625,0.08735606279324125,-0.0004971835837408317
D_structured_live_candidate,1,2334506,122122,0.05231170962936056,0.0
D_structured_live_candidate,2,3145240,190720,0.06063766199081787,-0.008325952361457306
D_structured_live_candidate,4,4004827,267566,0.06681087597541667,-0.006173213984598802
D_structured_live_candidate,8,4065309,278139,0.06841767747543914,-0.0016068015000224728
D_structured_live_candidate,16,4070569,284600,0.06991651535694396,-0.0014988378815048164
D_structured_live_candidate,32,4079621,290826,0.07128750440298254,-0.0013709890460385787
D_structured_live_candidate,64,4100237,296631,0.07234484250544541,-0.0010573381024628764
D_structured_live_candidate,128,4118510,301144,0.07311964763955897,-0.000774805134113557
