system,horizon,shape,count,fraction
A_dead_control,1,_,3007,0.075175
A_dead_control,1,"add(s(s(s(_))),_)",679,0.016975
A_dead_control,1,"s(add(s(s(_)),_))",679,0.016975
A_dead_control,1,"mul(s(s(_)),_)",677,0.016925
A_dead_control,1,"add(_,mul(s(_),_))",677,0.016925
A_dead_control,1,"add(s(_),_)",661,0.016525
A_dead_control,1,"s(add(_,_))",661,0.016525
A_dead_control,1,"add(s(s(_)),_)",654,0.01635
A_dead_control,1,"s(add(s(_),_))",654,0.01635
A_dead_control,1,"mul(s(_),_)",652,0.0163
A_dead_control,1,"add(_,mul(_,_))",652,0.0163
A_dead_control,1,"mul(s(s(s(_))),s(s(_)))",650,0.01625
A_dead_control,1,"add(s(s(_)),mul(s(s(_)),s(s(_))))",650,0.01625
A_dead_control,1,"mul(s(_),s(_))",648,0.0162
A_dead_control,1,"add(s(_),mul(_,s(_)))",648,0.0162
A_dead_control,1,"add(_,s(_))",648,0.0162
A_dead_control,1,s(_),648,0.0162
A_dead_control,1,"mul(s(s(_)),s(s(s(_))))",645,0.016125
A_dead_control,1,"add(s(s(s(_))),mul(s(_),s(s(s(_)))))",645,0.016125
A_dead_control,1,"add(s(s(_)),s(s(s(_))))",642,0.01605
A_dead_control,1,"s(add(s(_),s(s(s(_)))))",642,0.01605
A_dead_control,1,"add(s(s(s(_))),s(s(s(_))))",640,0.016
A_dead_control,1,"s(add(s(s(_)),s(s(s(_)))))",640,0.016
A_dead_control,1,"mul(s(s(s(_))),s(_))",639,0.015975
A_dead_control,1,"add(s(_),mul(s(s(_)),s(_)))",639,0.015975
A_dead_control,1,"mul(s(s(s(_))),_)",638,0.01595
A_dead_control,1,"add(_,mul(s(s(_)),_))",638,0.01595
A_dead_control,1,"add(s(_),s(s(s(_))))",629,0.015725
A_dead_control,1,"s(add(_,s(s(s(_)))))",629,0.015725
A_dead_control,1,"add(s(s(s(_))),s(_))",628,0.0157
A_dead_control,1,"s(add(s(s(_)),s(_)))",628,0.0157
