system,horizon,generated_terms,generated_trajectories,terminating_trajectories,state_novelty,trajectory_novelty,normal_form_novelty,semantic_class_novelty,semantic_label_novelty,unique_terms,unique_trajectories,unique_normal_forms,unique_semantic_classes,unique_semantic_label_classes
A_dead_control,1,40000,20000,4889,0.0015,0.0016,0.0008181632235631009,0.00125,0.0002,60,32,4,25,4
A_dead_control,2,54986,20000,7579,0.001564034481504383,0.0022,0.0006597176408497163,0.0015,0.0004,86,44,5,30,8
A_dead_control,4,76705,20000,13786,0.0021380614040805686,0.0063,0.0005077614971710431,0.0023,0.0018,164,126,7,46,36
A_dead_control,8,96358,20000,16780,0.004576682787106416,0.09105,0.0004171632896305125,0.00155,0.0224,441,1821,7,31,448
A_dead_control,16,107519,20000,20000,0.006129149266641245,0.11065,0.0004,0.0004,0.06665,659,2213,8,8,1333
A_dead_control,32,107431,20000,20000,0.00610624493861176,0.11105,0.0004,0.0004,0.06785,656,2221,8,8,1357
A_dead_control,64,106853,20000,20000,0.006120558149981751,0.11,0.0004,0.0004,0.06655,654,2200,8,8,1331
A_dead_control,128,107490,20000,20000,0.0060749837194157595,0.11005,0.0004,0.0004,0.068,653,2201,8,8,1360
B_fake_live_control,1,40000,20000,0,0.000125,0.00015,normal_form_absent,0.00015,0.00015,5,3,0,3,3
B_fake_live_control,2,60000,20000,0,0.00016666666666666666,0.00025,normal_form_absent,0.00025,0.00025,10,5,0,5,5
B_fake_live_control,4,100000,20000,0,0.00036,0.00085,normal_form_absent,0.00045,0.00085,36,17,0,9,17
B_fake_live_control,8,180000,20000,0,0.0028888888888888888,0.01285,normal_form_absent,0.00045,0.01285,520,257,0,9,257
B_fake_live_control,16,340000,20000,0,0.14132058823529411,0.62915,normal_form_absent,0.00045,0.62915,48049,12583,0,9,12583
B_fake_live_control,32,660000,20000,0,0.4100212121212121,0.6998,normal_form_absent,0.00045,0.6998,270614,13996,0,9,13996
B_fake_live_control,64,1300000,20000,0,0.5525476923076923,0.6997,normal_form_absent,0.00045,0.6997,718312,13994,0,9,13994
B_fake_live_control,128,2580000,20000,0,0.6237763565891473,0.69765,normal_form_absent,0.00045,0.69765,1609343,13953,0,9,13953
C_collapsing_live_candidate,1,40000,20000,0,0.00015,0.00025,normal_form_absent,0.00025,0.00015,6,5,0,5,3
C_collapsing_live_candidate,2,60000,20000,0,0.00028333333333333335,0.001,normal_form_absent,0.00075,0.00025,17,20,0,15,5
C_collapsing_live_candidate,4,100000,20000,0,0.00187,0.0362,normal_form_absent,0.00495,0.00145,187,724,0,99,29
C_collapsing_live_candidate,8,180000,20000,0,0.02253888888888889,0.6128,normal_form_absent,0.01965,0.0585,4057,12256,0,393,1170
C_collapsing_live_candidate,16,340000,20000,0,0.08585588235294117,0.99875,normal_form_absent,0.0214,0.9847,29191,19975,0,428,19694
C_collapsing_live_candidate,32,551075,20000,17080,0.13931134600553463,0.99995,0.059953161592505855,0.0626,0.9998,76771,19999,1024,1252,19996
C_collapsing_live_candidate,64,565356,20000,20000,0.14282151423174072,1.0,0.0512,0.0512,0.99995,80745,20000,1024,1024,19999
C_collapsing_live_candidate,128,565287,20000,20000,0.14018365892015913,0.99995,0.0512,0.0512,0.99995,79244,19999,1024,1024,19999
D_structured_live_candidate,1,40000,20000,0,0.0003,0.0006,normal_form_absent,0.0005,0.00025,12,12,0,10,5
D_structured_live_candidate,2,60000,20000,2724,0.0004333333333333333,0.00245,0.0003671071953010279,0.00095,0.001,26,49,1,19,20
D_structured_live_candidate,4,86535,20000,17785,0.0003582365516842896,0.01255,0.00011245431543435479,0.0006,0.00675,31,251,2,12,135
D_structured_live_candidate,8,89017,20000,20000,0.0003482480874439714,0.018,0.0001,0.0001,0.0114,31,360,2,2,228
D_structured_live_candidate,16,89030,20000,20000,0.00034819723688644277,0.0183,0.0001,0.0001,0.0113,31,366,2,2,226
D_structured_live_candidate,32,89168,20000,20000,0.000347658352772295,0.0185,0.0001,0.0001,0.0114,31,370,2,2,228
D_structured_live_candidate,64,89247,20000,20000,0.00034735061122502715,0.0182,0.0001,0.0001,0.0114,31,364,2,2,228
D_structured_live_candidate,128,89296,20000,20000,0.00034716000716717436,0.0182,0.0001,0.0001,0.01135,31,364,2,2,227
