system,horizon,syntactic_novelty,semantic_novelty,gap_syntactic_minus_semantic,semantic_label_novelty,gap_syntactic_minus_label,n_trajectories,unique_syntactic,unique_semantic
A_dead_control,1,0.0016,0.00125,0.00035000000000000005,0.0002,0.0014,20000,32,25
A_dead_control,2,0.0022,0.0015,0.0007000000000000001,0.0004,0.0018000000000000002,20000,44,30
A_dead_control,4,0.0063,0.0023,0.004,0.0018,0.0045000000000000005,20000,126,46
A_dead_control,8,0.09105,0.00155,0.08950000000000001,0.0224,0.06865,20000,1821,31
A_dead_control,16,0.11065,0.0004,0.11025,0.06665,0.044,20000,2213,8
A_dead_control,32,0.11105,0.0004,0.11065,0.06785,0.0432,20000,2221,8
A_dead_control,64,0.11,0.0004,0.1096,0.06655,0.04345,20000,2200,8
A_dead_control,128,0.11005,0.0004,0.10965,0.068,0.04204999999999999,20000,2201,8
B_fake_live_control,1,0.00015,0.00015,0.0,0.00015,0.0,20000,3,3
B_fake_live_control,2,0.00025,0.00025,0.0,0.00025,0.0,20000,5,5
B_fake_live_control,4,0.00085,0.00045,0.00039999999999999996,0.00085,0.0,20000,17,9
B_fake_live_control,8,0.01285,0.00045,0.0124,0.01285,0.0,20000,257,9
B_fake_live_control,16,0.62915,0.00045,0.6287,0.62915,0.0,20000,12583,9
B_fake_live_control,32,0.6998,0.00045,0.69935,0.6998,0.0,20000,13996,9
B_fake_live_control,64,0.6997,0.00045,0.69925,0.6997,0.0,20000,13994,9
B_fake_live_control,128,0.69765,0.00045,0.6972,0.69765,0.0,20000,13953,9
C_collapsing_live_candidate,1,0.00025,0.00025,0.0,0.00015,0.00010000000000000002,20000,5,5
C_collapsing_live_candidate,2,0.001,0.00075,0.00025,0.00025,0.00075,20000,20,15
C_collapsing_live_candidate,4,0.0362,0.00495,0.03125,0.00145,0.03475,20000,724,99
C_collapsing_live_candidate,8,0.6128,0.01965,0.5931500000000001,0.0585,0.5543,20000,12256,393
C_collapsing_live_candidate,16,0.99875,0.0214,0.97735,0.9847,0.014050000000000007,20000,19975,428
C_collapsing_live_candidate,32,0.99995,0.0626,0.93735,0.9998,0.00014999999999998348,20000,19999,1252
C_collapsing_live_candidate,64,1.0,0.0512,0.9488,0.99995,4.999999999999449e-05,20000,20000,1024
C_collapsing_live_candidate,128,0.99995,0.0512,0.94875,0.99995,0.0,20000,19999,1024
D_structured_live_candidate,1,0.0006,0.0005,9.999999999999994e-05,0.00025,0.00034999999999999994,20000,12,10
D_structured_live_candidate,2,0.00245,0.00095,0.0015,0.001,0.00145,20000,49,19
D_structured_live_candidate,4,0.01255,0.0006,0.01195,0.00675,0.0058000000000000005,20000,251,12
D_structured_live_candidate,8,0.018,0.0001,0.0179,0.0114,0.006599999999999998,20000,360,2
D_structured_live_candidate,16,0.0183,0.0001,0.0182,0.0113,0.007000000000000001,20000,366,2
D_structured_live_candidate,32,0.0185,0.0001,0.0184,0.0114,0.007099999999999999,20000,370,2
D_structured_live_candidate,64,0.0182,0.0001,0.0181,0.0114,0.0068000000000000005,20000,364,2
D_structured_live_candidate,128,0.0182,0.0001,0.0181,0.01135,0.00685,20000,364,2
