depth_cap,sample_budget,horizon,min_observation_depth,max_observation_depth,semantic_at_min_observation_depth,semantic_at_max_observation_depth,absolute_growth,growth_ratio,last_step_growth,observation_limited
8,20000,16,4,12,376,2206,1830,5.867021276595745,0,False
8,20000,32,4,12,76,79,3,1.0394736842105263,0,False
8,20000,64,4,12,64,64,0,1.0,0,False
8,20000,128,4,12,64,64,0,1.0,0,False
8,20000,256,4,12,64,64,0,1.0,0,False
8,50000,16,4,12,502,4318,3816,8.601593625498008,0,False
8,50000,32,4,12,87,102,15,1.1724137931034482,0,False
8,50000,64,4,12,64,64,0,1.0,0,False
8,50000,128,4,12,64,64,0,1.0,0,False
8,50000,256,4,12,64,64,0,1.0,0,False
8,100000,16,4,12,632,7191,6559,11.378164556962025,0,False
8,100000,32,4,12,100,144,44,1.44,0,False
8,100000,64,4,12,64,64,0,1.0,0,False
8,100000,128,4,12,64,64,0,1.0,0,False
8,100000,256,4,12,64,64,0,1.0,0,False
12,20000,16,4,12,436,7888,7452,18.091743119266056,329,False
12,20000,32,4,12,1262,3509,2247,2.7805071315372425,508,True
12,20000,64,4,12,1025,1025,0,1.0,0,False
12,20000,128,4,12,1024,1024,0,1.0,0,False
12,20000,256,4,12,1024,1024,0,1.0,0,False
12,50000,16,4,12,597,15078,14481,25.256281407035175,590,False
12,50000,32,4,12,1378,6396,5018,4.6415094339622645,1140,True
12,50000,64,4,12,1027,1027,0,1.0,0,False
12,50000,128,4,12,1024,1024,0,1.0,0,False
12,50000,256,4,12,1024,1024,0,1.0,0,False
12,100000,16,4,12,718,24604,23886,34.26740947075209,889,False
12,100000,32,4,12,1505,9963,8458,6.619933554817276,1850,True
12,100000,64,4,12,1030,1030,0,1.0,0,False
12,100000,128,4,12,1024,1024,0,1.0,0,False
12,100000,256,4,12,1024,1024,0,1.0,0,False
16,20000,16,4,12,459,8005,7546,17.4400871459695,323,False
16,20000,32,4,12,3111,13393,10282,4.305046608807458,3903,True
16,20000,64,4,12,11543,11558,15,1.001299488867712,0,False
16,20000,128,4,12,11489,11489,0,1.0,0,False
16,20000,256,4,12,11623,11623,0,1.0,0,False
16,50000,16,4,12,595,15137,14542,25.44033613445378,589,False
16,50000,32,4,12,6382,26987,20605,4.228611720463804,8023,True
16,50000,64,4,12,15652,15731,79,1.0050472783030922,1,False
16,50000,128,4,12,15616,15616,0,1.0,0,False
16,50000,256,4,12,15653,15653,0,1.0,0,False
16,100000,16,4,12,736,24775,24039,33.661684782608695,890,False
16,100000,32,4,12,10263,44253,33990,4.311897106109325,12870,True
16,100000,64,4,12,16416,16607,191,1.0116349902534114,12,False
16,100000,128,4,12,16353,16353,0,1.0,0,False
16,100000,256,4,12,16346,16346,0,1.0,0,False
20,20000,16,4,12,436,7959,7523,18.254587155963304,354,False
20,20000,32,4,12,448,11974,11526,26.727678571428573,4508,True
20,20000,64,4,12,18358,19226,868,1.0472818389802812,156,False
20,20000,128,4,12,19238,19238,0,1.0,0,False
20,20000,256,4,12,19273,19273,0,1.0,0,False
20,50000,16,4,12,582,15104,14522,25.95189003436426,595,False
20,50000,32,4,12,583,23396,22813,40.130360205831906,8804,True
20,50000,64,4,12,43410,45474,2064,1.0475466482377331,513,False
20,50000,128,4,12,45550,45550,0,1.0,0,False
20,50000,256,4,12,45459,45459,0,1.0,0,False
20,100000,16,4,12,698,24587,23889,35.22492836676218,892,False
20,100000,32,4,12,705,38591,37886,54.739007092198584,14080,True
20,100000,64,4,12,79656,83389,3733,1.0468640152656423,1102,False
20,100000,128,4,12,83186,83186,0,1.0,0,False
20,100000,256,4,12,83206,83206,0,1.0,0,False
24,20000,16,4,12,437,7813,7376,17.87871853546911,321,False
24,20000,32,4,12,446,12060,11614,27.04035874439462,4531,True
24,20000,64,4,12,12967,17677,4710,1.3632297370247553,1558,True
24,20000,128,4,12,19955,19955,0,1.0,0,False
24,20000,256,4,12,19949,19949,0,1.0,0,False
24,50000,16,4,12,590,15152,14562,25.681355932203388,596,False
24,50000,32,4,12,594,23471,22877,39.513468013468014,8865,True
24,50000,64,4,12,32009,41688,9679,1.302383704583086,3314,True
24,50000,128,4,12,49696,49696,0,1.0,0,False
24,50000,256,4,12,49675,49675,0,1.0,0,False
24,100000,16,4,12,724,24560,23836,33.92265193370166,882,False
24,100000,32,4,12,710,38634,37924,54.414084507042254,14148,True
24,100000,64,4,12,63386,79512,16126,1.2544094910548071,5328,True
24,100000,128,4,12,98843,98843,0,1.0,0,False
24,100000,256,4,12,98749,98749,0,1.0,0,False
