depth_cap,observation_depth,sample_budget,sample_limited_any,semantic_sample_limited_any,trajectory_sample_limited_any,max_semantic_rate,max_trajectory_rate,max_semantic_count,max_trajectory_count
8,4,20000,True,False,True,0.0188,0.95155,376,19031
8,4,50000,True,False,True,0.01004,0.91894,502,45947
8,4,100000,False,False,False,0.00632,0.89026,632,89026
8,6,20000,True,False,True,0.06305,0.95155,1261,19031
8,6,50000,True,False,True,0.044,0.91894,2200,45947
8,6,100000,False,False,False,0.0331,0.89026,3310,89026
8,8,20000,True,False,True,0.10775,0.95155,2155,19031
8,8,50000,True,False,True,0.08358,0.91894,4179,45947
8,8,100000,False,False,False,0.06914,0.89026,6914,89026
8,10,20000,True,False,True,0.1103,0.95155,2206,19031
8,10,50000,True,False,True,0.08636,0.91894,4318,45947
8,10,100000,False,False,False,0.07191,0.89026,7191,89026
8,12,20000,True,False,True,0.1103,0.95155,2206,19031
8,12,50000,True,False,True,0.08636,0.91894,4318,45947
8,12,100000,False,False,False,0.07191,0.89026,7191,89026
12,4,20000,True,False,True,0.0631,1.0,1262,20000
12,4,50000,True,False,True,0.02756,0.99998,1378,49999
12,4,100000,True,False,True,0.01505,0.99989,1505,99989
12,6,20000,True,False,True,0.1215,1.0,2430,20000
12,6,50000,True,False,True,0.08576,0.99998,4288,49999
12,6,100000,True,False,True,0.06644,0.99989,6644,99989
12,8,20000,True,False,True,0.2691,1.0,5382,20000
12,8,50000,True,False,True,0.207,0.99998,10350,49999
12,8,100000,True,False,True,0.16938,0.99989,16938,99989
12,10,20000,True,False,True,0.37795,1.0,7559,20000
12,10,50000,True,False,True,0.28976,0.99998,14488,49999
12,10,100000,True,False,True,0.23715,0.99989,23715,99989
12,12,20000,True,False,True,0.3944,1.0,7888,20000
12,12,50000,True,False,True,0.30156,0.99998,15078,49999
12,12,100000,True,False,True,0.24604,0.99989,24604,99989
16,4,20000,True,False,True,0.58115,1.0,11623,20000
16,4,50000,True,False,True,0.31306,1.0,15653,50000
16,4,100000,True,False,True,0.16416,1.0,16416,100000
16,6,20000,True,False,True,0.58115,1.0,11623,20000
16,6,50000,True,False,True,0.31378,1.0,15689,50000
16,6,100000,True,False,True,0.16495,1.0,16495,100000
16,8,20000,True,False,True,0.58115,1.0,11623,20000
16,8,50000,True,False,True,0.31432,1.0,15716,50000
16,8,100000,True,False,True,0.2291,1.0,22910,100000
16,10,20000,True,False,True,0.58115,1.0,11623,20000
16,10,50000,True,False,True,0.37928,1.0,18964,50000
16,10,100000,True,False,True,0.31383,1.0,31383,100000
16,12,20000,True,False,True,0.66965,1.0,13393,20000
16,12,50000,True,False,True,0.53974,1.0,26987,50000
16,12,100000,True,False,True,0.44253,1.0,44253,100000
20,4,20000,True,True,True,0.96365,1.0,19273,20000
20,4,50000,True,True,True,0.911,1.0,45550,50000
20,4,100000,True,False,True,0.83206,1.0,83206,100000
20,6,20000,True,True,True,0.96365,1.0,19273,20000
20,6,50000,True,True,True,0.911,1.0,45550,50000
20,6,100000,True,False,True,0.83206,1.0,83206,100000
20,8,20000,True,True,True,0.96365,1.0,19273,20000
20,8,50000,True,True,True,0.911,1.0,45550,50000
20,8,100000,True,False,True,0.83206,1.0,83206,100000
20,10,20000,True,True,True,0.96365,1.0,19273,20000
20,10,50000,True,True,True,0.911,1.0,45550,50000
20,10,100000,True,False,True,0.83206,1.0,83206,100000
20,12,20000,True,True,True,0.96365,1.0,19273,20000
20,12,50000,True,True,True,0.911,1.0,45550,50000
20,12,100000,True,False,True,0.83389,1.0,83389,100000
24,4,20000,True,True,True,0.99775,1.0,19955,20000
24,4,50000,True,True,True,0.99392,1.0,49696,50000
24,4,100000,True,True,True,0.98843,1.0,98843,100000
24,6,20000,True,True,True,0.99775,1.0,19955,20000
24,6,50000,True,True,True,0.99392,1.0,49696,50000
24,6,100000,True,True,True,0.98843,1.0,98843,100000
24,8,20000,True,True,True,0.99775,1.0,19955,20000
24,8,50000,True,True,True,0.99392,1.0,49696,50000
24,8,100000,True,True,True,0.98843,1.0,98843,100000
24,10,20000,True,True,True,0.99775,1.0,19955,20000
24,10,50000,True,True,True,0.99392,1.0,49696,50000
24,10,100000,True,True,True,0.98843,1.0,98843,100000
24,12,20000,True,True,True,0.99775,1.0,19955,20000
24,12,50000,True,True,True,0.99392,1.0,49696,50000
24,12,100000,True,True,True,0.98843,1.0,98843,100000
