cap,obs_depth,instrument,layer,frontier_size,cum_semantic_classes,cum_normal_forms,terminal_in_layer,cum_term_shapes,cum_states
6,8,exact_semantic,0,1,1,0,0,,
6,8,exact_semantic,1,2,3,0,0,,
6,8,exact_semantic,2,4,7,0,0,,
6,8,exact_semantic,3,8,15,0,0,,
6,8,exact_semantic,4,16,31,16,16,,
6,12,exact_semantic,0,1,1,0,0,,
6,12,exact_semantic,1,2,3,0,0,,
6,12,exact_semantic,2,4,7,0,0,,
6,12,exact_semantic,3,8,15,0,0,,
6,12,exact_semantic,4,16,31,16,16,,
6,16,exact_semantic,0,1,1,0,0,,
6,16,exact_semantic,1,2,3,0,0,,
6,16,exact_semantic,2,4,7,0,0,,
6,16,exact_semantic,3,8,15,0,0,,
6,16,exact_semantic,4,16,31,16,16,,
8,8,exact_semantic,0,1,1,0,0,,
8,8,exact_semantic,1,2,3,0,0,,
8,8,exact_semantic,2,4,7,0,0,,
8,8,exact_semantic,3,8,15,0,0,,
8,8,exact_semantic,4,16,31,0,0,,
8,8,exact_semantic,5,32,63,0,0,,
8,8,exact_semantic,6,64,127,64,64,,
8,12,exact_semantic,0,1,1,0,0,,
8,12,exact_semantic,1,2,3,0,0,,
8,12,exact_semantic,2,4,7,0,0,,
8,12,exact_semantic,3,8,15,0,0,,
8,12,exact_semantic,4,16,31,0,0,,
8,12,exact_semantic,5,32,63,0,0,,
8,12,exact_semantic,6,64,127,64,64,,
8,16,exact_semantic,0,1,1,0,0,,
8,16,exact_semantic,1,2,3,0,0,,
8,16,exact_semantic,2,4,7,0,0,,
8,16,exact_semantic,3,8,15,0,0,,
8,16,exact_semantic,4,16,31,0,0,,
8,16,exact_semantic,5,32,63,0,0,,
8,16,exact_semantic,6,64,127,64,64,,
10,8,exact_semantic,0,1,1,0,0,,
10,8,exact_semantic,1,2,3,0,0,,
10,8,exact_semantic,2,4,7,0,0,,
10,8,exact_semantic,3,8,15,0,0,,
10,8,exact_semantic,4,16,31,0,0,,
10,8,exact_semantic,5,32,63,0,0,,
10,8,exact_semantic,6,64,127,0,0,,
10,8,exact_semantic,7,128,255,0,0,,
10,8,exact_semantic,8,256,511,256,256,,
10,12,exact_semantic,0,1,1,0,0,,
10,12,exact_semantic,1,2,3,0,0,,
10,12,exact_semantic,2,4,7,0,0,,
10,12,exact_semantic,3,8,15,0,0,,
10,12,exact_semantic,4,16,31,0,0,,
10,12,exact_semantic,5,32,63,0,0,,
10,12,exact_semantic,6,64,127,0,0,,
10,12,exact_semantic,7,128,255,0,0,,
10,12,exact_semantic,8,256,511,256,256,,
10,16,exact_semantic,0,1,1,0,0,,
10,16,exact_semantic,1,2,3,0,0,,
10,16,exact_semantic,2,4,7,0,0,,
10,16,exact_semantic,3,8,15,0,0,,
10,16,exact_semantic,4,16,31,0,0,,
10,16,exact_semantic,5,32,63,0,0,,
10,16,exact_semantic,6,64,127,0,0,,
10,16,exact_semantic,7,128,255,0,0,,
10,16,exact_semantic,8,256,511,256,256,,
12,8,exact_semantic,0,1,1,0,0,,
12,8,exact_semantic,1,2,3,0,0,,
12,8,exact_semantic,2,4,7,0,0,,
12,8,exact_semantic,3,8,15,0,0,,
12,8,exact_semantic,4,16,31,0,0,,
12,8,exact_semantic,5,32,63,0,0,,
12,8,exact_semantic,6,64,127,0,0,,
12,8,exact_semantic,7,128,255,0,0,,
12,8,exact_semantic,8,256,255,0,0,,
12,8,exact_semantic,9,512,255,0,0,,
12,8,exact_semantic,10,1024,1279,1024,1024,,
12,12,exact_semantic,0,1,1,0,0,,
12,12,exact_semantic,1,2,3,0,0,,
12,12,exact_semantic,2,4,7,0,0,,
12,12,exact_semantic,3,8,15,0,0,,
12,12,exact_semantic,4,16,31,0,0,,
12,12,exact_semantic,5,32,63,0,0,,
12,12,exact_semantic,6,64,127,0,0,,
12,12,exact_semantic,7,128,255,0,0,,
12,12,exact_semantic,8,256,511,0,0,,
12,12,exact_semantic,9,512,1023,0,0,,
12,12,exact_semantic,10,1024,2047,1024,1024,,
12,16,exact_semantic,0,1,1,0,0,,
12,16,exact_semantic,1,2,3,0,0,,
12,16,exact_semantic,2,4,7,0,0,,
12,16,exact_semantic,3,8,15,0,0,,
12,16,exact_semantic,4,16,31,0,0,,
12,16,exact_semantic,5,32,63,0,0,,
12,16,exact_semantic,6,64,127,0,0,,
12,16,exact_semantic,7,128,255,0,0,,
12,16,exact_semantic,8,256,511,0,0,,
12,16,exact_semantic,9,512,1023,0,0,,
12,16,exact_semantic,10,1024,2047,1024,1024,,
14,8,exact_semantic,0,1,1,0,0,,
14,8,exact_semantic,1,2,3,0,0,,
14,8,exact_semantic,2,4,7,0,0,,
14,8,exact_semantic,3,8,15,0,0,,
14,8,exact_semantic,4,16,31,0,0,,
14,8,exact_semantic,5,32,63,0,0,,
14,8,exact_semantic,6,64,127,0,0,,
14,8,exact_semantic,7,128,255,0,0,,
14,8,exact_semantic,8,256,255,0,0,,
14,8,exact_semantic,9,512,255,0,0,,
14,8,exact_semantic,10,1024,255,0,0,,
14,8,exact_semantic,11,2048,255,0,0,,
14,8,exact_semantic,12,4096,4351,4096,4096,,
14,12,exact_semantic,0,1,1,0,0,,
14,12,exact_semantic,1,2,3,0,0,,
14,12,exact_semantic,2,4,7,0,0,,
14,12,exact_semantic,3,8,15,0,0,,
14,12,exact_semantic,4,16,31,0,0,,
14,12,exact_semantic,5,32,63,0,0,,
14,12,exact_semantic,6,64,127,0,0,,
14,12,exact_semantic,7,128,255,0,0,,
14,12,exact_semantic,8,256,511,0,0,,
14,12,exact_semantic,9,512,1023,0,0,,
14,12,exact_semantic,10,1024,2047,0,0,,
14,12,exact_semantic,11,2048,4095,0,0,,
14,12,exact_semantic,12,4096,8191,4096,4096,,
14,16,exact_semantic,0,1,1,0,0,,
14,16,exact_semantic,1,2,3,0,0,,
14,16,exact_semantic,2,4,7,0,0,,
14,16,exact_semantic,3,8,15,0,0,,
14,16,exact_semantic,4,16,31,0,0,,
14,16,exact_semantic,5,32,63,0,0,,
14,16,exact_semantic,6,64,127,0,0,,
14,16,exact_semantic,7,128,255,0,0,,
14,16,exact_semantic,8,256,511,0,0,,
14,16,exact_semantic,9,512,1023,0,0,,
14,16,exact_semantic,10,1024,2047,0,0,,
14,16,exact_semantic,11,2048,4095,0,0,,
14,16,exact_semantic,12,4096,8191,4096,4096,,
16,8,exact_semantic,0,1,1,0,0,,
16,8,exact_semantic,1,2,3,0,0,,
16,8,exact_semantic,2,4,7,0,0,,
16,8,exact_semantic,3,8,15,0,0,,
16,8,exact_semantic,4,16,31,0,0,,
16,8,exact_semantic,5,32,63,0,0,,
16,8,exact_semantic,6,64,127,0,0,,
16,8,exact_semantic,7,128,255,0,0,,
16,8,exact_semantic,8,256,255,0,0,,
16,8,exact_semantic,9,512,255,0,0,,
16,8,exact_semantic,10,1024,255,0,0,,
16,8,exact_semantic,11,2048,255,0,0,,
16,8,exact_semantic,12,4096,255,0,0,,
16,8,exact_semantic,13,8192,255,0,0,,
16,8,exact_semantic,14,16384,16639,16384,16384,,
16,12,exact_semantic,0,1,1,0,0,,
16,12,exact_semantic,1,2,3,0,0,,
16,12,exact_semantic,2,4,7,0,0,,
16,12,exact_semantic,3,8,15,0,0,,
16,12,exact_semantic,4,16,31,0,0,,
16,12,exact_semantic,5,32,63,0,0,,
16,12,exact_semantic,6,64,127,0,0,,
16,12,exact_semantic,7,128,255,0,0,,
16,12,exact_semantic,8,256,511,0,0,,
16,12,exact_semantic,9,512,1023,0,0,,
16,12,exact_semantic,10,1024,2047,0,0,,
16,12,exact_semantic,11,2048,4095,0,0,,
16,12,exact_semantic,12,4096,4095,0,0,,
16,12,exact_semantic,13,8192,4095,0,0,,
16,12,exact_semantic,14,16384,20479,16384,16384,,
16,16,exact_semantic,0,1,1,0,0,,
