dag_size,edge_probability,depth,num_expressions,feature_class_count,consequence_class_count,ast_identity_class_count,feature_class_entropy,consequence_class_entropy,ast_identity_entropy
4,0.15,1,612,18,39,612,4.169925001442312,4.614014430597589,9.257387842692726
4,0.15,2,1020,36,101,1020,5.106890595608519,5.866854616914525,9.994353436858685
4,0.15,3,1836,44,213,1836,5.16157083517629,6.992599217437062,10.842350343413823
4,0.15,4,2244,56,259,2244,5.558953210005305,7.318612775343728,11.131856960608399
4,0.15,5,2652,68,303,2652,5.874644526332671,7.580861339423489,11.372865060112769
4,0.15,6,3264,74,406,3264,5.891541406655652,7.9995302283515946,11.672425341971215
4,0.25,1,612,18,37,612,4.169925001442312,4.593611500892645,9.257387842692726
4,0.25,2,1020,36,97,1020,5.106890595608519,5.857988300324792,9.994353436858685
4,0.25,3,1836,44,229,1836,5.16157083517629,7.095516967436135,10.842350343413823
4,0.25,4,2244,56,283,2244,5.558953210005305,7.430123460900725,11.131856960608399
4,0.25,5,2652,68,328,2652,5.874644526332671,7.682950579186179,11.372865060112769
4,0.25,6,3264,74,459,3264,5.891541406655652,8.136555459040604,11.672425341971215
4,0.35,1,612,18,51,612,4.169925001442312,5.057354713899933,9.257387842692726
4,0.35,2,1020,36,131,1020,5.106890595608519,6.268428645924257,9.994353436858685
4,0.35,3,1836,44,285,1836,5.16157083517629,7.459097430063214,10.842350343413823
4,0.35,4,2244,56,354,2244,5.558953210005305,7.772244961131231,11.131856960608399
4,0.35,5,2652,68,407,2652,5.874644526332671,7.995575620203239,11.372865060112769
4,0.35,6,3264,74,555,3264,5.891541406655652,8.440822166859713,11.672425341971215
6,0.15,1,1530,45,94,1530,5.491853096329673,5.795914896297271,10.579315937580205
6,0.15,2,2550,90,247,2550,6.428818690495882,7.073174089826436,11.316281531746432
6,0.15,3,4590,130,732,4590,6.9238592701610475,8.586063772251531,12.164278438301634
6,0.15,4,6630,190,988,6630,7.501437472056713,9.104153929061683,12.694793154998672
6,0.15,5,8670,250,1215,8670,7.913376557917216,9.466197431679776,13.0818162781096
6,0.15,6,10710,340,2086,10710,8.281533639576006,10.154970812273607,13.386670859634236
6,0.25,1,1530,45,126,1530,5.491853096329673,6.294708048230404,10.579315937580205
6,0.25,2,2550,90,319,2550,6.428818690495882,7.502650988573723,11.316281531746432
6,0.25,3,4590,130,977,4590,6.924135439741401,9.090947032704223,12.164278438301634
6,0.25,4,6630,190,1328,6630,7.501628666381576,9.566258037067605,12.694793154998672
6,0.25,5,8670,250,1586,8670,7.91352276534211,9.855618268293098,13.0818162781096
6,0.25,6,10710,340,2692,10710,8.279671618367418,10.549368575055452,13.386670859634236
6,0.35,1,1530,45,145,1530,5.491853096329673,6.660806080574882,10.579315937580205
6,0.35,2,2550,90,368,2550,6.428818690495882,7.827446900973214,11.316281531746432
6,0.35,3,4590,130,1109,4590,6.9254256352709085,9.396491825596044,12.164278438301634
6,0.35,4,6630,190,1528,6630,7.502521878671234,9.851170365944869,12.694793154998672
6,0.35,5,8670,250,1819,8670,7.914205810034201,10.105660655746489,13.0818162781096
6,0.35,6,10710,340,3045,10710,8.27933486394831,10.786759781852576,13.386670859634236
8,0.15,1,2040,84,207,2040,6.382305845815558,6.957268628565247,10.994353436859232
8,0.15,2,3944,168,529,3944,7.345264745234648,8.275040038713334,11.945443836378228
8,0.15,3,5984,280,1533,5984,8.078733336369028,9.671840257226105,12.54689445988944
8,0.15,4,8024,448,2107,8024,8.713017346584108,10.267888804545063,12.970105890610046
8,0.15,5,10064,616,2618,10064,9.16529306521096,10.674304968639932,13.296916206877794
8,0.15,6,12104,1011,4255,12104,9.660367052205912,11.310483403684918,13.563196272212977
8,0.25,1,2040,84,279,2040,6.383405288183895,7.634353695925038,10.994353436859232
8,0.25,2,3944,168,713,3944,7.345833422321718,8.870081236822294,11.945443836378228
8,0.25,3,5984,280,2013,5984,8.077215200993985,10.232776752667776,12.54689445988944
8,0.25,4,8024,448,2852,8024,8.712335343649903,10.824751201343965,12.970105890610046
8,0.25,5,10064,616,3453,10064,9.16347062323616,11.158187829633144,13.296916206877794
8,0.25,6,12104,1015,5271,12104,9.665681804495271,11.746521241138108,13.563196272212977
8,0.35,1,2040,84,315,2040,6.383574254440184,7.861339390642522,10.994353436859232
8,0.35,2,3944,168,807,3944,7.345920818661182,9.094821012961113,11.945443836378228
8,0.35,3,5984,280,2181,5984,8.075841230027553,10.41808480144266,12.54689445988944
8,0.35,4,8024,448,3162,8024,8.709696908189786,11.043335394396316,12.970105890610046
8,0.35,5,10064,616,3834,10064,9.161553466782957,11.357604807494805,13.296916206877794
8,0.35,6,12104,1017,5718,12104,9.661641553824706,11.924459571668082,13.563196272212977
10,0.15,1,2040,135,339,2040,7.047788711842075,7.632864342110127,10.994353436859232
10,0.15,2,4080,270,817,4080,8.017800248406827,8.943220525076885,11.994353436858642
10,0.15,3,6120,510,2144,6120,8.870589483384503,10.269695157370126,12.579315937578388
10,0.15,4,8160,869,3073,8160,9.557341639334547,10.916943204078363,12.99435343686073
10,0.15,5,10200,1229,3941,10200,10.043796220951617,11.361848785936523,13.316281531744513
10,0.15,6,12240,2104,5818,12240,10.600588802434514,11.923186236208542,13.579315937580242
10,0.25,1,2040,135,457,2040,7.048994337341414,8.393181611654335,10.994353436859232
10,0.25,2,4080,270,1118,4080,8.007226695455573,9.6184584311278,11.994353436858642
10,0.25,3,6120,510,2793,6120,8.867555536706503,10.868673562418603,12.579315937578388
10,0.25,4,8160,870,4080,8160,9.558224220192182,11.494479238100931,12.99435343686073
10,0.25,5,10200,1230,5092,10200,10.042155422106552,11.860659908330899,13.316281531744513
10,0.25,6,12240,2120,7061,12240,10.603442863384172,12.3544499156159,13.579315937580242
10,0.35,1,1560,135,461,1560,7.042749384386583,8.514856525220628,10.607330313749738
10,0.35,2,3120,270,1133,3120,8.008024748714934,9.73694516453669,11.607330313749934
