class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
3763d524e609c5a0,representation_only,655,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,268,"Ancestor(N0, N1) || Effect(N0 -> N1) || Reachable(N0, N1)"
60466c6446f76f07,representation_only,639,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,268,"Ancestor(N2, N0) || Effect(N2 -> N0) || Reachable(N2, N0)"
f06dc8aafaee6a0a,representation_only,630,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,274,"Ancestor(N3, N0) || Effect(N3 -> N0) || Reachable(N3, N0)"
41546aa101ee86db,representation_only,629,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,266,"Ancestor(N3, N2) || Effect(N3 -> N2) || Reachable(N3, N2)"
44cb71513a7afb4d,representation_only,627,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,268,"Ancestor(N0, N3) || Effect(N0 -> N3) || Reachable(N0, N3)"
9661609533bdfcb4,representation_only,623,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,254,"Ancestor(N1, N0) || Effect(N1 -> N0) || Reachable(N1, N0)"
9bc6ba0c3dc6afe7,representation_only,613,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,265,"Ancestor(N0, N2) || Effect(N0 -> N2) || Reachable(N0, N2)"
3565b8aaa8bf8450,representation_only,611,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,264,"Ancestor(N2, N3) || Effect(N2 -> N3) || Reachable(N2, N3)"
5961ca3dd5952899,representation_only,587,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,251,"Ancestor(N2, N1) || Effect(N2 -> N1) || Reachable(N2, N1)"
1c190318372b2dbe,representation_only,585,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,248,"Ancestor(N1, N2) || Effect(N1 -> N2) || Reachable(N1, N2)"
57a8c160fd4fd10b,representation_only,556,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,235,"Ancestor(N3, N1) || Effect(N3 -> N1) || Reachable(N3, N1)"
59aedb85463f5af4,representation_only,536,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,233,"Ancestor(N1, N3) || Effect(N1 -> N3) || Reachable(N1, N3)"
48aee7c8bbd92059,representation_only,394,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,194,"Ancestor(N1, N5) || Effect(N1 -> N5) || Reachable(N1, N5)"
f9bba2c615ac1262,representation_only,390,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,197,"Ancestor(N2, N5) || Effect(N2 -> N5) || Reachable(N2, N5)"
801deb2b9ea182d1,representation_only,389,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,187,"Ancestor(N5, N2) || Effect(N5 -> N2) || Reachable(N5, N2)"
62675f7f509bc627,representation_only,384,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,180,"Ancestor(N5, N0) || Effect(N5 -> N0) || Reachable(N5, N0)"
6d6102308ec6a212,representation_only,382,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,188,"Ancestor(N3, N5) || Effect(N3 -> N5) || Reachable(N3, N5)"
01835177404ee03d,representation_only,373,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,174,"Ancestor(N5, N1) || Effect(N5 -> N1) || Reachable(N5, N1)"
5efbd02805d9d21b,representation_only,372,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,180,"Ancestor(N0, N5) || Effect(N0 -> N5) || Reachable(N0, N5)"
bb1b7bc9d74e5bd4,representation_only,372,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,183,"Ancestor(N5, N4) || Effect(N5 -> N4) || Reachable(N5, N4)"
4a1870c1c07b3acf,representation_only,371,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,184,"Ancestor(N5, N3) || Effect(N5 -> N3) || Reachable(N5, N3)"
c343797fefb52184,representation_only,370,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,177,"Ancestor(N4, N1) || Effect(N4 -> N1) || Reachable(N4, N1)"
6ed62e6193bc3040,representation_only,368,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,185,"Ancestor(N2, N4) || Effect(N2 -> N4) || Reachable(N2, N4)"
bcd16b88418b30b5,representation_only,365,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,184,"Ancestor(N4, N2) || Effect(N4 -> N2) || Reachable(N4, N2)"
39f1cf0cb64a3125,representation_only,362,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,177,"Ancestor(N4, N5) || Effect(N4 -> N5) || Reachable(N4, N5)"
5f4862fddb23ab67,representation_only,359,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,174,"Ancestor(N4, N3) || Effect(N4 -> N3) || Reachable(N4, N3)"
8d702122b4da0ead,representation_only,354,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,173,"Ancestor(N1, N4) || Effect(N1 -> N4) || Reachable(N1, N4)"
ef6d17f31b02b012,representation_only,354,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,175,"Ancestor(N0, N4) || Effect(N0 -> N4) || Reachable(N0, N4)"
47042025abe88cbf,representation_only,347,4,False,,1.0,1.0,1.0,1.0,1.0,3,1,165,"Ancestor(N4, N0) || Effect(N4 -> N0) || Reachable(N4, N0)"
5e258fa8c2710ec8,representation_only,344,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,344,P(N2 | do(N1))
a1e49f1c94433d63,representation_only,339,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,339,P(N3 | do(N0))
