class_id,k,persistence,class_size
3763d524e609c5a0,0,1.0,655
3763d524e609c5a0,1,0.5,655
3763d524e609c5a0,2,0.5,655
3763d524e609c5a0,3,0.5,655
3763d524e609c5a0,4,0.5,655
60466c6446f76f07,0,1.0,639
60466c6446f76f07,1,0.5,639
60466c6446f76f07,2,0.5,639
60466c6446f76f07,3,0.5,639
60466c6446f76f07,4,0.5,639
f06dc8aafaee6a0a,0,1.0,630
f06dc8aafaee6a0a,1,0.5,630
f06dc8aafaee6a0a,2,0.5,630
f06dc8aafaee6a0a,3,0.5,630
f06dc8aafaee6a0a,4,0.5,630
41546aa101ee86db,0,1.0,629
41546aa101ee86db,1,0.5,629
41546aa101ee86db,2,0.5,629
41546aa101ee86db,3,0.5,629
41546aa101ee86db,4,0.5,629
44cb71513a7afb4d,0,1.0,627
44cb71513a7afb4d,1,0.5,627
44cb71513a7afb4d,2,0.5,627
44cb71513a7afb4d,3,0.5,627
44cb71513a7afb4d,4,0.5,627
9661609533bdfcb4,0,1.0,623
9661609533bdfcb4,1,0.5,623
9661609533bdfcb4,2,0.5,623
9661609533bdfcb4,3,0.5,623
9661609533bdfcb4,4,0.5,623
9bc6ba0c3dc6afe7,0,1.0,613
9bc6ba0c3dc6afe7,1,0.5,613
9bc6ba0c3dc6afe7,2,0.5,613
9bc6ba0c3dc6afe7,3,0.5,613
9bc6ba0c3dc6afe7,4,0.5,613
3565b8aaa8bf8450,0,1.0,611
3565b8aaa8bf8450,1,1.0,611
3565b8aaa8bf8450,2,0.5,611
3565b8aaa8bf8450,3,0.5,611
3565b8aaa8bf8450,4,0.5,611
5961ca3dd5952899,0,1.0,587
5961ca3dd5952899,1,0.5,587
5961ca3dd5952899,2,0.5,587
5961ca3dd5952899,3,0.5,587
5961ca3dd5952899,4,0.5,587
1c190318372b2dbe,0,1.0,585
1c190318372b2dbe,1,0.5,585
1c190318372b2dbe,2,0.5,585
1c190318372b2dbe,3,0.5,585
1c190318372b2dbe,4,0.5,585
57a8c160fd4fd10b,0,1.0,556
57a8c160fd4fd10b,1,0.5,556
57a8c160fd4fd10b,2,0.5,556
57a8c160fd4fd10b,3,0.5,556
57a8c160fd4fd10b,4,0.5,556
59aedb85463f5af4,0,1.0,536
59aedb85463f5af4,1,1.0,536
59aedb85463f5af4,2,0.5,536
59aedb85463f5af4,3,0.5,536
59aedb85463f5af4,4,0.5,536
48aee7c8bbd92059,0,1.0,394
48aee7c8bbd92059,1,0.5,394
48aee7c8bbd92059,2,0.5,394
48aee7c8bbd92059,3,0.5,394
48aee7c8bbd92059,4,0.5,394
f9bba2c615ac1262,0,1.0,390
f9bba2c615ac1262,1,1.0,390
f9bba2c615ac1262,2,0.5,390
f9bba2c615ac1262,3,0.5,390
f9bba2c615ac1262,4,0.5,390
801deb2b9ea182d1,0,1.0,389
801deb2b9ea182d1,1,0.75,389
801deb2b9ea182d1,2,0.5,389
801deb2b9ea182d1,3,0.5,389
801deb2b9ea182d1,4,0.5,389
62675f7f509bc627,0,1.0,384
62675f7f509bc627,1,0.5,384
62675f7f509bc627,2,0.5,384
62675f7f509bc627,3,0.5,384
62675f7f509bc627,4,0.5,384
6d6102308ec6a212,0,1.0,382
6d6102308ec6a212,1,0.5,382
6d6102308ec6a212,2,0.5,382
6d6102308ec6a212,3,0.5,382
6d6102308ec6a212,4,0.5,382
01835177404ee03d,0,1.0,373
01835177404ee03d,1,0.5,373
01835177404ee03d,2,0.5,373
01835177404ee03d,3,0.5,373
01835177404ee03d,4,0.5,373
5efbd02805d9d21b,0,1.0,372
5efbd02805d9d21b,1,0.5,372
5efbd02805d9d21b,2,0.5,372
5efbd02805d9d21b,3,0.5,372
5efbd02805d9d21b,4,0.5,372
bb1b7bc9d74e5bd4,0,1.0,372
bb1b7bc9d74e5bd4,1,0.5,372
bb1b7bc9d74e5bd4,2,0.5,372
bb1b7bc9d74e5bd4,3,0.5,372
bb1b7bc9d74e5bd4,4,0.5,372
4a1870c1c07b3acf,0,1.0,371
4a1870c1c07b3acf,1,0.5,371
4a1870c1c07b3acf,2,0.5,371
4a1870c1c07b3acf,3,0.5,371
4a1870c1c07b3acf,4,0.5,371
c343797fefb52184,0,1.0,370
c343797fefb52184,1,0.5,370
c343797fefb52184,2,0.5,370
c343797fefb52184,3,0.5,370
c343797fefb52184,4,0.5,370
6ed62e6193bc3040,0,1.0,368
6ed62e6193bc3040,1,0.5,368
6ed62e6193bc3040,2,0.5,368
6ed62e6193bc3040,3,0.5,368
6ed62e6193bc3040,4,0.5,368
bcd16b88418b30b5,0,1.0,365
bcd16b88418b30b5,1,0.5,365
bcd16b88418b30b5,2,0.5,365
bcd16b88418b30b5,3,0.5,365
bcd16b88418b30b5,4,0.5,365
39f1cf0cb64a3125,0,1.0,362
39f1cf0cb64a3125,1,0.5,362
39f1cf0cb64a3125,2,0.5,362
39f1cf0cb64a3125,3,0.5,362
39f1cf0cb64a3125,4,0.5,362
5f4862fddb23ab67,0,1.0,359
5f4862fddb23ab67,1,1.0,359
5f4862fddb23ab67,2,0.5,359
5f4862fddb23ab67,3,0.5,359
5f4862fddb23ab67,4,0.5,359
8d702122b4da0ead,0,1.0,354
8d702122b4da0ead,1,0.5,354
8d702122b4da0ead,2,0.5,354
8d702122b4da0ead,3,0.5,354
8d702122b4da0ead,4,0.5,354
ef6d17f31b02b012,0,1.0,354
ef6d17f31b02b012,1,0.5,354
ef6d17f31b02b012,2,0.5,354
ef6d17f31b02b012,3,0.5,354
ef6d17f31b02b012,4,0.5,354
47042025abe88cbf,0,1.0,347
47042025abe88cbf,1,0.5,347
47042025abe88cbf,2,0.5,347
47042025abe88cbf,3,0.5,347
47042025abe88cbf,4,0.5,347
5e258fa8c2710ec8,0,1.0,344
5e258fa8c2710ec8,1,0.5,344
5e258fa8c2710ec8,2,0.5,344
5e258fa8c2710ec8,3,0.5,344
5e258fa8c2710ec8,4,0.5,344
a1e49f1c94433d63,0,1.0,339
a1e49f1c94433d63,1,1.0,339
a1e49f1c94433d63,2,0.0,339
a1e49f1c94433d63,3,0.0,339
a1e49f1c94433d63,4,0.0,339
3100693433eb8c2d,0,1.0,338
3100693433eb8c2d,1,0.0,338
3100693433eb8c2d,2,0.0,338
3100693433eb8c2d,3,0.0,338
3100693433eb8c2d,4,0.0,338
a59afeaf3d0749cb,0,1.0,336
a59afeaf3d0749cb,1,1.0,336
a59afeaf3d0749cb,2,1.0,336
a59afeaf3d0749cb,3,1.0,336
a59afeaf3d0749cb,4,1.0,336
1305089c20abcf01,0,1.0,334
1305089c20abcf01,1,0.0,334
1305089c20abcf01,2,0.0,334
1305089c20abcf01,3,0.0,334
1305089c20abcf01,4,0.0,334
bc9c853b1e75c157,0,1.0,334
bc9c853b1e75c157,1,1.0,334
bc9c853b1e75c157,2,0.0,334
bc9c853b1e75c157,3,0.0,334
bc9c853b1e75c157,4,0.0,334
00d4be19dbcb5225,0,1.0,333
00d4be19dbcb5225,1,0.75,333
00d4be19dbcb5225,2,0.75,333
00d4be19dbcb5225,3,0.75,333
00d4be19dbcb5225,4,0.75,333
8d380d339234504a,0,1.0,333
8d380d339234504a,1,1.0,333
8d380d339234504a,2,1.0,333
