class_id,class_b_attack_cost,class_b_auc_gns,class_a_survives,class_b_survives
0002b39161df4061,1.0,0.5,True,False
0075bb92efd32195,2.0,0.25,True,False
007ab83162e57b3e,1.0,0.5,True,False
00936b6b636bc015,1.0,0.5,True,False
00a13ad5e53b8c27,1.0,0.0,True,False
00d4be19dbcb5225,1.0,0.75,True,False
0103dd170352e326,1.0,0.5,True,False
01056645f130ef71,1.0,0.5,True,False
011a73c0e8d27973,1.0,0.5,True,False
01272c975344cc89,1.0,0.0,True,False
01835177404ee03d,1.0,0.5,True,False
018a76962705dd37,1.0,0.5,True,False
01963a539f82eb4d,,1.0,True,True
01bb8b45b86edcb8,2.0,0.25,True,False
01c8968fd0f30e16,,1.0,True,True
01e7c5204a45bc0e,1.0,0.5,True,False
02045ee32d053013,1.0,0.0,True,False
020f7f853a61d2a5,1.0,0.0,True,False
020fc7970debc94f,,1.0,True,True
022ea0865d780b69,1.0,0.0,True,False
0245ca31d3917f7d,1.0,0.5,True,False
025d748256a6347e,,1.0,True,True
02a6d1331db9e5b5,,1.0,True,True
02d514e9ea446d65,1.0,0.75,True,False
03a9ed233637e19f,1.0,0.5,True,False
03b5f399baaf191a,1.0,0.5,True,False
04218f1a6e23777f,1.0,0.5,True,False
042261ce81c362bf,1.0,0.5,True,False
0439b626b517cc38,3.0,0.5,True,False
050088987e60dfbf,1.0,0.5,True,False
05105ed5b9c8b7e1,1.0,0.0,True,False
05894539fcdf4840,1.0,0.5,True,False
05adc0d50f11cd6b,1.0,0.5,True,False
05aebe6e164eaf90,1.0,0.0,True,False
05f380997678b62c,1.0,0.5,True,False
061d51f8a43f53d2,1.0,0.0,True,False
062cc9e374ee5f11,1.0,0.5,True,False
06488a860d6b4852,1.0,0.5,True,False
06596913c7cf0e07,,1.0,True,True
0674ba00f35818b1,1.0,0.0,True,False
069d32ca4c99fa88,1.0,0.0,True,False
069dc362cc83fb7a,1.0,0.0,True,False
06c5675e06923cf3,1.0,0.0,True,False
06dfbbfb6d453364,1.0,0.5,True,False
06e2ace14b074539,1.0,0.5,True,False
07328633e416da56,1.0,0.5,True,False
073f492ba2e9546b,1.0,0.5,True,False
0755c2eb8c213677,1.0,0.5,True,False
077567325cccd3b1,1.0,0.0,True,False
0788c1f5e0941401,1.0,0.0,True,False
078a85e3ddc78640,1.0,0.0,True,False
07bc49e1c055f3b2,,1.0,True,True
07d6ec22de700779,1.0,0.5,True,False
07f3f8fb0442bd12,,1.0,True,True
0865c64c797ff672,,1.0,True,True
086fd017905204a2,1.0,0.5,True,False
08ae699d954c689d,1.0,0.0,True,False
08ec7aa12f5a9d83,2.0,0.625,True,False
091bf0ad75d65bb4,4.0,0.75,True,False
