,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership
class_size,1.0,0.9999999999999986,0.9392385503304549,0.9392385503304463,0.1821281809942527,0.18212818099425077,-0.21695300052391692,-0.21695300052391692,-0.21695300052391756,0.10317392605262997,-0.2529038735475505,-0.18623639083541452,-0.1723435895674819,-0.1777788815974389,-0.16630901425085817,0.10317392605262997,-0.23789006826907924,0.952924409407475,-0.22441772056617093,0.9815279239608201,-0.009850176434306043,-0.21695300052391692,-0.23789006826907924,0.8959187526522995,0.10317392605262997,-0.2529038735475505,-0.16630901425085817,-0.12289834492418021,0.14373805508212026,-0.15877141469508388,0.2776005016736374,-0.1554420694938071,0.2775505198440916,-0.006746126601015719,-0.15260501688687533,-0.00982221431482945
frequency,0.9999999999999986,1.0,0.9392385503304553,0.9392385503304607,0.18212818099425457,0.18212818099425182,-0.21695300052391897,-0.21695300052391897,-0.21695300052391825,0.10317392605263112,-0.25290387354755434,-0.18623639083541557,-0.1723435895674821,-0.17777888159743935,-0.16630901425085867,0.10317392605263112,-0.23789006826908102,0.9529244094074851,-0.2244177205661734,0.9815279239608117,-0.009850176434306053,-0.21695300052391897,-0.23789006826908102,0.8959187526523203,0.10317392605263112,-0.25290387354755434,-0.16630901425085867,-0.12289834492417975,0.14373805508212262,-0.15877141469508674,0.2776005016736414,-0.15544206949380882,0.2775505198440937,-0.006746126601015849,-0.152605016886876,-0.009822214314829181
dag_diversity,0.9392385503304549,0.9392385503304553,1.0,0.9999999999999998,0.10958347602775965,0.10958347602775757,-0.20228061318861806,-0.20228061318861806,-0.2022806131886177,0.14223616632253813,-0.2642027182082079,-0.15826239482999455,-0.18085671859961774,-0.16194258108683346,-0.19438389955941499,0.14223616632253813,-0.2650281340257049,0.8801929713143734,-0.24984333842817671,0.9875619820542549,-0.009097914026447643,-0.20228061318861806,-0.2650281340257049,0.6937813516678502,0.14223616632253813,-0.2642027182082079,-0.19438389955941499,-0.14339080628067594,0.15996837156493746,-0.1773205620946081,0.30608958106454176,-0.17331397839780566,0.3068574799806975,-0.005663158545189104,-0.16998628247297973,-0.014596876667596714
dag_div_score,0.9392385503304463,0.9392385503304607,0.9999999999999998,1.0,0.10958347602775861,0.10958347602775777,-0.2022806131886198,-0.2022806131886198,-0.2022806131886153,0.1422361663225383,-0.26420271820820795,-0.1582623948299955,-0.1808567185996185,-0.16194258108683368,-0.19438389955941326,0.1422361663225383,-0.2650281340257058,0.880192971314373,-0.24984333842817183,0.9875619820542473,-0.00909791402644747,-0.2022806131886198,-0.2650281340257058,0.693781351667854,0.1422361663225383,-0.26420271820820795,-0.19438389955941326,-0.14339080628067838,0.1599683715649375,-0.17732056209460906,0.30608958106453993,-0.1733139783978051,0.306857479980696,-0.005663158545189125,-0.1699862824729787,-0.014596876667596292
operator_diversity,0.1821281809942527,0.18212818099425457,0.10958347602775965,0.10958347602775861,1.0,0.9999999999999996,-0.37323459071607246,-0.37323459071607246,-0.37323459071606985,-0.3025508836568904,-0.055978285160273054,-0.19533183666979814,-0.06654101510735479,-0.23897939552346625,0.13776820906429288,-0.3025508836568904,0.09378598148836242,0.12403838648559891,0.1560532573312454,0.14449892573854034,-0.005265257444326264,-0.37323459071607246,0.09378598148836242,0.2795297869089604,-0.3025508836568904,-0.055978285160273054,0.13776820906429288,-0.03711643790306379,-0.15192999383105477,-0.07145991708553026,0.48421470215544576,-0.03711643790306504,0.509648994269661,-0.001910779326896814,-0.035236152435939784,0.27526151516273806
op_div_score,0.18212818099425077,0.18212818099425182,0.10958347602775757,0.10958347602775777,0.9999999999999996,1.0,-0.3732345907160684,-0.3732345907160684,-0.373234590716072,-0.3025508836568897,-0.05597828516027275,-0.19533183666979798,-0.06654101510735526,-0.2389793955234645,0.1377682090642935,-0.3025508836568897,0.09378598148836285,0.12403838648559733,0.15605325733124287,0.14449892573853798,-0.005265257444326239,-0.3732345907160684,0.09378598148836285,0.27952978690895913,-0.3025508836568897,-0.05597828516027275,0.1377682090642935,-0.03711643790306265,-0.151929993831053,-0.07145991708553044,0.48421470215544443,-0.03711643790306461,0.5096489942696524,-0.0019107793268968879,-0.03523615243593945,0.2752615151627381
depth_min,-0.21695300052391692,-0.21695300052391897,-0.20228061318861806,-0.2022806131886198,-0.37323459071607246,-0.3732345907160684,1.0,1.0,0.9999999999999991,0.038979340058816626,0.3945058804392115,0.500339812791287,0.9505162558722526,0.3443164849086396,0.505171342268796,0.038979340058816626,0.4474353897755267,-0.17931947701642242,0.4230023580115495,-0.2121149714489724,-0.008497777585991838,1.0,0.4474353897755267,-0.21533856687707725,0.038979340058816626,0.3945058804392115,0.505171342268796,0.6539819288906944,-0.08265147438038256,0.6539819288906911,-0.4875671874272189,0.6539819288906946,-0.3401420742239785,-0.0060530544095302565,0.6468602777232397,0.22389046325020076
depth_max,-0.21695300052391692,-0.21695300052391897,-0.20228061318861806,-0.2022806131886198,-0.37323459071607246,-0.3732345907160684,1.0,1.0,0.9999999999999991,0.038979340058816626,0.3945058804392115,0.500339812791287,0.9505162558722526,0.3443164849086396,0.505171342268796,0.038979340058816626,0.4474353897755267,-0.17931947701642242,0.4230023580115495,-0.2121149714489724,-0.008497777585991838,1.0,0.4474353897755267,-0.21533856687707725,0.038979340058816626,0.3945058804392115,0.505171342268796,0.6539819288906944,-0.08265147438038256,0.6539819288906911,-0.4875671874272189,0.6539819288906946,-0.3401420742239785,-0.0060530544095302565,0.6468602777232397,0.22389046325020076
depth_score,-0.21695300052391756,-0.21695300052391825,-0.2022806131886177,-0.2022806131886153,-0.37323459071606985,-0.373234590716072,0.9999999999999991,0.9999999999999991,1.0,0.03897934005881652,0.39450588043920626,0.5003398127912873,0.9505162558722455,0.34431648490863487,0.5051713422687987,0.03897934005881652,0.4474353897755192,-0.17931947701642348,0.4230023580115491,-0.21211497144896996,-0.008497777585991899,0.9999999999999991,0.4474353897755192,-0.21533856687707287,0.03897934005881652,0.39450588043920626,0.5051713422687987,0.6539819288906974,-0.08265147438038122,0.6539819288906966,-0.48756718742722,0.6539819288907008,-0.3401420742239802,-0.006053054409530252,0.6468602777232383,0.22389046325020068
intervention_score,0.10317392605262997,0.10317392605263112,0.14223616632253813,0.1422361663225383,-0.3025508836568904,-0.3025508836568897,0.038979340058816626,0.038979340058816626,0.03897934005881652,1.0,-0.3028251421912667,0.12156967938147231,-0.059393980503481325,-0.5568321410734111,-0.7357781006802928,1.0,-0.7864896970404908,0.07215735382190312,-0.6789852709016009,0.1265334701515955,-0.006731934984639921,0.03897934005881664,-0.7864896970404908,0.026049981231721267,1.0,-0.3028251421912667,-0.7357781006802928,-0.5943027458675336,0.8914044860348181,-0.5943027458675302,0.1315002005306479,-0.5943027458675304,0.04348292891017137,-0.0062047205964423785,-0.5977417441726217,-0.19553696586678382
conditional_score,-0.2529038735475505,-0.25290387354755434,-0.2642027182082079,-0.26420271820820795,-0.055978285160273054,-0.05597828516027275,0.3945058804392115,0.3945058804392115,0.39450588043920626,-0.3028251421912667,1.0,0.5720318947047086,0.4055464960117844,0.27001022875645014,0.7198090488022626,-0.3028251421912667,0.7212672715276105,-0.2068156575908075,0.7578044980569822,-0.2630943234328826,0.001474680162531263,0.3945058804392115,0.7212672715276105,-0.20061254088278332,-0.3028251421912667,1.0,0.7198090488022626,0.3474396203574943,-0.3258015244479288,0.3474396203574913,-0.23154397873156368,0.3474396203574921,-0.1702197923618812,0.009399506603631655,0.3494501179933165,0.114314277796985
role_score,-0.18623639083541452,-0.18623639083541557,-0.15826239482999455,-0.1582623948299955,-0.19533183666979814,-0.19533183666979798,0.500339812791287,0.500339812791287,0.5003398127912873,0.12156967938147231,0.5720318947047086,1.0,0.47270532585615677,-0.13858880598712298,0.4669577876170983,0.12156967938147227,0.41299602485362186,-0.15934097797583677,0.5969504286844451,-0.1735118744636759,-0.0026994490522621113,0.500339812791287,0.41299602485362186,-0.2028569006004803,0.12156967938147227,0.5720318947047087,0.4669577876170983,0.19874654432858418,0.04482519323958867,0.19874654432858221,-0.1930980070271999,0.19874654432858402,-0.122153030411335,0.005031774738649786,0.19989661310050194,0.06539141292000891
complexity,-0.1723435895674819,-0.1723435895674821,-0.18085671859961774,-0.1808567185996185,-0.06654101510735479,-0.06654101510735526,0.9505162558722526,0.9505162558722526,0.9505162558722455,-0.059393980503481325,0.4055464960117844,0.47270532585615677,1.0,0.2902853838403443,0.5894481312170822,-0.05939398050348133,0.5126244595475982,-0.15132138262389125,0.5071983468234433,-0.179741328167307,-0.010902579961685057,0.9505162558722525,0.5126244595475982,-0.1379900146653937,-0.05939398050348133,0.40554649601178433,0.5894481312170822,0.6909300373607821,-0.13976926387750596,0.6794293055646828,-0.3622290257743107,0.6909300373607791,-0.1951556333222871,-0.007149946597038632,0.6839003403357868,0.3329726809675972
signature_len,-0.1777788815974389,-0.17777888159743935,-0.16194258108683346,-0.16194258108683368,-0.23897939552346625,-0.2389793955234645,0.3443164849086396,0.3443164849086396,0.34431648490863487,-0.5568321410734111,0.27001022875645014,-0.13858880598712298,0.2902853838403443,1.0,0.4871742296537268,-0.556832141073411,0.5315952420281249,-0.12573355138679546,0.3637740701087443,-0.17168912463977762,0.003938170009902617,0.34431648490863953,0.5315952420281249,-0.18257028990525265,-0.556832141073411,0.27001022875645,0.4871742296537268,0.523436114196932,-0.6156967195212546,0.5324359024236999,-0.34719400149087415,0.5247011446705772,-0.2801744941837435,0.0034363020746946723,0.5213544021182762,0.06195244809328603
