,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership
class_size,1.0,1.0,0.9844238307287887,0.9844238307287887,0.5237488335596352,0.5237488335596352,-0.402960991279813,-0.402960991279813,-0.402960991279813,0.19412570824878442,-0.27795408197715954,-0.213590252385067,-0.24115052943240525,-0.41132192545304996,-0.20961145564643574,0.19412570824878442,-0.3762024953791992,0.927817300894823,-0.2727418400389552,0.9987638426202725,-0.0035274848939848185,-0.402960991279813,-0.3762024953791992,0.9890648820038312,0.19412570824878442,-0.27795408197715954,-0.20961145564643574,-0.3429343009856562,0.21106733725325283,-0.38098988828803115,0.8885822506423519,-0.35484014403915415,0.8880403234357105,-0.0015993403513549886,-0.34883799484138445,0.18876469115275726
frequency,1.0,1.0,0.9844238307287887,0.9844238307287887,0.5237488335596352,0.5237488335596352,-0.402960991279813,-0.402960991279813,-0.402960991279813,0.19412570824878442,-0.27795408197715954,-0.213590252385067,-0.24115052943240525,-0.41132192545304996,-0.20961145564643574,0.19412570824878442,-0.3762024953791992,0.927817300894823,-0.2727418400389552,0.9987638426202725,-0.0035274848939848185,-0.402960991279813,-0.3762024953791992,0.9890648820038312,0.19412570824878442,-0.27795408197715954,-0.20961145564643574,-0.3429343009856562,0.21106733725325283,-0.38098988828803115,0.8885822506423519,-0.35484014403915415,0.8880403234357105,-0.0015993403513549886,-0.34883799484138445,0.18876469115275726
dag_diversity,0.9844238307287887,0.9844238307287887,1.0,1.0,0.4612454880988881,0.4612454880988881,-0.39028454599786433,-0.39028454599786433,-0.39028454599786433,0.21304941833157767,-0.27211096811224456,-0.19057008422749758,-0.24640008392864127,-0.42062931826975863,-0.22260613252099984,0.21304941833157767,-0.38213606616529483,0.9152534885596987,-0.2887585613440998,0.9913906174028075,-0.004470492292412066,-0.39028454599786433,-0.38213606616529483,0.9629058869321744,0.21304941833157767,-0.27211096811224456,-0.22260613252099984,-0.3489352700657817,0.22684826991272386,-0.386448894088321,0.8771776781440958,-0.36069611204402363,0.8959965508522838,-0.0026580919299877743,-0.3544401281003179,0.18305405034162073
dag_div_score,0.9844238307287887,0.9844238307287887,1.0,1.0,0.4612454880988881,0.4612454880988881,-0.39028454599786433,-0.39028454599786433,-0.39028454599786433,0.21304941833157767,-0.27211096811224456,-0.19057008422749758,-0.24640008392864127,-0.42062931826975863,-0.22260613252099984,0.21304941833157767,-0.38213606616529483,0.9152534885596987,-0.2887585613440998,0.9913906174028075,-0.004470492292412066,-0.39028454599786433,-0.38213606616529483,0.9629058869321744,0.21304941833157767,-0.27211096811224456,-0.22260613252099984,-0.3489352700657817,0.22684826991272386,-0.386448894088321,0.8771776781440958,-0.36069611204402363,0.8959965508522838,-0.0026580919299877743,-0.3544401281003179,0.18305405034162073
operator_diversity,0.5237488335596352,0.5237488335596352,0.4612454880988881,0.4612454880988881,1.0,1.0,-0.28455952226441766,-0.28455952226441766,-0.28455952226441766,-0.3007611071681454,0.025208767391022832,-0.16674025691762273,0.003051563721995279,-0.10131703424113336,0.24506581667402472,-0.3007611071681454,0.08035577394260221,0.4669783084568749,0.23732018360204707,0.5071091223685715,-0.004711947189415009,-0.28455952226441766,0.08035577394260221,0.6300689979514349,-0.3007611071681454,0.025208767391022832,0.24506581667402472,-0.010924211698344857,-0.21489791651046602,-0.049185361046204724,0.49381383312541527,-0.010924211698344857,0.5243757301927494,-0.0016330129048025954,-0.008653371419131972,0.31667228077985937
op_div_score,0.5237488335596352,0.5237488335596352,0.4612454880988881,0.4612454880988881,1.0,1.0,-0.28455952226441766,-0.28455952226441766,-0.28455952226441766,-0.3007611071681454,0.025208767391022832,-0.16674025691762273,0.003051563721995279,-0.10131703424113336,0.24506581667402472,-0.3007611071681454,0.08035577394260221,0.4669783084568749,0.23732018360204707,0.5071091223685715,-0.004711947189415009,-0.28455952226441766,0.08035577394260221,0.6300689979514349,-0.3007611071681454,0.025208767391022832,0.24506581667402472,-0.010924211698344857,-0.21489791651046602,-0.049185361046204724,0.49381383312541527,-0.010924211698344857,0.5243757301927494,-0.0016330129048025954,-0.008653371419131972,0.31667228077985937
depth_min,-0.402960991279813,-0.402960991279813,-0.39028454599786433,-0.39028454599786433,-0.28455952226441766,-0.28455952226441766,1.0,1.0,1.0,-0.04540882144291539,0.4161495906533047,0.4371774183070436,0.9525182796956524,0.4151062511749916,0.5969088166369153,-0.04540882144291539,0.6048518007224182,-0.6047349765932698,0.5969999688987989,-0.39936072589426125,-0.005661293069490052,1.0,0.6048518007224182,-0.40904583851391746,-0.04540882144291539,0.4161495906533047,0.5969088166369153,0.701727753133894,-0.11961247252314253,0.701727753133894,-0.5033330987829083,0.701727753133894,-0.35400460530161176,-0.0056279176117031695,0.6942177550871703,0.24013103927898946
depth_max,-0.402960991279813,-0.402960991279813,-0.39028454599786433,-0.39028454599786433,-0.28455952226441766,-0.28455952226441766,1.0,1.0,1.0,-0.04540882144291539,0.4161495906533047,0.4371774183070436,0.9525182796956524,0.4151062511749916,0.5969088166369153,-0.04540882144291539,0.6048518007224182,-0.6047349765932698,0.5969999688987989,-0.39936072589426125,-0.005661293069490052,1.0,0.6048518007224182,-0.40904583851391746,-0.04540882144291539,0.4161495906533047,0.5969088166369153,0.701727753133894,-0.11961247252314253,0.701727753133894,-0.5033330987829083,0.701727753133894,-0.35400460530161176,-0.0056279176117031695,0.6942177550871703,0.24013103927898946
depth_score,-0.402960991279813,-0.402960991279813,-0.39028454599786433,-0.39028454599786433,-0.28455952226441766,-0.28455952226441766,1.0,1.0,1.0,-0.04540882144291539,0.4161495906533047,0.4371774183070436,0.9525182796956524,0.4151062511749916,0.5969088166369153,-0.04540882144291539,0.6048518007224182,-0.6047349765932698,0.5969999688987989,-0.39936072589426125,-0.005661293069490052,1.0,0.6048518007224182,-0.40904583851391746,-0.04540882144291539,0.4161495906533047,0.5969088166369153,0.701727753133894,-0.11961247252314253,0.701727753133894,-0.5033330987829083,0.701727753133894,-0.35400460530161176,-0.0056279176117031695,0.6942177550871703,0.24013103927898946
intervention_score,0.19412570824878442,0.19412570824878442,0.21304941833157767,0.21304941833157767,-0.3007611071681454,-0.3007611071681454,-0.04540882144291539,-0.04540882144291539,-0.04540882144291539,1.0,-0.33657529827916244,0.04668710864264326,-0.12538369565646473,-0.7040069339921252,-0.7310569178213033,1.0,-0.7402283692432847,0.2910485573110821,-0.7311284528837777,0.20023828204392274,-0.008064053223874315,-0.04540882144291539,-0.7402283692432847,0.12992360955740012,1.0,-0.33657529827916244,-0.7310569178213033,-0.6037757610562466,0.905613217685835,-0.6037757610562466,0.14920964319815674,-0.6037757610562466,0.05902056580361687,-0.0064295363172941515,-0.6072695760072343,-0.19865376897848133
