class_id,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
17e289b3c332294d,True,False,1.0,0.5
cf63e254acd519cb,True,False,1.0,0.5
2484caa5d255d994,True,False,1.0,0.5
089911203563e566,,,,
857b3c27b5df4d12,True,False,1.0,0.5
39af24de61852bd8,,,,
0d83fb0424465a35,,,,
8e2c0fa415ccba4f,True,False,1.0,0.5
9bda833cc44dd793,True,False,1.0,0.5
c27db25ce54c22b5,True,False,1.0,0.5
77b6a1021cf1a462,True,False,1.0,0.5
0f2f893b845d1cf6,True,False,1.0,0.5
d34283f682fb5db5,True,False,1.0,0.0
210dc2e782ce6534,True,False,1.0,0.0
53b16c30a7f9d314,True,False,1.0,0.0
f0e578d57e5d51e5,,,,
37a2778aa2c10a05,True,False,1.0,0.0
d1ef19f473f194b5,,,,
af5dcc0f1bb1aaae,,,,
fb929282347e51f7,True,False,1.0,0.0
2198fe7030eb6d13,,,,
4955c64e148a70f2,True,False,1.0,0.0
333d4ad2334fa474,True,False,1.0,0.0
d221d9b5e05b2607,True,False,1.0,0.0
bc9c853b1e75c157,True,False,2.0,0.25
a0b2c1117b29c0f8,True,False,1.0,0.0
a1e49f1c94433d63,True,False,2.0,0.25
38b8e8007fa9161a,True,False,1.0,0.0
5e258fa8c2710ec8,True,False,1.0,0.5
2f10f682ed11029b,True,False,1.0,0.0
8f1242e3195a396b,,,,
5a405e514d4554ea,True,False,1.0,0.0
b728285b2ffb3555,,,,
8d380d339234504a,True,True,,1.0
50460cde9bb67eb1,True,False,1.0,0.0
3100693433eb8c2d,True,False,1.0,0.0
c3733769bb8fc44f,,,,
c94a6b6406620b62,True,False,1.0,0.5
0c8425cddbd39ea8,,,,
6b0eb82d60bdd4b5,True,False,1.0,0.5
ff0f5147443f5bba,,,,
8384d4443a4611b4,,,,
b9282ee5dc6e9fbf,,,,
de373ef2829d3135,True,False,2.0,0.625
6325528709ddc79c,True,False,1.0,0.5
d7be5ca6c386bbdd,True,False,1.0,0.5
adc608b7896bb705,True,False,1.0,0.5
688f581c6e6b6894,,,,
7f0f3736ef3bd4fe,,,,
8258b89dbb94223f,True,False,1.0,0.5
3f7ab9843f95651e,True,False,1.0,0.5
1bfb1ae05c49204c,True,False,1.0,0.5
f97fe8edc7a7f210,True,False,1.0,0.5
dd7a0953103d930f,,,,
eb4c44694007ce06,,,,
9619681c433e5b18,,,,
afb4ef6b0624be47,True,False,1.0,0.5
93ceb2f92ed269bc,,,,
f937144f7ce51614,True,False,1.0,0.5
f5ecf1ca9433a6cd,,,,
deb58f5ea5753fb1,True,False,1.0,0.0
5a84018b7ada0f76,True,False,2.0,0.25
3cdaebde575c5b37,True,False,1.0,0.0
90cefc9b766e431f,True,False,1.0,0.0
b49119c13665cce9,True,False,1.0,0.0
a11c2863198aa93b,True,False,1.0,0.0
b060e608b93e1b7f,,,,
7ad6acf61118205d,,,,
a74053cd9fbcdf58,True,False,1.0,0.0
bd14af00f41da381,True,False,1.0,0.5
b4f8130d00b42e2e,True,False,1.0,0.0
16e28a3f3dc7561d,,,,
a2aaf93ce4a8e265,,,,
15217e1b25135e99,,,,
23fbc412bd7675d8,True,False,1.0,0.0
9d7dbdb0d3d166c3,True,False,1.0,0.0
6ab6e9e153f8ad7f,,,,
dc2ef3c4af8b2018,,,,
5af5480f52cf5615,True,True,,1.0
cb7d67388749b3b5,True,False,1.0,0.0
07bc49e1c055f3b2,True,True,,1.0
59a8881b96fb5ada,True,True,,1.0
87c14dd4a70303a3,True,False,1.0,0.0
9ef5790eada8a129,True,False,2.0,0.625
0effd4a1f26a3c0d,True,False,1.0,0.0
a91cd87936d8548d,True,False,1.0,0.0
0a60f33026596983,True,False,1.0,0.0
6820c5d670a6d1b8,True,False,1.0,0.0
b3993b8e57f8a169,True,False,1.0,0.0
952059cd0404cb5f,True,False,1.0,0.0
6dc894a81cab6084,True,False,1.0,0.0
0cc3159cf502db9a,True,False,1.0,0.0
6b74b81c77ab30a8,True,False,1.0,0.0
d5261fa8638ea9f5,True,False,1.0,0.5
db1d6204236a4c10,True,False,1.0,0.0
e66c154964a6d9ce,True,False,1.0,0.0
3dbce805a0b141a8,True,False,1.0,0.0
036c2ac09d0c48af,,,,
6bd935553e3b5345,True,False,1.0,0.0
386da6dfcf050dc7,True,False,1.0,0.0
d7b8205effcc4b7a,,,,
5e5220eb2a7fab00,True,False,3.0,0.5
d53de0fdf9ed6571,True,True,,1.0
d201c023f52bc1c3,True,False,1.0,0.0
e9fa4024f8762230,True,False,1.0,0.5
3e20939de73aa357,True,False,1.0,0.125
ac3d178dae40cba0,True,True,,1.0
ee1b864a704f7369,True,True,,1.0
91ad7c8aa3ab5cba,,,,
d92e8806b74ccd4a,True,False,1.0,0.0
748743ab5794c55f,,,,
df9dfb656b51ec72,True,False,1.0,0.0
d902280dcc67d1b5,,,,
4888e4fe0cd53d6a,True,False,1.0,0.0
5c97423916aedd95,,,,
274a467d892ed0a3,,,,
eb9d64c31077274c,True,False,1.0,0.5
43218941d64aa8e0,True,False,1.0,0.0
518bdb597cc0c868,,,,
7ec0efab1b427b37,,,,
071b291413a1ad01,,,,
0db643e618097b88,,,,
1712e922cba71e91,True,False,1.0,0.5
1ee1728657df11e0,,,,
ea6e02a4adb26288,,,,
8091905f5e8f4c63,,,,
1d01b02fdb8c0bc5,,,,
a36666a1fdfbd6fe,True,False,1.0,0.0
b58f747f6c47ddcf,,,,
939f964afacaca90,True,False,1.0,0.0
14f638511ca49117,,,,
82627b49adb24fc2,True,False,1.0,0.0
3763d524e609c5a0,True,False,1.0,0.5
6d15cb5ce5ffde8b,True,False,1.0,0.5
44cb71513a7afb4d,True,False,1.0,0.5
9661609533bdfcb4,True,False,1.0,0.5
1c190318372b2dbe,True,False,1.0,0.5
59aedb85463f5af4,True,False,2.0,0.625
d8730d74142d945a,True,False,1.0,0.5
5961ca3dd5952899,True,False,1.0,0.5
3565b8aaa8bf8450,True,False,2.0,0.625
f06dc8aafaee6a0a,True,False,1.0,0.5
57a8c160fd4fd10b,True,False,1.0,0.5
41546aa101ee86db,True,False,1.0,0.5
61de080f7a72632f,True,False,1.0,0.0
9ebc721b299fe059,,,,
0c5ca47a06964983,True,False,1.0,0.0
771831d01716c10e,True,False,1.0,0.0
a1d78b2c6c71c63e,True,False,1.0,0.0
1459edfd8986a239,True,False,2.0,0.25
db74624f15e9e298,True,False,1.0,0.0
061d51f8a43f53d2,True,False,1.0,0.0
f45b62f7e22ed194,True,False,2.0,0.25
18238c7d4071f241,True,False,1.0,0.0
ea9ccc8c09fa75d7,True,False,2.0,0.5
47deeed507786d18,True,False,1.0,0.0
31af4dd77a013d5a,True,False,1.0,0.0
1305089c20abcf01,True,False,2.0,0.25
f21bcd69efbaa656,True,False,2.0,0.25
a59afeaf3d0749cb,True,True,,1.0
53210ae1cecdcf64,True,False,1.0,0.0
d09f8b496df512b4,True,False,1.0,0.5
3b2aba26cd86dc2f,True,False,1.0,0.5
2b7f0d4e6e6eae6e,True,False,1.0,0.5
c9a907d44b1a3581,True,False,1.0,0.5
2ce083ea9d20e90c,,,,
fcadfa2dbea901bf,True,False,1.0,0.5
9cf1065f26518c10,True,False,1.0,0.5
27e26d2341e697ad,True,False,1.0,0.5
6a2060297152f5d7,True,False,1.0,0.5
c6e35495b39515ad,,,,
c98e7ce7bea5dc46,True,False,2.0,0.625
cb0f642a6861499d,True,False,1.0,0.5
a74c3ae53c430b3b,True,False,1.0,0.5
d0ba4ea43f0d14e9,True,False,1.0,0.5
d2c4ddc867e53502,,,,
4263952f8ccd25e4,,,,
e29313ae73b8a98a,True,False,1.0,0.5
6836bb72c28c6914,,,,
a3de368c5fdff3c3,True,False,1.0,0.5
bc0d4043cdbf6ab1,True,False,1.0,0.5
25572c9e75be476a,True,False,1.0,0.5
8229ab2f44578101,True,False,1.0,0.5
27046f7fbc9a85cb,True,False,1.0,0.5
110c1589d19754c0,,,,
d594b4a2418a7382,True,False,3.0,0.75
34f3879dbeeada9a,,,,
2fe8204e343472e4,,,,
3106fdec81eb7cf2,True,False,1.0,0.0
4453fc0896b211ea,True,False,3.0,0.5
87e639f5c9ed4c90,True,False,4.0,0.75
4499febacc3f222f,True,False,3.0,0.75
02045ee32d053013,True,False,1.0,0.0
cb94e7d7e1f7d083,True,False,1.0,0.5
54ef6082de2ef264,True,False,1.0,0.0
9b800db4670e2be1,True,False,1.0,0.0
4b5d05947b62026f,True,True,,1.0
885e0775dbe82fcc,True,True,,1.0
d7e1fee1f9d65cf0,,,,
b1886950079f06ef,,,,
3d44c118bbff65e9,True,False,1.0,0.5
23d692927ea19a6c,True,False,1.0,0.0
1d67abcf23151a94,True,False,2.0,0.375
85f86af669d48f90,True,True,,1.0
9255006dc40fdc78,True,True,,1.0
54905406f96b37ba,True,True,,1.0
50435e826defda84,True,False,1.0,0.0
d92bdf13def8dec0,True,True,,1.0
6a8f5782706e1232,True,False,1.0,0.5
5e9f80b028d84037,,,,
a79f5797912228df,,,,
20d77ec6974b1f6e,True,False,1.0,0.5
