,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score
class_size,1.0,0.9392385503304549,0.1821281809942527,-0.21695300052391692,-0.21695300052391692,0.8959187526522995,-0.18623639083541452,0.10317392605262997,-0.10352465814163786,-0.1777788815974389,0.9999999999999986,-0.21695300052391756,-0.23789006826907924,-0.1723435895674819,-0.16630901425085817,0.10317392605262997,-0.23789006826907924,0.952924409407475,-0.22441772056617093,0.9815279239608201,-0.009850176434306043
object_diversity,0.9392385503304549,1.0,0.10958347602775965,-0.20228061318861806,-0.20228061318861806,0.6937813516678502,-0.15826239482999455,0.14223616632253813,-0.12231453396838204,-0.16194258108683346,0.9392385503304554,-0.2022806131886177,-0.2650281340257049,-0.18085671859961774,-0.19438389955941499,0.14223616632253813,-0.2650281340257049,0.8801929713143734,-0.24984333842817671,0.9875619820542549,-0.009097914026447643
operator_diversity,0.1821281809942527,0.10958347602775965,1.0,-0.37323459071607246,-0.37323459071607246,0.2795297869089604,-0.19533183666979814,-0.3025508836568904,0.11302371770136901,-0.23897939552346625,0.18212818099425454,-0.37323459071606985,0.09378598148836242,-0.06654101510735479,0.13776820906429288,-0.3025508836568904,0.09378598148836242,0.12403838648559891,0.1560532573312454,0.14449892573854034,-0.005265257444326264
depth_min,-0.21695300052391692,-0.20228061318861806,-0.37323459071607246,1.0,1.0,-0.21533856687707725,0.500339812791287,0.038979340058816626,0.430105647088941,0.3443164849086396,-0.2169530005239189,0.9999999999999991,0.4474353897755267,0.9505162558722526,0.505171342268796,0.038979340058816626,0.4474353897755267,-0.17931947701642242,0.4230023580115495,-0.2121149714489724,-0.008497777585991838
depth_max,-0.21695300052391692,-0.20228061318861806,-0.37323459071607246,1.0,1.0,-0.21533856687707725,0.500339812791287,0.038979340058816626,0.430105647088941,0.3443164849086396,-0.2169530005239189,0.9999999999999991,0.4474353897755267,0.9505162558722526,0.505171342268796,0.038979340058816626,0.4474353897755267,-0.17931947701642242,0.4230023580115495,-0.2121149714489724,-0.008497777585991838
reuse_count,0.8959187526522995,0.6937813516678502,0.2795297869089604,-0.21533856687707725,-0.21533856687707725,1.0,-0.2028569006004803,0.026049981231721243,-0.06300570035107922,-0.1825702899052525,0.8959187526523203,-0.21533856687707295,-0.16263979201014397,-0.1379900146653938,-0.1020214291915874,0.026049981231721243,-0.16263979201014397,0.8671827742815464,-0.1521097141884872,0.7970485841146854,-0.008883419796972925
role_score,-0.18623639083541452,-0.15826239482999455,-0.19533183666979814,0.500339812791287,0.500339812791287,-0.2028569006004803,1.0,0.12156967938147227,0.40128105938657305,-0.13858880598712298,-0.18623639083541554,0.5003398127912873,0.41299602485362186,0.47270532585615677,0.4669577876170983,0.12156967938147227,0.41299602485362186,-0.15934097797583677,0.5969504286844451,-0.1735118744636759,-0.0026994490522621113
action_effect_score,0.10317392605262997,0.14223616632253813,-0.3025508836568904,0.038979340058816626,0.038979340058816626,0.026049981231721243,0.12156967938147227,1.0,-0.7881291010364113,-0.5568321410734111,0.1031739260526311,0.03897934005881654,-0.7864896970404908,-0.059393980503481325,-0.7357781006802928,1.0,-0.7864896970404908,0.07215735382190312,-0.6789852709016009,0.1265334701515955,-0.006731934984639921
redundancy_score,-0.10352465814163786,-0.12231453396838204,0.11302371770136901,0.430105647088941,0.430105647088941,-0.06300570035107922,0.40128105938657305,-0.7881291010364113,1.0,0.5228012548401461,-0.10352465814163912,0.4301056470889439,0.9894173629232293,0.5004284877618166,0.9898255268351956,-0.7881291010364113,0.9894173629232293,-0.05591851600335226,0.9566989963618523,-0.11559079195193546,0.0005917723285464363
signature_len,-0.1777788815974389,-0.16194258108683346,-0.23897939552346625,0.3443164849086396,0.3443164849086396,-0.1825702899052525,-0.13858880598712298,-0.5568321410734111,0.5228012548401461,1.0,-0.17777888159743938,0.3443164849086348,0.5315952420281249,0.2902853838403442,0.4871742296537268,-0.556832141073411,0.5315952420281249,-0.12573355138679546,0.3637740701087443,-0.17168912463977762,0.003938170009902617
frequency,0.9999999999999986,0.9392385503304554,0.18212818099425454,-0.2169530005239189,-0.2169530005239189,0.8959187526523203,-0.18623639083541554,0.1031739260526311,-0.10352465814163912,-0.17777888159743938,1.0,-0.21695300052391825,-0.23789006826908102,-0.1723435895674821,-0.16630901425085867,0.10317392605263112,-0.23789006826908102,0.9529244094074851,-0.2244177205661734,0.9815279239608117,-0.009850176434306053
