source,k,target,r2,mae
F1_real_metrics,1,M1_original_score,0.96087175274221,0.025388217429768368
F1_real_metrics,1,M3_reuse_score,0.9869757636880426,0.03448441806634138
F1_real_metrics,1,M5_perturbation_centrality_score,0.928690702569842,0.029843468914536465
F1_real_metrics,1,mean_M1_M3_M5,0.9588460730000316,0.029905368136882066
F1_real_metrics,2,M1_original_score,0.9661034692905719,0.02548749654720227
F1_real_metrics,2,M3_reuse_score,0.9871917638470531,0.03458264426156574
F1_real_metrics,2,M5_perturbation_centrality_score,0.9287086529468223,0.029900135932315025
F1_real_metrics,2,mean_M1_M3_M5,0.9606679620281491,0.029990092247027676
F1_real_metrics,3,M1_original_score,0.9926649528973709,0.013350568949374107
F1_real_metrics,3,M3_reuse_score,0.9927233590099007,0.02620752553472822
F1_real_metrics,3,M5_perturbation_centrality_score,0.9837959036252644,0.021724926948978956
F1_real_metrics,3,mean_M1_M3_M5,0.9897280718441787,0.020427673811027097
F1_real_metrics,4,M1_original_score,0.998011732259863,0.006099944936439262
F1_real_metrics,4,M3_reuse_score,0.9977285317921174,0.013374535496038991
F1_real_metrics,4,M5_perturbation_centrality_score,0.9999964728170921,0.00027344057395250186
F1_real_metrics,4,mean_M1_M3_M5,0.9985789122896908,0.006582640335476919
F1_real_metrics,5,M1_original_score,1.0,1.2149323105653562e-16
F1_real_metrics,5,M3_reuse_score,1.0,2.550751746264897e-16
F1_real_metrics,5,M5_perturbation_centrality_score,1.0,2.383021176215179e-16
F1_real_metrics,5,mean_M1_M3_M5,1.0,2.0495684110151442e-16
F2_real_plus_controls,1,M1_original_score,0.9231976299712107,0.0313435032660498
F2_real_plus_controls,1,M3_reuse_score,0.9666304448841736,0.04063330396206941
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.9086281919387308,0.028513099683316036
F2_real_plus_controls,1,mean_M1_M3_M5,0.9328187555980384,0.033496635637145084
F2_real_plus_controls,2,M1_original_score,0.9663320665104911,0.02548648481377479
F2_real_plus_controls,2,M3_reuse_score,0.9874115529842122,0.03429530137691513
F2_real_plus_controls,2,M5_perturbation_centrality_score,0.9279358281932364,0.030123885311431137
F2_real_plus_controls,2,mean_M1_M3_M5,0.9605598158959799,0.029968557167373688
F2_real_plus_controls,3,M1_original_score,0.9663385249049339,0.025480548404079085
F2_real_plus_controls,3,M3_reuse_score,0.9874125164288827,0.034293047699894476
F2_real_plus_controls,3,M5_perturbation_centrality_score,0.9279441119315995,0.030130392013290333
F2_real_plus_controls,3,mean_M1_M3_M5,0.960565051088472,0.029967996039087966
