,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score
class_size,1.0,0.8808542740055,,-0.24925820196383708,-0.24925820196383708,0.6941328690831395,-0.12057522089746285,-0.2604889820096631,0.04408998758749922,0.3001975997463936,0.9999999999999996,0.880854274005499,-0.24925820196383772,0.6941328690831392,-0.24263207688934899,-0.2604889820096631,0.34136929504221936,0.9337261089558762,0.006351289261245773,0.3008540487760738,0.9804307061564156,-0.010797134669455892
object_diversity,0.8808542740055,1.0,,-0.2784175329334789,-0.2784175329334789,0.5833204881936926,-0.26773825661585765,-0.4011502300508131,-0.12689631918740524,0.369008609111005,0.880854274005501,1.0,-0.27841753293347943,0.5833204881936921,-0.27027611493867887,-0.4011502300508131,0.18223432404922274,0.8913474507374626,-0.16024922893505433,0.18194160479724836,0.9568097749970709,-0.035757080381628975
operator_diversity,,,,,,,,,,,,,,,,,,,,,,
depth_min,-0.24925820196383708,-0.2784175329334789,,1.0,1.0,-0.11961405895752382,0.5746514172635587,0.09825082011222268,0.5560348138799385,-0.0052224774459536435,-0.24925820196383772,-0.27841753293347865,1.0,-0.1196140589575238,0.9997586932099959,0.09825082011222268,0.44483163565780937,-0.2973968904558771,0.5330307808960327,0.5823820813750764,-0.26885701937032125,0.041573122580061524
depth_max,-0.24925820196383708,-0.2784175329334789,,1.0,1.0,-0.11961405895752382,0.5746514172635587,0.09825082011222268,0.5560348138799385,-0.0052224774459536435,-0.24925820196383772,-0.27841753293347865,1.0,-0.1196140589575238,0.9997586932099959,0.09825082011222268,0.44483163565780937,-0.2973968904558771,0.5330307808960327,0.5823820813750764,-0.26885701937032125,0.041573122580061524
reuse_count,0.6941328690831395,0.5833204881936926,,-0.11961405895752382,-0.11961405895752382,1.0,0.17463543221462666,0.013927336455792586,0.22329885249431858,-0.04228897694390179,0.6941328690831412,0.5833204881936929,-0.11961405895752408,0.999999999999999,-0.12052789858534987,0.013927336455792586,0.7311473237252463,0.6318757149929828,0.363688110752344,0.5753651038396824,0.6688595044112515,0.05913941052838298
role_score,-0.12057522089746285,-0.26773825661585765,,0.5746514172635587,0.5746514172635587,0.17463543221462666,1.0,0.5339894221531244,0.7968939884692425,-0.28359348684506813,-0.12057522089746296,-0.2677382566158576,0.5746514172635583,0.17463543221462652,0.5683488530501805,0.5339894221531244,0.7786967677529428,-0.1895082712876253,0.975158247809528,0.8491661094595697,-0.18538965594435766,0.1080216360063684
action_effect_score,-0.2604889820096631,-0.4011502300508131,,0.09825082011222268,0.09825082011222268,0.013927336455792586,0.5339894221531244,1.0,0.15951022572881082,-0.755771730741127,-0.26048898200966303,-0.40115023005081263,0.09825082011222284,0.01392733645579249,0.08163601155402224,1.0,0.3187222763381728,-0.29275289266293897,0.5781399904124425,0.324338394104159,-0.3267940425440559,0.04721339362601269
redundancy_score,0.04408998758749922,-0.12689631918740524,,0.5560348138799385,0.5560348138799385,0.22329885249431858,0.7968939884692425,0.15951022572881082,1.0,0.04222325703686869,0.044089987587499185,-0.12689631918740488,0.5560348138799391,0.22329885249431836,0.5568919666582716,0.15951022572881074,0.6972144394446227,-0.04763746212348029,0.7695905143050914,0.7476724212064253,-0.02569516654678435,0.05313699076795346
signature_len,0.3001975997463936,0.369008609111005,,-0.0052224774459536435,-0.0052224774459536435,-0.04228897694390179,-0.28359348684506813,-0.755771730741127,0.04222325703686869,1.0,0.30019759974639376,0.369008609111005,-0.005222477445953825,-0.04228897694390157,0.016745625734853962,-0.755771730741127,-0.18235026280466293,0.314514631749443,-0.33999135664094493,-0.13884413049906125,0.3378132092417465,-0.030132474290149425
frequency,0.9999999999999996,0.880854274005501,,-0.24925820196383772,-0.24925820196383772,0.6941328690831412,-0.12057522089746296,-0.26048898200966303,0.044089987587499185,0.30019759974639376,1.0,0.8808542740055004,-0.24925820196383794,0.6941328690831395,-0.24263207688934926,-0.26048898200966314,0.34136929504222,0.9337261089558762,0.006351289261245886,0.30085404877607375,0.9804307061564167,-0.01079713466945592
object_diversity_score,0.880854274005499,1.0,,-0.27841753293347865,-0.27841753293347865,0.5833204881936929,-0.2677382566158576,-0.40115023005081263,-0.12689631918740488,0.369008609111005,0.8808542740055004,1.0,-0.27841753293347943,0.5833204881936925,-0.2702761149386789,-0.4011502300508124,0.18223432404922293,0.8913474507374616,-0.1602492289350541,0.18194160479724866,0.9568097749970712,-0.03575708038162889
depth_score,-0.24925820196383772,-0.27841753293347943,,1.0,1.0,-0.11961405895752408,0.5746514172635583,0.09825082011222284,0.5560348138799391,-0.005222477445953825,-0.24925820196383794,-0.27841753293347943,1.0,-0.11961405895752436,0.9997586932099944,0.0982508201122229,0.4448316356578095,-0.2973968904558778,0.533030780896033,0.5823820813750763,-0.26885701937032186,0.04157312258006163
reuse_rate,0.6941328690831392,0.5833204881936921,,-0.1196140589575238,-0.1196140589575238,0.999999999999999,0.17463543221462652,0.01392733645579249,0.22329885249431836,-0.04228897694390157,0.6941328690831395,0.5833204881936925,-0.11961405895752436,1.0,-0.12052789858534964,0.013927336455792458,0.7311473237252443,0.6318757149929819,0.36368811075234403,0.5753651038396825,0.6688595044112496,0.05913941052838281
complexity,-0.24263207688934899,-0.27027611493867887,,0.9997586932099959,0.9997586932099959,-0.12052789858534987,0.5683488530501805,0.08163601155402224,0.5568919666582716,0.016745625734853962,-0.24263207688934926,-0.2702761149386789,0.9997586932099944,-0.12052789858534964,1.0,0.08163601155402228,0.44076955899633175,-0.2904501633028859,0.5254945681796,0.5792583117019382,-0.26140209470814746,0.040905926773270554
M2_intervention_score,-0.2604889820096631,-0.4011502300508131,,0.09825082011222268,0.09825082011222268,0.013927336455792586,0.5339894221531244,1.0,0.15951022572881074,-0.755771730741127,-0.26048898200966314,-0.4011502300508124,0.0982508201122229,0.013927336455792458,0.08163601155402228,1.0,0.3187222763381728,-0.29275289266293897,0.5781399904124425,0.324338394104159,-0.3267940425440559,0.04721339362601269
M3_reuse_score,0.34136929504221936,0.18223432404922274,,0.44483163565780937,0.44483163565780937,0.7311473237252463,0.7786967677529428,0.3187222763381728,0.6972144394446227,-0.18235026280466293,0.34136929504222,0.18223432404922293,0.4448316356578095,0.7311473237252443,0.44076955899633175,0.3187222763381728,1.0,0.2526084137498534,0.8816025812037709,0.9642710466514478,0.2854248250150827,0.10641317553570619
M4_compression_score,0.9337261089558762,0.8913474507374626,,-0.2973968904558771,-0.2973968904558771,0.6318757149929828,-0.1895082712876253,-0.29275289266293897,-0.04763746212348029,0.314514631749443,0.9337261089558762,0.8913474507374616,-0.2973968904558778,0.6318757149929819,-0.2904501633028859,-0.29275289266293897,0.2526084137498534,1.0,-0.07228571852985749,0.22032337313118486,0.9440945935087012,-0.01680813279183396
M5_perturbation_centrality_score,0.006351289261245773,-0.16024922893505433,,0.5330307808960327,0.5330307808960327,0.363688110752344,0.975158247809528,0.5781399904124425,0.7695905143050914,-0.33999135664094493,0.006351289261245886,-0.1602492289350541,0.533030780896033,0.36368811075234403,0.5254945681796,0.5781399904124425,0.8816025812037709,-0.07228571852985749,1.0,0.9152925071784911,-0.06274134634406106,0.11163315835340674
M1_original_score,0.3008540487760738,0.18194160479724836,,0.5823820813750764,0.5823820813750764,0.5753651038396824,0.8491661094595697,0.324338394104159,0.7476724212064253,-0.13884413049906125,0.30085404877607375,0.18194160479724866,0.5823820813750763,0.5753651038396825,0.5792583117019382,0.324338394104159,0.9642710466514478,0.22032337313118486,0.9152925071784911,1.0,0.26042204331645513,0.09695078857635
M6_frequency_control_score,0.9804307061564156,0.9568097749970709,,-0.26885701937032125,-0.26885701937032125,0.6688595044112515,-0.18538965594435766,-0.3267940425440559,-0.02569516654678435,0.3378132092417465,0.9804307061564167,0.9568097749970712,-0.26885701937032186,0.6688595044112496,-0.26140209470814746,-0.3267940425440559,0.2854248250150827,0.9440945935087012,-0.06274134634406106,0.26042204331645513,1.0,-0.02150074778570118
