feature_set,component,feature,loading
F1_real_metrics,1,M1_original_score,0.5474637014876976
F1_real_metrics,1,M2_intervention_score,0.3124158679508885
F1_real_metrics,1,M3_reuse_score,0.5414215884164602
F1_real_metrics,1,M4_compression_score,0.06032801517695158
F1_real_metrics,1,M5_perturbation_centrality_score,0.5530849981578672
F1_real_metrics,2,M1_original_score,0.17259937633744912
F1_real_metrics,2,M2_intervention_score,-0.5561147798469945
F1_real_metrics,2,M3_reuse_score,0.197803309718753
F1_real_metrics,2,M4_compression_score,0.776897824464489
F1_real_metrics,2,M5_perturbation_centrality_score,-0.1350904435195333
F1_real_metrics,3,M1_original_score,-0.20044559886508478
F1_real_metrics,3,M2_intervention_score,0.7482206555267055
F1_real_metrics,3,M3_reuse_score,-0.158995263826256
F1_real_metrics,3,M4_compression_score,0.5973442485366397
F1_real_metrics,3,M5_perturbation_centrality_score,-0.13374515826683975
F1_real_metrics,4,M1_original_score,-0.24949275082232572
F1_real_metrics,4,M2_intervention_score,0.1186095771468663
F1_real_metrics,4,M3_reuse_score,0.7689182138792579
F1_real_metrics,4,M4_compression_score,-0.15214628255208396
F1_real_metrics,4,M5_perturbation_centrality_score,-0.5561487432031682
F1_real_metrics,5,M1_original_score,0.7537027796313602
F1_real_metrics,5,M2_intervention_score,0.13867334257329605
F1_real_metrics,5,M3_reuse_score,-0.22632233806333563
F1_real_metrics,5,M4_compression_score,-0.11323276192398181
F1_real_metrics,5,M5_perturbation_centrality_score,-0.5904730010391007
F2_real_plus_controls,1,M1_original_score,0.5500262994426867
F2_real_plus_controls,1,M2_intervention_score,0.2726054658101107
F2_real_plus_controls,1,M3_reuse_score,0.5464381965221128
F2_real_plus_controls,1,M4_compression_score,0.126428654607876
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.5315552309783503
F2_real_plus_controls,1,M6_frequency_control_score,0.1379255334717472
F2_real_plus_controls,1,M7_random_matched_score,0.0836899411137721
F2_real_plus_controls,2,M1_original_score,0.036066010014495685
F2_real_plus_controls,2,M2_intervention_score,-0.3980813835966374
F2_real_plus_controls,2,M3_reuse_score,0.05666009190221704
F2_real_plus_controls,2,M4_compression_score,0.6272099158007
F2_real_plus_controls,2,M5_perturbation_centrality_score,-0.1978883286622951
F2_real_plus_controls,2,M6_frequency_control_score,0.6342919241034276
F2_real_plus_controls,2,M7_random_matched_score,-0.04627931350773216
F2_real_plus_controls,3,M1_original_score,-0.035608484735138626
F2_real_plus_controls,3,M2_intervention_score,-0.09824842531177445
F2_real_plus_controls,3,M3_reuse_score,-0.023471453702539165
F2_real_plus_controls,3,M4_compression_score,0.0025551677083186035
F2_real_plus_controls,3,M5_perturbation_centrality_score,-0.045182643523779376
F2_real_plus_controls,3,M6_frequency_control_score,-0.0016949928080308358
F2_real_plus_controls,3,M7_random_matched_score,0.9932157371091538
F2_real_plus_controls,4,M1_original_score,-0.24651693071184175
F2_real_plus_controls,4,M2_intervention_score,0.8513206012288421
F2_real_plus_controls,4,M3_reuse_score,-0.21765076571157846
F2_real_plus_controls,4,M4_compression_score,0.3187344055240763
F2_real_plus_controls,4,M5_perturbation_centrality_score,-0.1023200499939042
F2_real_plus_controls,4,M6_frequency_control_score,0.22540287203532128
F2_real_plus_controls,4,M7_random_matched_score,0.06514071202885459
F2_real_plus_controls,5,M1_original_score,-0.03300776546763738
F2_real_plus_controls,5,M2_intervention_score,-0.11937896482967408
F2_real_plus_controls,5,M3_reuse_score,-0.24206241091299005
F2_real_plus_controls,5,M4_compression_score,0.6662551221578387
F2_real_plus_controls,5,M5_perturbation_centrality_score,0.34328128794917157
F2_real_plus_controls,5,M6_frequency_control_score,-0.6035668136569771
F2_real_plus_controls,5,M7_random_matched_score,-0.005840410292507659
F3_all_internal,1,class_size,0.27181809967819487
F3_all_internal,1,object_diversity,0.27426794843889374
F3_all_internal,1,depth_min,-0.2513581183890291
F3_all_internal,1,depth_max,-0.251358118389029
F3_all_internal,1,reuse_count,0.2064692942018907
F3_all_internal,1,role_score,-0.2368718076867233
F3_all_internal,1,action_effect_score,-0.18620104930754636
F3_all_internal,1,redundancy_score,-0.1675615038847787
F3_all_internal,1,signature_len,0.13924998196970165
F3_all_internal,1,frequency,0.2655121304438085
F3_all_internal,1,object_diversity_score,0.2882625995446211
F3_all_internal,1,depth_score,-0.2513581183890291
F3_all_internal,1,reuse_rate,0.13868315304197995
F3_all_internal,1,complexity,-0.2482673349781008
F3_all_internal,1,M2_intervention_score,-0.18620104930754636
F3_all_internal,1,M3_reuse_score,-0.08980974687166884
F3_all_internal,1,M4_compression_score,0.2613048912355017
F3_all_internal,1,M5_perturbation_centrality_score,-0.20620441740846826
F3_all_internal,1,M1_original_score,-0.11934631092607431
F3_all_internal,1,M6_frequency_control_score,0.27869092376805554
F3_all_internal,1,M7_random_matched_score,-0.0237113270480873
F3_all_internal,2,class_size,0.19977125294681855
F3_all_internal,2,object_diversity,0.18193803377350465
F3_all_internal,2,depth_min,0.17378115266910094
F3_all_internal,2,depth_max,0.17378115266910074
F3_all_internal,2,reuse_count,0.2563475548822777
F3_all_internal,2,role_score,0.2473619781575684
F3_all_internal,2,action_effect_score,0.04714147214371449
F3_all_internal,2,redundancy_score,0.25520113694632923
F3_all_internal,2,signature_len,0.006878130152469859
F3_all_internal,2,frequency,0.23605775556689784
F3_all_internal,2,object_diversity_score,0.19278198019355877
F3_all_internal,2,depth_score,0.17378115266910088
F3_all_internal,2,reuse_rate,0.28428562757526754
F3_all_internal,2,complexity,0.17391024997372076
F3_all_internal,2,M2_intervention_score,0.0471414721437145
F3_all_internal,2,M3_reuse_score,0.35905765670785383
F3_all_internal,2,M4_compression_score,0.19436106859757024
F3_all_internal,2,M5_perturbation_centrality_score,0.28734423067186154
F3_all_internal,2,M1_original_score,0.3673775128835674
F3_all_internal,2,M6_frequency_control_score,0.22498459419469116
F3_all_internal,2,M7_random_matched_score,0.03267815982395894
F3_all_internal,3,class_size,-0.005701920194352345
F3_all_internal,3,object_diversity,-0.033799798711876786
F3_all_internal,3,depth_min,-0.2861541585198562
F3_all_internal,3,depth_max,-0.28615415851985626
F3_all_internal,3,reuse_count,0.0658964108293532
F3_all_internal,3,role_score,0.11839172819588897
F3_all_internal,3,action_effect_score,0.4441264709452864
F3_all_internal,3,redundancy_score,-0.061078248313626064
F3_all_internal,3,signature_len,-0.41760526011998006
F3_all_internal,3,frequency,0.00309404517126389
F3_all_internal,3,object_diversity_score,-0.059927531392674205
