source,k,target,r2,mae
F1_real_metrics,1,M1_original_score,0.9254302050979838,0.02490220623752539
F1_real_metrics,1,M3_reuse_score,0.9051158055194837,0.024553970469594302
F1_real_metrics,1,M5_perturbation_centrality_score,0.9445322025477292,0.025073036305021182
F1_real_metrics,1,mean_M1_M3_M5,0.9250260710550654,0.024843071004046962
F1_real_metrics,2,M1_original_score,0.965212201213787,0.01577345041320997
F1_real_metrics,2,M3_reuse_score,0.9573644748856364,0.015586624398742564
F1_real_metrics,2,M5_perturbation_centrality_score,0.9689023064869395,0.019879369214375196
F1_real_metrics,2,mean_M1_M3_M5,0.9638263275287876,0.017079814675442576
F1_real_metrics,3,M1_original_score,0.9856357002884584,0.010032905281163249
F1_real_metrics,3,M3_reuse_score,0.9702145443513837,0.012643538469248919
F1_real_metrics,3,M5_perturbation_centrality_score,0.9779950143510964,0.016221460105448084
F1_real_metrics,3,mean_M1_M3_M5,0.9779484196636461,0.012965967951953419
F1_real_metrics,4,M1_original_score,0.9886639684177462,0.009469077519275164
F1_real_metrics,4,M3_reuse_score,0.9989778475937,0.0027333121410464197
F1_real_metrics,4,M5_perturbation_centrality_score,0.9930423768434288,0.010013564952653282
F1_real_metrics,4,mean_M1_M3_M5,0.9935613976182917,0.007405318204324955
F1_real_metrics,5,M1_original_score,1.0,6.337599308609831e-17
F1_real_metrics,5,M3_reuse_score,1.0,9.511543118197709e-17
F1_real_metrics,5,M5_perturbation_centrality_score,1.0,6.515930025085865e-17
F1_real_metrics,5,mean_M1_M3_M5,1.0,7.455024150631135e-17
F2_real_plus_controls,1,M1_original_score,0.948120821373207,0.020556965124526077
F2_real_plus_controls,1,M3_reuse_score,0.9357910155257533,0.021377249538673045
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.8855101943475915,0.03736206094900632
F2_real_plus_controls,1,mean_M1_M3_M5,0.9231406770821838,0.026432091870735145
F2_real_plus_controls,2,M1_original_score,0.9509826124642954,0.01941128916003366
F2_real_plus_controls,2,M3_reuse_score,0.9428541305468869,0.019876325834711415
F2_real_plus_controls,2,M5_perturbation_centrality_score,0.9716655125013655,0.018834622420055187
F2_real_plus_controls,2,mean_M1_M3_M5,0.9551674185041826,0.019374079138266755
F2_real_plus_controls,3,M1_original_score,0.9522306115478897,0.019313360032927402
F2_real_plus_controls,3,M3_reuse_score,0.9433963651845569,0.019898944586349592
F2_real_plus_controls,3,M5_perturbation_centrality_score,0.9736748391931223,0.017977768286888036
F2_real_plus_controls,3,mean_M1_M3_M5,0.9564339386418563,0.019063357635388342
F2_real_plus_controls,4,M1_original_score,0.9864195815935944,0.009698155837649367
F2_real_plus_controls,4,M3_reuse_score,0.9700473285782947,0.012562764601093637
F2_real_plus_controls,4,M5_perturbation_centrality_score,0.9795648216512199,0.01575815354518288
F2_real_plus_controls,4,mean_M1_M3_M5,0.9786772439410364,0.012673024661308629
F2_real_plus_controls,5,M1_original_score,0.9864821210838836,0.009584441022726507
F2_real_plus_controls,5,M3_reuse_score,0.9734107152332374,0.011499735678214863
F2_real_plus_controls,5,M5_perturbation_centrality_score,0.9863291136931234,0.013420747422470602
F2_real_plus_controls,5,mean_M1_M3_M5,0.9820739833367481,0.011501641374470658
F3_all_internal,1,M1_original_score,0.1125424258275276,0.0780717016175305
F3_all_internal,1,M3_reuse_score,0.06373019073676567,0.06804720498555038
F3_all_internal,1,M5_perturbation_centrality_score,0.33596512918708976,0.08823935251202271
F3_all_internal,1,mean_M1_M3_M5,0.170745915250461,0.07811941970503454
F3_all_internal,2,M1_original_score,0.9728589517020128,0.014206485095516088
F3_all_internal,2,M3_reuse_score,0.8855214363585359,0.024895853127717152
F3_all_internal,2,M5_perturbation_centrality_score,0.8622708485050065,0.04389979890272449
F3_all_internal,2,mean_M1_M3_M5,0.9068837455218516,0.027667379041985907
F3_all_internal,3,M1_original_score,0.979528183975683,0.011995494700227496
F3_all_internal,3,M3_reuse_score,0.9223514566080949,0.021631439017742702
F3_all_internal,3,M5_perturbation_centrality_score,0.9491444676823143,0.02498550407853575
F3_all_internal,3,mean_M1_M3_M5,0.9503413694220307,0.01953747926550198
F3_all_internal,4,M1_original_score,0.9831452616847387,0.010916751617699547
F3_all_internal,4,M3_reuse_score,0.939059826496308,0.019137696464298474
F3_all_internal,4,M5_perturbation_centrality_score,0.9634194020445733,0.021955063085858175
F3_all_internal,4,mean_M1_M3_M5,0.9618748300752067,0.017336503722618732
F3_all_internal,5,M1_original_score,0.9876653500686912,0.008644836639868378
F3_all_internal,5,M3_reuse_score,0.9507517511329324,0.016478392650418307
F3_all_internal,5,M5_perturbation_centrality_score,0.977620425390821,0.017438687741548952
F3_all_internal,5,mean_M1_M3_M5,0.9720125088641481,0.014187305677278545
F1_success_cluster,1,M1_original_score,0.9735371366117258,0.014427444174954982
F1_success_cluster,1,M3_reuse_score,0.9509806254655623,0.01565094690798871
F1_success_cluster,1,M5_perturbation_centrality_score,0.9166792137206099,0.032124564301459727
F1_success_cluster,1,mean_M1_M3_M5,0.9470656585992994,0.020734318461467807
F1_success_cluster,2,M1_original_score,0.9812092078931565,0.011269669608288254
F1_success_cluster,2,M3_reuse_score,0.9882823013177381,0.008554882670949032
F1_success_cluster,2,M5_perturbation_centrality_score,0.9990382683329809,0.0034414916324853138
F1_success_cluster,2,mean_M1_M3_M5,0.9895099258479584,0.0077553479705742
F1_success_cluster,3,M1_original_score,1.0,7.869414437314228e-17
F1_success_cluster,3,M3_reuse_score,1.0,1.0419772312045204e-17
F1_success_cluster,3,M5_perturbation_centrality_score,1.0,9.977374957710426e-17
F1_success_cluster,3,mean_M1_M3_M5,1.0,6.296255542076392e-17
