class_id,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
f7e756cbf1967d2a,True,False,1.0,0.13828
9ed41b9547f24364,True,False,1.0,0.33609999999999995
a1be76363b02b0af,True,True,,0.5303
dcdbe327e041bb86,True,True,,0.651015
98cac4d07377f26e,True,False,1.0,0.14374
5024c05ade470bf7,True,False,2.0,0.4915
c668c6a9304c0162,True,True,,0.7625483333333333
3e854ea0b08e797e,True,False,1.0,0.40707999999999994
b178166e2f2858a1,True,True,,0.3042
80dea615468e5a33,True,True,,0.5217808955223879
d66aa465c586a02f,True,False,1.0,0.21094000000000002
bcd24a707d6de258,True,False,2.0,0.44908000000000003
0ce7282c47f47f60,True,True,,0.5717399999999999
7bb101d6d8a87056,True,False,3.0,0.7120193370165746
182e0887eb8193ff,True,False,1.0,0.22914
c2cfc7bc97bab7f9,True,True,,0.5899399999999999
8654c88a259b0707,True,False,1.0,0.15284
fb00a88e3ffacbee,True,True,,0.40094
cf798fca1fec8adb,True,True,,0.59372
044cd0850b863da0,True,True,,0.62634
94491f375cc78cdc,True,False,1.0,0.17104
b1e055ca03f74921,True,False,1.0,0.32294
9648d053034f356e,True,True,,0.5498999999999999
c858c0cd630ccf57,True,False,2.0,0.57914
651bff5d8130258d,True,True,,0.29103999999999997
f12aa33ce46ee117,True,True,,0.36104
ceb80e48f4cdf6ca,True,False,2.0,0.4972399999999999
2042a8b8a3446dbf,True,False,1.0,0.23194
7322212f44f559a5,True,True,,0.60814
49b2d3e392d21551,True,False,1.0,0.21374
79ad628d4c9611e4,True,True,,0.5899399999999999
31a85279e5019649,True,False,1.0,0.17104
9e0a98b152fc5852,True,False,1.0,0.3505842622950819
8724d9a1c6968e3d,True,False,1.0,0.18644
5c4225e5acfb954e,True,False,2.0,0.44264
fd396cc74b32f2ce,True,False,1.0,0.20814
b08a388580e009d4,True,True,,0.43804
d8e8f0cd6c418f55,True,False,1.0,0.17104
a3cd3de5525f1466,True,False,1.0,0.16194
2116c1ff0d36623f,True,False,1.0,0.15914
cf8900d225d3878c,True,True,,0.41984
14d718f1e9e767ed,True,True,,0.41608
ec958c2cb1c5e521,True,True,,0.38904
ad31596f6c3d2c62,True,False,1.0,0.14374
6ac6f05424f551ca,True,False,1.0,0.19554
59ea011794238262,True,False,2.0,0.45174
fc63e4776a7126f3,True,False,1.0,0.15914
1719de838ca442fa,True,False,1.0,0.29984
6d8756490b7c4291,True,False,1.0,0.16194
bb2bc60510a704f7,True,True,,0.28376
0a814dfc5e5070be,True,False,1.0,0.14192
d98dbc439254db23,True,False,1.0,0.13463999999999998
cf259a7246ce94f2,True,False,1.0,0.40918
e553fd52713d73c6,True,True,,0.53898
469f115aafd16a2a,True,False,1.0,0.17104
88bb73d2adb12cd8,True,True,,0.31833999999999996
50f9916810b9f186,True,False,1.0,0.15284
865d294d873e5b7f,True,False,1.0,0.22004
ee676f6e7cfd3b00,True,True,,0.58084
0ffce0ea9bc9f8f1,True,False,1.0,0.15284
db89977cfe1e8054,True,True,,0.25827999999999995
1eca790980aa9c48,True,False,1.0,0.15914
36f8b538e0d95a45,True,False,1.0,0.29984
f45461d75c3f8e54,True,True,,0.41608
7b53a3058da38c2e,True,False,1.0,0.18924
13c791d8b21c1a41,True,False,1.0,0.36003999999999997
8d09fde4d07db401,True,True,,0.6602199999999999
7e3cd37724f878b7,True,True,,0.6900399999999999
a63b4484e7d71923,True,False,1.0,0.19834
8a8a4d0419f45b15,True,False,1.0,0.17104
2b7a0311758ba8a4,True,True,,0.25827999999999995
361cdbcd9b224c79,True,True,,0.4071592307692308
e322e7426f1c8b05,True,False,1.0,0.20464000000000002
8ef0e9857ebeeea8,True,True,,0.58084
45cb21db5e97bafd,True,False,1.0,0.15284
609152de1449f774,True,False,1.0,0.13828
dd938382ee028c33,True,False,1.0,0.14374
6769960516515df2,True,True,,0.27102
4ef6e46b65977a1d,True,False,1.0,0.22564
191d1f35b96de166,True,False,1.0,0.22914
514f18d8a0fdf59d,True,False,2.0,0.46993999999999997
db6d5823cccc9ddc,True,False,1.0,0.15284
a4cf2b565b66b46f,True,True,,0.30644
2c8fadfbe0c1bd1b,True,False,2.0,0.44264
1dd4eec0292622af,True,False,1.0,0.17734
0f285cc33b5e415a,True,True,,0.49578999999999995
01976e3cb4536b8f,True,False,1.0,0.24454
c4777c1f61e2de50,True,False,2.0,0.46993999999999997
01b5a9d61ec33174,True,True,,0.29734
47e37912a8758990,True,True,,0.5535399999999999
e751d6b5404eb099,True,True,,0.30013999999999996
66a495d0dba1c760,True,False,1.0,0.17104
90234e8cef9a0d31,True,True,,0.32464000000000004
25755188a0ae6d4e,True,False,2.0,0.46083999999999997
9ac6792bd53e0522,True,False,1.0,0.23194
f5d0a2ea94b2d687,True,False,2.0,0.48814
3555c8d834616284,True,False,1.0,0.16194
c364312fcddbfa4e,True,False,1.0,0.19554
192c21bfbb02f3c3,True,False,2.0,0.45174
23093a724cd711bb,True,False,1.0,0.22004
78245d03f3896c0e,True,False,2.0,0.46083999999999997
ff912a5f3f791a32,True,False,1.0,0.14374
b3c8ebfc5940c833,True,False,1.0,0.21654
834686021a82b0a0,True,False,1.0,0.24104000000000003
4c2ab0833d8f97cb,True,False,2.0,0.4972399999999999
55edeabf942b3124,True,False,1.0,0.14374
aba2dbd35cba982b,True,False,1.0,0.32014
90f3af0a30ad28c0,True,False,2.0,0.56094
e060058f3d471f0f,True,False,1.0,0.21654
9e8ff668143889bc,True,False,1.0,0.20743999999999999
b7a479218c03ad14,True,False,1.0,0.16824
ae49e90a5706c249,True,False,2.0,0.42443999999999993
b54a4f9f49654365,True,True,,0.32464000000000004
de6d126c139ee07b,True,True,,0.58084
281e8f649d2d91e5,True,False,1.0,0.19834
a63b924dd2311920,True,False,1.0,0.15914
879b616404df585e,True,False,1.0,0.29984
04d74c2393386dee,True,False,1.0,0.17734
26ffb84b78d4a1f8,True,False,1.0,0.37578999999999996
bd14efa32ae4399a,True,False,1.0,0.15914
68c9705a1ce680e5,True,False,1.0,0.29984
cd3bf4fdc9f122cd,True,True,,0.26374
de46cb0d5bbb17fa,True,False,1.0,0.22634
20c86596c48e644d,True,False,2.0,0.45174
cfa072861aaa9d1a,True,False,1.0,0.20464000000000002
5e421f0f7b7b522e,True,False,2.0,0.46083999999999997
0e3088a2c61e4a67,True,False,1.0,0.23194
05466a5d4875a906,True,False,2.0,0.48814
f9881c15bfcba152,True,False,1.0,0.14556
65301ef602dbf173,True,False,1.0,0.14374
037272b34ed8a662,True,False,1.0,0.18014
476309736bfd1b7f,True,True,,0.25827999999999995
ae4eaf12003c5148,True,False,1.0,0.27114000000000005
badcc84ba4e85a69,True,False,1.0,0.23194
9980c932e14ea473,True,True,,0.60814
8d7d5941bf137c2f,True,False,1.0,0.13828
694501feb4aa8c7c,True,True,,0.34564
4d424d97a8100abb,True,True,,0.36104
1d6ada8943b67989,True,True,,0.6172399999999999
1b1e5e111f1a0c64,True,False,1.0,0.21094000000000002
bd77f6ee1c69dfad,True,False,2.0,0.45174
1d6da70403770b74,True,False,1.0,0.22004
38836e4d9f331ec6,True,True,,0.5230899999999999
e2c3778e822a107f,True,False,1.0,0.18014
0d796b9408aafcc9,True,False,1.0,0.15284
c7e917407ce815e8,True,False,1.0,0.15284
30cbb0fb605f03f1,True,False,1.0,0.18014
35768d000c963081,True,False,1.0,0.14374
3b318467904eef46,True,False,1.0,0.20814
41abe94a1d7d77fd,True,True,,0.49578999999999995
517b681d5e4f3b59,True,False,1.0,0.21094000000000002
3d5f953b4ada1380,True,False,2.0,0.45174
aff105da607535df,True,True,,0.31833999999999996
cc5f79df266a9c7a,True,False,1.0,0.21374
9344ea7c3d49972f,True,True,,0.5899399999999999
9558d9fa3b387d0c,True,False,1.0,0.25924
01acc8d1ba99cdc3,True,True,,0.6354399999999999
a9678c73a52b2c3b,True,False,1.0,0.19554
8651abaafe9fdd5f,True,True,,0.5717399999999999
56d7e9027f9de34f,True,True,,0.34284000000000003
6903857676708e9e,True,True,,0.5990399999999999
508346b28f653845,True,False,1.0,0.28654
b2d239c9579ef429,True,False,2.0,0.54274
8e3169a69b23503a,True,False,1.0,0.16824
950a5bd67e44bdfd,True,True,,0.5444399999999999
8c5c752d3f510d49,True,True,,0.34914
ea9330e55884c4f0,True,False,2.0,0.46993999999999997
47970d82474669e4,True,True,,0.25828
81ff8f4f9b8e6488,True,False,1.0,0.18364
27b89b2ee849debd,True,True,,0.48668999999999996
18190884b85e9e55,True,False,1.0,0.14374
d3f83fe6d01c083c,True,False,1.0,0.15284
3239efc972f5dfb6,True,False,1.0,0.21094000000000002
99d692dc5d563ad7,True,True,,0.5717399999999999
59803ffcd46f4b65,True,False,1.0,0.28654
0bd4af824a7c6ec5,True,False,2.0,0.54274
1c870e2844931bad,True,False,1.0,0.25014000000000003
e4465440c1bc0f78,True,True,,0.62634
5cb9ac892265032d,True,False,1.0,0.21374
d9e76bd47ebd2d40,True,True,,0.5321899999999999
a4738e9604b5f823,True,True,,0.32464000000000004
03c581f8a7dcae43,True,True,,0.58084
c9a609b3bc6b386b,True,False,1.0,0.20464000000000002
ebf2994118b006d8,True,False,2.0,0.46083999999999997
9411c7160c236587,True,True,,0.28193999999999997
9ae481b42135ce8f,True,False,1.0,0.19554
1083065a04c54a8d,True,True,,0.5717399999999999
f55e3176d5415fd0,True,False,1.0,0.19834
0c86caf8e11b76fa,True,False,1.0,0.18014
aab327928db8afa1,True,False,1.0,0.14374
1e501e512606bacc,True,True,,0.37644
db2d7636b05d6612,True,True,,0.6172399999999999
89f6153366fa593f,True,True,,0.26374
ac591f721833d1ab,True,False,1.0,0.14374
6d04b1482ef678fc,True,False,1.0,0.20464000000000002
a79808a8f9d252a6,True,True,,0.58084
5b3b61d183af570c,True,False,1.0,0.19834
14017271c175de60,True,True,,0.35474
ffaac14c975581f5,True,True,,0.30364
e147c8e790c72431,True,False,2.0,0.42443999999999993
08f4089606132ab8,True,False,1.0,0.18014
b7093af09a280f9f,True,False,1.0,0.32853999999999994
7de946bb4ff5b177,True,True,,0.47758999999999996
c682e4cc7ecf11ef,True,False,1.0,0.20464000000000002
bffe6de03e8ac372,True,False,2.0,0.46083999999999997
3900e5346a98abc0,True,False,1.0,0.19554
3a71e03116c79d4a,True,False,2.0,0.45174
fa10bb7f768cf991,True,False,1.0,0.17104
093411ebe3bf701c,True,True,,0.28824
53aa030a2419c30b,True,True,,0.42894
56b8599c64da745d,True,False,1.0,0.14192
fe1115f92206f475,True,False,1.0,0.27884
550670cec53af80e,True,True,,0.66484
a3431c85fc086b25,True,False,2.0,0.46083999999999997
cc64cf4da805c75c,True,False,1.0,0.17734
33f31253013b651c,True,False,1.0,0.37578999999999996
aa35199c2dad790c,True,False,1.0,0.14374
9ca60b451eaa98ad,True,True,,0.38204
18b9a1c38ca730f0,True,False,1.0,0.19834
47903fef5b14e4ab,True,True,,0.30013999999999996
0a58511498fe7025,True,False,1.0,0.19554
1aee4bf5dd1a07ce,True,True,,0.5717399999999999
72103aeccd8ba7ce,True,True,,0.30013999999999996
dbd4062fbad42282,True,True,,0.29103999999999997
945196028cebeb61,True,False,1.0,0.21654
6f67a42971bd24e5,True,False,1.0,0.14374
0a3f06fba79c0195,True,True,,0.28193999999999997
cd61a85f53c2206d,True,False,1.0,0.40554
df48f0047276b6b7,True,True,,0.47758999999999996
8ec893ae28741c3f,True,False,1.0,0.20464000000000002
1f086bb1a04efe5e,True,False,2.0,0.46083999999999997
4017b52dac27d250,True,True,,0.43454
c7bf6d063058a6eb,True,False,2.0,0.52454
adca249b7fbf481a,True,False,1.0,0.20464000000000002
48c0c5fb803920ae,True,False,2.0,0.46083999999999997
7092fda35abc74cf,True,False,1.0,0.20464000000000002
18ce8b89d18ac672,True,True,,0.58084
02cbe680055ba950,True,False,1.0,0.16194
f96b8d569a9867f1,True,True,,0.29734
253a3bd1e4b52fbd,True,True,,0.5535399999999999
8352bc184c441f84,True,False,1.0,0.19834
7e162070d50160da,True,True,,0.46184
2ec25c38859fa78d,True,True,,0.67184
f9d300fb28e73b59,True,False,1.0,0.18364
fc197c15633c69a0,True,True,,0.5444399999999999
f9d342d8e3abc2ed,True,False,1.0,0.14374
be57a00fd4e8e4fa,True,False,1.0,0.28024
da87fdd841a90cd1,True,True,,0.26374
e842b1e8328b9de8,True,False,1.0,0.14374
8f2fdbb7dbecb3a0,True,False,1.0,0.14374
3750b8ec0eabb3b3,True,True,,0.30013999999999996
9134381f361061fa,True,False,1.0,0.23194
7003bff4927494ca,True,False,2.0,0.48814
2157e1ed2374e502,True,False,1.0,0.14374
bc76d7972240d21b,True,False,1.0,0.22284000000000004
cd63755b6ec82058,True,True,,0.5990399999999999
acf32c4d54317262,True,False,1.0,0.25294
104e0438c00706d0,True,False,1.0,0.16824
eaa299ecdced6290,True,False,1.0,0.36668999999999996
260cc29cc2a722fd,True,True,,0.31833999999999996
b23eaa538d26beae,True,False,1.0,0.18644
e3fd5b52bfd6be85,True,True,,0.56264
e979a18c73848089,True,False,1.0,0.14374
804692d14729d5b9,True,False,1.0,0.31104
62cec221c74858c1,True,True,,0.67184
fccbc930be84e763,True,False,1.0,0.15284
3c4571ceeaf1e79a,True,False,1.0,0.18014
961505bfd328feaa,True,True,,0.26192
dc2e2272f23fcc0a,True,False,1.0,0.20743999999999999
1ea7e036ff750c5d,True,True,,0.30644
9118eba4dc153c86,True,False,2.0,0.44264
7842893c806681a5,True,False,1.0,0.19834
a8a25a79eee6f543,True,False,1.0,0.14374
5c71d61181d16874,True,False,1.0,0.14374
97a0fccb4132b600,True,False,1.0,0.17734
49373f7f7c7754df,True,True,,0.5535399999999999
86710d0e37172fd4,True,False,1.0,0.17104
2e1e808c55b863c7,True,True,,0.35194000000000003
a44cb69a1dca22d2,True,True,,0.5503899999999999
29171dce62d9d6df,True,False,1.0,0.19834
a8732cf96ad50987,True,False,1.0,0.14374
a47a82ee395f1ffb,True,True,,0.27914
4847853ca124950b,True,False,1.0,0.29984
d2b18fa8e4c7776b,True,True,,0.32464000000000004
d57f75587ef57731,True,False,1.0,0.40308999999999995
b0ef47827ae7d222,True,True,,0.34914
0c422023e263df0d,True,True,,0.5899399999999999
94a8b28529b5cde8,True,True,,0.25464
8d738f8b1b0b14f8,True,False,1.0,0.15914
519859376b95e30d,True,False,1.0,0.35758999999999996
97f4eab3f206d722,True,False,1.0,0.18014
790f5b240d47e65b,True,False,1.0,0.14374
3a2c7494fc95580c,True,True,,0.28193999999999997
5369608b1a8f2a3e,True,True,,0.40094
7286c1bf69ddc46f,True,False,2.0,0.50634
032b6bd2a46491af,True,False,1.0,0.17734
4d7bdef874df4c60,True,False,2.0,0.43354
8dc4eda80193704c,True,False,1.0,0.18014
c56441a78d5ccf49,True,False,1.0,0.13463999999999998
d7827d1eb4da3f77,True,True,,0.34004
a722108da8b71e5d,True,True,,0.5230899999999999
a9ee229696ec7551,True,False,1.0,0.14374
d1d08c7a8f690b91,True,False,1.0,0.26834
c62480c59b6eb103,True,True,,0.64454
212f4b2a4f86988e,True,False,1.0,0.17104
e37a908194bd6ef6,True,True,,0.32184
a1afa8c9870f366a,True,False,2.0,0.44264
a7ee86a431352b3f,True,False,1.0,0.24104000000000003
576b17ed3fc0cd11,True,True,,0.6172399999999999
4700420ddd1821f3,True,False,1.0,0.18924
c8b8de9693336509,True,False,1.0,0.25014000000000003
5b8f17c5106e6865,True,True,,0.62634
4e0dcd009204923f,True,False,1.0,0.18644
190ea0b4ad2eef1f,True,True,,0.56264
6f76c779ce3c986d,True,False,1.0,0.17104
a837bf7c5c3e4f53,True,False,1.0,0.16194
b43bcda005607d11,True,False,1.0,0.15914
27cd4eaafa584b7d,True,False,1.0,0.29984
1150eacf6e706b24,True,True,,0.28824
be62345380e5e13d,True,False,2.0,0.42443999999999993
f62c3c7e222b6787,True,False,1.0,0.18014
36aa21eeff0ff2d3,True,False,1.0,0.25014000000000003
2bdce9ccf23b433b,True,True,,0.62634
2a5ddd870c949370,True,True,,0.27283999999999997
dfb3f019f0bc91b8,True,False,1.0,0.26554
c1fcc347740707e1,True,True,,0.62634
f15a722efc83c5bd,True,True,,0.30644
12b47c41dfc7e224,True,True,,0.50489
c737ca215260fd5d,True,False,1.0,0.15914
4161c66ce8888289,True,False,1.0,0.35758999999999996
eb25d06edaf459c1,True,True,,0.34914
4c025b52238838dc,True,False,2.0,0.46993999999999997
b1aad7ba57d38a9e,True,False,1.0,0.16194
67cb542b2cdd03bd,True,True,,0.33374000000000004
555a990ce229ddd6,True,True,,0.5899399999999999
b2dc2d8db66262d4,True,True,,0.28193999999999997
945e39d9fb2db1be,True,True,,0.29103999999999997
3992f55d0c134c39,True,True,,0.30013999999999996
948a52fcedc8446f,True,False,1.0,0.15284
7a982d0985ae6de0,True,False,1.0,0.18014
9b4c16de9ccbaebb,True,False,1.0,0.15914
09fc9d236f7cabc0,True,False,1.0,0.29984
0f78bfdb2ecc5c43,True,False,1.0,0.18924
9fdab55810d8b2ce,True,False,1.0,0.21654
3979dc87944e844a,True,False,1.0,0.19834
edefed787d3cab52,True,True,,0.28193999999999997
5a1df040392d7db2,True,False,1.0,0.18014
5adb9ec9c5122a84,True,False,1.0,0.16194
69573fae2bfb2e9c,True,False,1.0,0.19834
85a0b781c139b0ee,True,True,,0.31274
9bebb0e710f6253b,True,True,,0.49578999999999995
98a9e72cb6b97de1,True,True,,0.34634
f85856118f49c2f9,True,True,,0.5717399999999999
ad85e6e53804f6d3,True,True,,0.31833999999999996
552901be542ed3de,True,True,,0.34284000000000003
73acc1d9de61413a,True,False,2.0,0.4790399999999999
89f757887c82b3b9,True,False,1.0,0.14374
5c9241cf1692a014,True,False,1.0,0.15284
f221a3c488b6fec7,True,False,1.0,0.16194
4cc64bca51c65193,True,False,1.0,0.33343999999999996
3ed9efdcdb750f68,True,True,,0.6354399999999999
762b48d69e980358,True,False,1.0,0.21654
680729bd3c1f5ffe,True,False,1.0,0.22284000000000004
8c04be73d450b608,True,True,,0.5990399999999999
9c57cf4235f93f33,True,False,1.0,0.14374
05f5634bba9449c1,True,False,1.0,0.19834
1c26078b408e0cc4,True,False,1.0,0.18014
0e685139b96fa8fb,True,False,1.0,0.17104
a655d648dbdb6aa1,True,False,1.0,0.16194
384b1ffde3af222f,True,False,1.0,0.22914
2b3b2c09eaf676c2,True,False,2.0,0.46993999999999997
bc6c04c6bfc7c91c,True,False,1.0,0.18924
5bd858b24df66c6b,True,False,1.0,0.19554
02e57a026bc4a85b,True,True,,0.5717399999999999
f569364ce99b0f5a,True,True,,0.37294
559d49fda8a8dd97,True,False,1.0,0.16194
