,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score
class_size,1.0,0.8127658678802991,,-0.17498249816879197,0.18402911385752588,0.7906318806883603,0.025781804111433132,0.0353674256421604,0.06121054362616713,0.28918179453062565,1.0,0.8127658678802986,0.18402911385752593,0.7906318806883622,0.1857775610120143,0.0353674256421604,0.5225534178514725,0.7622327586706571,0.16018287531151143,0.47511878186532847,0.9421804512153725,-0.018358956991186358
object_diversity,0.8127658678802991,1.0,,-0.24796929759642428,0.114691675567299,0.616126544649826,0.029511407732421287,0.03817337843790673,0.08171328378562785,0.414448027060106,0.8127658678802985,0.9999999999999982,0.114691675567299,0.6161265446498267,0.11719857536205643,0.03817337843790673,0.40574660112771727,0.7884403088864613,0.13222976876922862,0.4587247886132668,0.961001641341388,0.031331232432559336
operator_diversity,,,,,,,,,,,,,,,,,,,,,,
depth_min,-0.17498249816879197,-0.24796929759642428,,1.0,0.8740946695782115,-0.12082655952187299,0.27191277865299257,0.2470192294699417,0.169897799676396,-0.19441401982638706,-0.1749824981687923,-0.24796929759642497,0.8740946695782109,-0.12082655952187275,0.8729120458807048,0.2470192294699417,0.31501813388619376,-0.18458968996704286,0.29338903607382827,0.36432537925138714,-0.22569218386597764,-0.1186199034361827
depth_max,0.18402911385752588,0.114691675567299,,0.8740946695782115,1.0,0.18585829507319448,0.3138717441728846,0.2663674391400818,0.19766888156798249,-0.0018394445898919918,0.18402911385752663,0.1146916755672992,1.0,0.1858582950731941,0.9999816940860239,0.2663674391400818,0.5509008828603768,-0.00973354785918375,0.38338239758674497,0.5969977404849223,0.15332514087458277,-0.1330495968320278
reuse_count,0.7906318806883603,0.616126544649826,,-0.12082655952187299,0.18585829507319448,1.0,0.10566474568206952,0.027699911590206544,0.11021488271074827,0.1471711577030048,0.7906318806883605,0.6161265446498273,0.18585829507319393,0.9999999999999984,0.18674745775786888,0.027699911590206544,0.6936967735262718,0.5222939267390229,0.24778453017165128,0.527487466882617,0.7296911757884041,-0.0323978201398275
role_score,0.025781804111433132,0.029511407732421287,,0.27191277865299257,0.3138717441728846,0.10566474568206952,1.0,0.9701880464983318,0.8048273863545249,-0.5984306330949104,0.025781804111433153,0.02951140773242133,0.31387174417288444,0.10566474568206938,0.3102485356756141,0.9701880464983318,0.7502052487205615,-0.038834341107357985,0.9864688184987268,0.8246167894040767,0.029213003447013712,-0.06323706903249816
action_effect_score,0.0353674256421604,0.03817337843790673,,0.2470192294699417,0.2663674391400818,0.027699911590206544,0.9701880464983318,1.0,0.8489463941968474,-0.6668602406166022,0.03536742564216046,0.03817337843790678,0.26636743914008165,0.027699911590206572,0.262330520847936,1.0,0.6746716773220983,0.013323569417969177,0.9571761094678116,0.7771530189661723,0.038745447966835704,-0.044667470712154614
redundancy_score,0.06121054362616713,0.08171328378562785,,0.169897799676396,0.19766888156798249,0.11021488271074827,0.8048273863545249,0.8489463941968474,1.0,-0.7345857401998782,0.06121054362616718,0.08171328378562791,0.19766888156798254,0.11021488271074845,0.1932226659520552,0.8489463941968473,0.6046473717738218,0.04847204168720594,0.8105041039477328,0.673585440650681,0.07605674556503332,0.004556845464310517
signature_len,0.28918179453062565,0.414448027060106,,-0.19441401982638706,-0.0018394445898919918,0.1471711577030048,-0.5984306330949104,-0.6668602406166022,-0.7345857401998782,1.0,0.2891817945306255,0.4144480270601072,-0.001839444589891938,0.14717115770300468,0.004211322011109692,-0.6668602406166023,-0.27964444614839223,0.30227412222941263,-0.5665299909676015,-0.284358412277925,0.3756585777848886,0.018080035574271493
frequency,1.0,0.8127658678802985,,-0.1749824981687923,0.18402911385752663,0.7906318806883605,0.025781804111433153,0.03536742564216046,0.06121054362616718,0.2891817945306255,1.0,0.8127658678803004,0.18402911385752638,0.7906318806883609,0.18577756101201456,0.035367425642160395,0.5225534178514741,0.7622327586706581,0.16018287531151196,0.4751187818653296,0.9421804512153742,-0.018358956991186372
object_diversity_score,0.8127658678802986,0.9999999999999982,,-0.24796929759642497,0.1146916755672992,0.6161265446498273,0.02951140773242133,0.03817337843790678,0.08171328378562791,0.4144480270601072,0.8127658678803004,1.0,0.1146916755672991,0.6161265446498266,0.11719857536205636,0.038173378437906774,0.4057466011277183,0.788440308886462,0.13222976876922873,0.4587247886132673,0.9610016413413899,0.03133123243255935
