class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
f7e756cbf1967d2a,"('NormalForm', 'd791', 1)",2,2,1,1,1,2.0,0.0,0.35,0.0,25,"NormalForm(h(c,a))=h(c,a)",NormalForm,0.005681818181818182,0.08,0.05,0.0009718172983479105,3.390625,0.35,0.005699708454810496,0.2831336405529954,0.07973586005830904,0.04172520116618077,0.03392272727272727,0.06514871900564108,True,False,1.0,0.13828
9ed41b9547f24364,"('RewriteDistanceBucket', 0)",352,25,1,1,17,352.0,0.0,0.5999999999999999,0.0,28,"RewriteDistanceBucket(h(c,a))=0",RewriteDistanceBucket,1.0,1.0,0.85,0.17103984450923226,19.4375,0.5999999999999999,0.2081486880466472,25.353054662379417,0.23191137026239064,0.4027194052478134,1.0,0.12222088847194133,True,False,1.0,0.33609999999999995
a1be76363b02b0af,"('CriticalPairParticipation', 2)",60,25,1,1,8,180.0,0.5,0.6499999999999999,0.39999999999999986,32,"CriticalPairParticipation(h(c,a))",CriticalPairParticipation,0.17045454545454544,1.0,0.4,0.08746355685131195,10.5,0.6499999999999999,0.1929737609329446,8.0,0.38562740524781336,0.41631210495626825,0.48568181818181816,0.2868793550027103,True,True,,0.5303
dcdbe327e041bb86,"('ConfluenceWitness', 1)",275,25,1,1,8,2058.0,0.5499999999999999,0.5,0.8104545454545454,24,"ConfluenceWitness(h(c,a))",ConfluenceWitness,0.78125,1.0,0.4,1.0,10.375,0.5,0.859,37.10843373493976,0.6873199999999999,0.7769832,0.864375,0.12437418628315501,True,True,,0.651015
98cac4d07377f26e,"('NormalForm', '2289', 2)",1,1,1,2,2,1.0,0.0,0.35,0.0,25,"NormalForm(q(f(c,b)))=q(f(c,b))",NormalForm,0.002840909090909091,0.04,0.1,0.00048590864917395527,4.390625,0.35,0.01034985422740525,0.1002135231316726,0.08196793002915452,0.04245860058309038,0.016961363636363636,0.055173476121821954,True,False,1.0,0.14374
5024c05ade470bf7,"('CriticalPairParticipation', 3)",44,20,1,2,10,176.0,0.75,0.6499999999999999,0.6000000000000001,32,"CriticalPairParticipation(q(f(c,b)))",CriticalPairParticipation,0.125,0.8,0.5,0.08551992225461613,12.5,0.6499999999999999,0.24657434402332362,4.224000000000001,0.4863556851311953,0.45351370262390667,0.38150000000000006,0.30158781467423473,True,False,2.0,0.4915
c668c6a9304c0162,"('ConfluenceWitness', 0)",225,25,1,2,20,1702.0,0.5499999999999998,0.5,0.8205555555555556,24,"ConfluenceWitness(q(f(c,b)))",ConfluenceWitness,0.6392045454545454,1.0,1.0,0.827016520894072,22.375,0.5,0.7944518950437317,14.078212290502794,0.6563369096209911,0.801817392419825,0.7763068181818182,0.10823293211994839,True,True,,0.7625483333333333
3e854ea0b08e797e,"('NormalForm', 'c792', 1)",55,23,1,1,1,62.0,0.025454545454545455,0.3627272727272729,0.8242424242424241,25,NormalForm(c)=c,NormalForm,0.15625,0.92,0.05,0.03012633624878523,3.390625,0.3627272727272729,0.031272780280943546,21.41198156682028,0.10244729817121657,0.2024435925152399,0.446475,0.08051862452876613,True,False,1.0,0.40707999999999994
b178166e2f2858a1,"('CriticalPairParticipation', 0)",156,25,1,1,1,156.0,0.0,0.65,0.0,32,CriticalPairParticipation(c),CriticalPairParticipation,0.4431818181818182,1.0,0.05,0.07580174927113703,3.5,0.65,0.059577259475218663,62.39999999999999,0.17159708454810496,0.24463769096209914,0.6547727272727273,0.20943516157615644,True,True,,0.3042
80dea615468e5a33,"('NormalForm', '7cf8', 1)",67,24,1,1,1,80.0,0.03880597014925373,0.36940298507462693,0.781094527363184,25,NormalForm(b)=b,NormalForm,0.1903409090909091,0.96,0.05,0.038872691933916424,3.390625,0.36940298507462693,0.0399734128192855,26.874101382488476,0.11209768591445107,0.21607453022931988,0.4828113636363637,0.2151802500236733,True,True,,0.5217808955223879
d66aa465c586a02f,"('NormalForm', '681b', 4)",1,1,1,6,6,3.0,0.4,0.55,0.0,25,"NormalForm(g(q(h(g(c,g(h(c)))))))=g(q(h(g(c,a))))",NormalForm,0.002840909090909091,0.04,0.3,0.0014577259475218659,8.390625,0.55,0.10304956268221574,0.052439478584729984,0.29046379008746354,0.17560140174927114,0.016961363636363636,0.04706385252401228,True,False,1.0,0.21094000000000002
bcd24a707d6de258,"('RewriteDistanceBucket', 2)",28,17,1,2,18,84.0,0.4000000000000001,0.6,0.3333333333333334,28,"RewriteDistanceBucket(g(q(h(g(c,g(h(c)))))))=2",RewriteDistanceBucket,0.07954545454545454,0.68,0.9,0.04081632653061224,20.4375,0.6,0.1913877551020408,1.479633027522936,0.3438661224489796,0.3953880489795919,0.30771818181818184,0.05298532078952966,True,False,2.0,0.44908000000000003
0ce7282c47f47f60,"('Derives', 2, '681b')",1,1,1,6,6,4.0,0.65,0.75,1.0,22,"Derives(g(q(h(g(c,g(h(c)))))),g(q(h(g(c,a)))))",Derives,0.002840909090909091,0.04,0.3,0.001943634596695821,8.34375,0.75,0.148399416909621,0.052734082397003744,0.43123172011661814,0.24374800233236155,0.016961363636363636,0.22875777070912678,True,True,,0.5717399999999999
7bb101d6d8a87056,"('CriticalPairParticipation', 4)",181,25,1,2,20,1121.0,1.0,0.65,0.9303867403314917,32,"CriticalPairParticipation(g(q(h(g(c,g(h(c)))))))",CriticalPairParticipation,0.5142045454545454,1.0,1.0,0.5447035957240038,22.5,0.65,0.6721865889212827,11.26222222222222,0.7656495626822157,0.8013872536443148,0.6988068181818181,0.08105862539996611,True,False,3.0,0.7120193370165746
182e0887eb8193ff,"('NormalForm', 'f0f6', 4)",1,1,1,8,8,3.0,0.4,0.55,0.0,25,"NormalForm(g(f(g(g(a),f(q(p(a),b),g(b))))))=g(f(g(a,f(q(p(a),b),c))))",NormalForm,0.002840909090909091,0.04,0.4,0.0014577259475218659,10.390625,0.55,0.11304956268221575,0.04234586466165414,0.29526379008746356,0.19104940174927115,0.016961363636363636,0.09100194228807398,True,False,1.0,0.22914
c2cfc7bc97bab7f9,"('Derives', 2, 'f0f6')",1,1,1,8,8,4.0,0.65,0.75,1.0,22,"Derives(g(f(g(g(a),f(q(p(a),b),g(b))))),g(f(g(a,f(q(p(a),b),c)))))",Derives,0.002840909090909091,0.04,0.4,0.001943634596695821,10.34375,0.75,0.158399416909621,0.04253776435045317,0.43603172011661806,0.2591960023323615,0.016961363636363636,0.18948794141948944,True,True,,0.5899399999999999
8654c88a259b0707,"('NormalForm', '09cc', 3)",1,1,1,3,3,1.0,0.0,0.35,0.0,25,"NormalForm(h(g(p(c),c)))=h(g(p(c),c))",NormalForm,0.002840909090909091,0.04,0.15,0.00048590864917395527,5.390625,0.35,0.015349854227405247,0.0816231884057971,0.08436793002915452,0.050182600583090375,0.016961363636363636,0.051036986684988114,True,False,1.0,0.15284
