feature_set,component,feature,loading
F1_real_metrics,1,M1_original_score,0.512398616843348
F1_real_metrics,1,M2_intervention_score,0.4693242473194697
F1_real_metrics,1,M3_reuse_score,0.490114122282289
F1_real_metrics,1,M4_compression_score,0.12492256017156568
F1_real_metrics,1,M5_perturbation_centrality_score,0.5112386032320728
F1_real_metrics,2,M1_original_score,0.10529448339228249
F1_real_metrics,2,M2_intervention_score,-0.27148710872948323
F1_real_metrics,2,M3_reuse_score,0.12291616091153469
F1_real_metrics,2,M4_compression_score,0.9272598673221041
F1_real_metrics,2,M5_perturbation_centrality_score,-0.20072014697439425
F1_real_metrics,3,M1_original_score,-0.2893193882030703
F1_real_metrics,3,M2_intervention_score,0.6387055465442125
F1_real_metrics,3,M3_reuse_score,-0.596268647052129
F1_real_metrics,3,M4_compression_score,0.34047356519408506
F1_real_metrics,3,M5_perturbation_centrality_score,0.19207021729074353
F1_real_metrics,4,M1_original_score,0.8010929237371579
F1_real_metrics,4,M2_intervention_score,-0.013336882490081935
F1_real_metrics,4,M3_reuse_score,-0.5328062133948697
F1_real_metrics,4,M4_compression_score,-0.08056675748932693
F1_real_metrics,4,M5_perturbation_centrality_score,-0.2601899145992691
F1_real_metrics,5,M1_original_score,0.03008568384182074
F1_real_metrics,5,M2_intervention_score,-0.5458084398860317
F1_real_metrics,5,M3_reuse_score,-0.3244395229263472
F1_real_metrics,5,M4_compression_score,0.0465858498437194
F1_real_metrics,5,M5_perturbation_centrality_score,0.7705561323710353
F2_real_plus_controls,1,M1_original_score,0.5047972652156508
F2_real_plus_controls,1,M2_intervention_score,0.42543227566805303
F2_real_plus_controls,1,M3_reuse_score,0.4845562363950762
F2_real_plus_controls,1,M4_compression_score,0.18929133505749107
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.4735735435110577
F2_real_plus_controls,1,M6_frequency_control_score,0.25899548245447945
F2_real_plus_controls,1,M7_random_matched_score,-0.0470168379205273
F2_real_plus_controls,2,M1_original_score,-0.016641094193055848
F2_real_plus_controls,2,M2_intervention_score,-0.3315074974278567
F2_real_plus_controls,2,M3_reuse_score,0.0003931508510490525
F2_real_plus_controls,2,M4_compression_score,0.647910850971335
F2_real_plus_controls,2,M5_perturbation_centrality_score,-0.2766941555455544
F2_real_plus_controls,2,M6_frequency_control_score,0.6225680505493909
F2_real_plus_controls,2,M7_random_matched_score,0.07672414536017613
F2_real_plus_controls,3,M1_original_score,0.003371931378976079
F2_real_plus_controls,3,M2_intervention_score,0.08913579724892981
F2_real_plus_controls,3,M3_reuse_score,-0.01624690062017375
F2_real_plus_controls,3,M4_compression_score,-0.018151440394524432
F2_real_plus_controls,3,M5_perturbation_centrality_score,0.05590124942025739
F2_real_plus_controls,3,M6_frequency_control_score,-0.031157614961079858
F2_real_plus_controls,3,M7_random_matched_score,0.993657011499746
F2_real_plus_controls,4,M1_original_score,-0.239374083682848
F2_real_plus_controls,4,M2_intervention_score,0.5485980438149215
F2_real_plus_controls,4,M3_reuse_score,-0.4979580176859384
F2_real_plus_controls,4,M4_compression_score,0.5619349930561992
F2_real_plus_controls,4,M5_perturbation_centrality_score,0.16109370227586534
F2_real_plus_controls,4,M6_frequency_control_score,-0.21950925523536266
F2_real_plus_controls,4,M7_random_matched_score,-0.06222231543208522
F2_real_plus_controls,5,M1_original_score,-0.030870665495931295
F2_real_plus_controls,5,M2_intervention_score,0.33078413339928997
F2_real_plus_controls,5,M3_reuse_score,-0.4494918865820472
F2_real_plus_controls,5,M4_compression_score,-0.475443535012492
F2_real_plus_controls,5,M5_perturbation_centrality_score,0.011987842618087573
F2_real_plus_controls,5,M6_frequency_control_score,0.67880116776865
F2_real_plus_controls,5,M7_random_matched_score,-0.02499228441213975
F3_all_internal,1,class_size,0.23587918508121988
F3_all_internal,1,object_diversity,0.21810772129837092
F3_all_internal,1,depth_min,0.07758875258884676
F3_all_internal,1,depth_max,0.1786306818486507
F3_all_internal,1,reuse_count,0.3070486158909843
F3_all_internal,1,role_score,0.22351234409813164
F3_all_internal,1,action_effect_score,0.21620540200514976
F3_all_internal,1,redundancy_score,0.19899150330883705
F3_all_internal,1,signature_len,-0.042627650886580735
F3_all_internal,1,frequency,0.2385514910518425
F3_all_internal,1,object_diversity_score,0.23286145492735297
F3_all_internal,1,depth_score,0.17863068184865064
F3_all_internal,1,reuse_rate,0.21721233609556018
F3_all_internal,1,complexity,0.1783714706112249
F3_all_internal,1,M2_intervention_score,0.21620540200514973
F3_all_internal,1,M3_reuse_score,0.3077151121081859
F3_all_internal,1,M4_compression_score,0.18155651961641658
F3_all_internal,1,M5_perturbation_centrality_score,0.25714082684297673
F3_all_internal,1,M1_original_score,0.3222137568634208
F3_all_internal,1,M6_frequency_control_score,0.24422017162514728
F3_all_internal,1,M7_random_matched_score,-0.021082112468076772
F3_all_internal,2,class_size,0.27998689694357043
F3_all_internal,2,object_diversity,0.27350305923749935
F3_all_internal,2,depth_min,-0.23450977481695706
F3_all_internal,2,depth_max,-0.1399576176756404
F3_all_internal,2,reuse_count,0.13959964347329987
F3_all_internal,2,role_score,-0.2581712297141268
F3_all_internal,2,action_effect_score,-0.2560079588898589
F3_all_internal,2,redundancy_score,-0.2174250861614409
F3_all_internal,2,signature_len,0.2973450420948841
F3_all_internal,2,frequency,0.2503825804317408
F3_all_internal,2,object_diversity_score,0.27504748434111914
F3_all_internal,2,depth_score,-0.13995761767564038
F3_all_internal,2,reuse_rate,0.17061742320318118
F3_all_internal,2,complexity,-0.13815745183056866
F3_all_internal,2,M2_intervention_score,-0.2560079588898588
F3_all_internal,2,M3_reuse_score,-0.09319611824199439
F3_all_internal,2,M4_compression_score,0.2521975968977231
F3_all_internal,2,M5_perturbation_centrality_score,-0.22959343920187988
F3_all_internal,2,M1_original_score,-0.11187556759507404
F3_all_internal,2,M6_frequency_control_score,0.27251365094126534
F3_all_internal,2,M7_random_matched_score,0.03743671464816602
F3_all_internal,3,class_size,-0.01981645420572097
F3_all_internal,3,object_diversity,-0.03787729002618045
F3_all_internal,3,depth_min,0.40579228882550206
F3_all_internal,3,depth_max,0.4305541179634285
F3_all_internal,3,reuse_count,-0.0675676229738166
F3_all_internal,3,role_score,-0.18210255738419762
F3_all_internal,3,action_effect_score,-0.2154425162396984
F3_all_internal,3,redundancy_score,-0.2340003325847563
F3_all_internal,3,signature_len,0.2399309031826968
F3_all_internal,3,frequency,0.018483541090803902
F3_all_internal,3,object_diversity_score,-0.017315084682780434
F3_all_internal,3,depth_score,0.4305541179634285
F3_all_internal,3,reuse_rate,0.018835944046439436
F3_all_internal,3,complexity,0.43200279108366396
F3_all_internal,3,M2_intervention_score,-0.2154425162396985
F3_all_internal,3,M3_reuse_score,0.008095349727653526
F3_all_internal,3,M4_compression_score,-0.049615888812109925
F3_all_internal,3,M5_perturbation_centrality_score,-0.15090333330971673
F3_all_internal,3,M1_original_score,0.0029061090092833983
F3_all_internal,3,M6_frequency_control_score,0.0005429086557805636
F3_all_internal,3,M7_random_matched_score,-0.08330894710996602
F3_all_internal,4,class_size,0.03289324678980597
F3_all_internal,4,object_diversity,0.06710432224372931
F3_all_internal,4,depth_min,0.07598809535667941
F3_all_internal,4,depth_max,0.056303498606795475
F3_all_internal,4,reuse_count,0.024016998573200252
F3_all_internal,4,role_score,-0.007851565840102189
F3_all_internal,4,action_effect_score,0.02068221924661134
F3_all_internal,4,redundancy_score,0.05397546667955069
F3_all_internal,4,signature_len,0.02082270530446011
F3_all_internal,4,frequency,-0.05462829780634693
F3_all_internal,4,object_diversity_score,0.044223312249831635
F3_all_internal,4,depth_score,0.05630349860679536
F3_all_internal,4,reuse_rate,-0.1400246941812616
F3_all_internal,4,complexity,0.056429087634120856
F3_all_internal,4,M2_intervention_score,0.020682219246611323
F3_all_internal,4,M3_reuse_score,-0.07221703250511644
F3_all_internal,4,M4_compression_score,0.011501806953457355
F3_all_internal,4,M5_perturbation_centrality_score,-0.01838963862974626
F3_all_internal,4,M1_original_score,-0.009861430265050368
F3_all_internal,4,M6_frequency_control_score,-0.004975778972561147
F3_all_internal,4,M7_random_matched_score,0.9715559131797772
F3_all_internal,5,class_size,-0.1443111845607838
F3_all_internal,5,object_diversity,-0.2720005720475891
F3_all_internal,5,depth_min,-0.08466744084086787
F3_all_internal,5,depth_max,-0.03908592404849812
F3_all_internal,5,reuse_count,-0.09441497835096622
F3_all_internal,5,role_score,-0.07145793420797716
F3_all_internal,5,action_effect_score,-0.17616017818652763
F3_all_internal,5,redundancy_score,-0.04435289498254372
F3_all_internal,5,signature_len,-0.19182155404990242
F3_all_internal,5,frequency,0.18710861164197548
F3_all_internal,5,object_diversity_score,-0.21174637816158356
F3_all_internal,5,depth_score,-0.03908592404849759
F3_all_internal,5,reuse_rate,0.7067925348629813
F3_all_internal,5,complexity,-0.04024630849289044
F3_all_internal,5,M2_intervention_score,-0.17616017818652763
F3_all_internal,5,M3_reuse_score,0.3583620809629649
F3_all_internal,5,M4_compression_score,-0.16024766533138815
F3_all_internal,5,M5_perturbation_centrality_score,0.012162999372340144
F3_all_internal,5,M1_original_score,0.05409944449852724
F3_all_internal,5,M6_frequency_control_score,-0.014013135400303738
F3_all_internal,5,M7_random_matched_score,0.20426130711425752
F1_success_cluster,1,M1_original_score,0.5894596016758826
F1_success_cluster,1,M3_reuse_score,0.578114895790319
F1_success_cluster,1,M5_perturbation_centrality_score,0.5641990298267608
F1_success_cluster,2,M1_original_score,-0.21421072442014388
F1_success_cluster,2,M3_reuse_score,-0.5615686675355164
F1_success_cluster,2,M5_perturbation_centrality_score,0.799221119081435
F1_success_cluster,3,M1_original_score,0.7788781313758312
F1_success_cluster,3,M3_reuse_score,-0.5919660454010285
F1_success_cluster,3,M5_perturbation_centrality_score,-0.20718363245382126
