source,k,target,r2,mae
F1_real_metrics,1,M1_original_score,0.9449898354508053,0.01666525212878875
F1_real_metrics,1,M3_reuse_score,0.8645809712052246,0.015624353306977557
F1_real_metrics,1,M5_perturbation_centrality_score,0.9407159744494191,0.020979084623363325
F1_real_metrics,1,mean_M1_M3_M5,0.916762260368483,0.017756230019709874
F1_real_metrics,2,M1_original_score,0.9566898260137832,0.014250494370790494
F1_real_metrics,2,M3_reuse_score,0.8805247863255331,0.013925809222295488
F1_real_metrics,2,M5_perturbation_centrality_score,0.9832323473791077,0.012409401576257027
F1_real_metrics,2,mean_M1_M3_M5,0.940148986572808,0.013528568389781004
F1_real_metrics,3,M1_original_score,0.9828950929190812,0.007658749484146638
F1_real_metrics,3,M3_reuse_score,0.9918305001290778,0.004097260634815013
F1_real_metrics,3,M5_perturbation_centrality_score,0.9947815916436354,0.006307066770154458
F1_real_metrics,3,mean_M1_M3_M5,0.9898357282305982,0.00602102562970537
F1_real_metrics,4,M1_original_score,0.999994794720679,0.00013070379594268058
F1_real_metrics,4,M3_reuse_score,0.999394670592771,0.001116599730578035
F1_real_metrics,4,M5_perturbation_centrality_score,0.9965854551103467,0.0048429744736240106
F1_real_metrics,4,mean_M1_M3_M5,0.9986583068079322,0.0020300926667149084
F1_real_metrics,5,M1_original_score,1.0,3.359279679071675e-17
F1_real_metrics,5,M3_reuse_score,1.0,3.115514034224697e-17
F1_real_metrics,5,M5_perturbation_centrality_score,1.0,1.1095653095631748e-16
F1_real_metrics,5,mean_M1_M3_M5,1.0,5.85681560297604e-17
F2_real_plus_controls,1,M1_original_score,0.9658978604056249,0.013872877976019101
F2_real_plus_controls,1,M3_reuse_score,0.8899909533684833,0.013783843934790768
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.8501040431751911,0.03690564994326211
F2_real_plus_controls,1,mean_M1_M3_M5,0.9019976189830997,0.021520790618023995
F2_real_plus_controls,2,M1_original_score,0.9663821089934576,0.013935545740475362
F2_real_plus_controls,2,M3_reuse_score,0.8899912236541687,0.013775661048103523
F2_real_plus_controls,2,M5_perturbation_centrality_score,0.9839806131965256,0.013586016072131822
F2_real_plus_controls,2,mean_M1_M3_M5,0.9467846486147172,0.013765740953570235
F2_real_plus_controls,3,M1_original_score,0.9663933938748108,0.0139208678602776
F2_real_plus_controls,3,M3_reuse_score,0.8902532111655692,0.013755720864184877
F2_real_plus_controls,3,M5_perturbation_centrality_score,0.9870821902218854,0.011576398374948404
F2_real_plus_controls,3,mean_M1_M3_M5,0.9479095984207552,0.013084329033136962
F2_real_plus_controls,4,M1_original_score,0.9854620349513487,0.009217986998105648
F2_real_plus_controls,4,M3_reuse_score,0.9727716390464873,0.004000750156484256
F2_real_plus_controls,4,M5_perturbation_centrality_score,0.9957183886408305,0.007095270276942785
F2_real_plus_controls,4,mean_M1_M3_M5,0.9846506875462223,0.006771335810510897
F2_real_plus_controls,5,M1_original_score,0.9855660115768712,0.008966000410662634
F2_real_plus_controls,5,M3_reuse_score,0.9948154891355572,0.003864750850248219
F2_real_plus_controls,5,M5_perturbation_centrality_score,0.9957340679094373,0.007000565455045089
F2_real_plus_controls,5,mean_M1_M3_M5,0.9920385228739552,0.006610438905318647
F3_all_internal,1,M1_original_score,0.9070846848230188,0.02177021006634961
F3_all_internal,1,M3_reuse_score,0.827289148479423,0.015629194153469406
F3_all_internal,1,M5_perturbation_centrality_score,0.577699177595742,0.07875677279610516
F3_all_internal,1,mean_M1_M3_M5,0.770691003632728,0.03871872567197473
F3_all_internal,2,M1_original_score,0.9840012966109676,0.00821493105372319
F3_all_internal,2,M3_reuse_score,0.8806650580872706,0.012276674625646642
F3_all_internal,2,M5_perturbation_centrality_score,0.9016421694944842,0.03785913833860245
F3_all_internal,2,mean_M1_M3_M5,0.922102841397574,0.019450248005990763
F3_all_internal,3,M1_original_score,0.9840281922287619,0.008238718164794018
F3_all_internal,3,M3_reuse_score,0.880873761213147,0.012257270328102763
F3_all_internal,3,M5_perturbation_centrality_score,0.974161767649701,0.017384923703232025
F3_all_internal,3,mean_M1_M3_M5,0.9463545736972033,0.012626970732042934
F3_all_internal,4,M1_original_score,0.984124227780926,0.008290971665941668
F3_all_internal,4,M3_reuse_score,0.8860240490247734,0.012647845104048566
F3_all_internal,4,M5_perturbation_centrality_score,0.9744957308483634,0.01731560459424063
F3_all_internal,4,mean_M1_M3_M5,0.948214669218021,0.012751473788076955
F3_all_internal,5,M1_original_score,0.9863274287315619,0.00782366197045054
F3_all_internal,5,M3_reuse_score,0.9826986968108935,0.006762216390220054
F3_all_internal,5,M5_perturbation_centrality_score,0.9746070961422576,0.01739475109689218
F3_all_internal,5,mean_M1_M3_M5,0.9812110738949044,0.010660209819187591
F1_success_cluster,1,M1_original_score,0.9732108374047552,0.010453362474820985
F1_success_cluster,1,M3_reuse_score,0.9361106002736309,0.011923258598250538
F1_success_cluster,1,M5_perturbation_centrality_score,0.8915865615211844,0.03242973818501262
F1_success_cluster,1,mean_M1_M3_M5,0.9336359997331902,0.018268786419361385
F1_success_cluster,2,M1_original_score,0.9809018636073642,0.007131332052177307
F1_success_cluster,2,M3_reuse_score,0.9889682207343045,0.004293716800988314
F1_success_cluster,2,M5_perturbation_centrality_score,0.9986486655261159,0.0027443290136982615
F1_success_cluster,2,mean_M1_M3_M5,0.9895062499559281,0.004723125955621295
F1_success_cluster,3,M1_original_score,1.0,8.696637407053395e-17
F1_success_cluster,3,M3_reuse_score,1.0,7.539469969879293e-17
F1_success_cluster,3,M5_perturbation_centrality_score,1.0,6.024669967752627e-17
F1_success_cluster,3,mean_M1_M3_M5,1.0,7.420259114895105e-17
