,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score
class_size,1.0,0.8468429597491555,,-0.17487988506955174,-0.17487988506955174,0.7876411192512263,-0.09336168445510054,-0.14553766879067695,-0.13762919588076458,0.3998016747765301,1.0,0.8468429597491552,-0.17487988506955174,0.7876411192512257,-0.1451518578840585,-0.14553766879067695,0.6488627407286927,0.9774187240384443,0.3081797287000418,0.5883856233802962,0.9700899214617326,0.027170751686008292
object_diversity,0.8468429597491555,1.0,,-0.16176178109266778,-0.16176178109266778,0.864683131011555,-0.006803496135135127,-0.11609183244475556,-0.14541160877451795,0.32056139770306064,0.8468429597491564,1.0,-0.16176178109266778,0.8646831310115548,-0.13825257898803525,-0.11609183244475556,0.7441660400571454,0.8380577210333234,0.4215782763140108,0.7159463978418364,0.9506165033518569,0.08708774088105717
operator_diversity,,,,,,,,,,,,,,,,,,,,,,
depth_min,-0.17487988506955174,-0.16176178109266778,,1.0,1.0,-0.08138218012563454,0.30427443788364694,0.041140015726441166,-0.042561362717578766,-0.22576920055894556,-0.1748798850695517,-0.1617617810926678,1.0,-0.08138218012563457,0.996882496603462,0.041140015726441166,0.2067652409831893,-0.18428446792692574,0.307262097415519,0.3571182631363394,-0.17588669398510226,-0.09757667550508625
depth_max,-0.17487988506955174,-0.16176178109266778,,1.0,1.0,-0.08138218012563454,0.30427443788364694,0.041140015726441166,-0.042561362717578766,-0.22576920055894556,-0.1748798850695517,-0.1617617810926678,1.0,-0.08138218012563457,0.996882496603462,0.041140015726441166,0.2067652409831893,-0.18428446792692574,0.307262097415519,0.3571182631363394,-0.17588669398510226,-0.09757667550508625
reuse_count,0.7876411192512263,0.864683131011555,,-0.08138218012563454,-0.08138218012563454,1.0,0.153740852775578,0.08919329478634438,-0.05454126568031531,0.40290322380313015,0.7876411192512252,0.8646831310115541,-0.08138218012563452,0.9999999999999984,-0.049984788412568884,0.08919329478634438,0.9251972155787844,0.7766718370642595,0.6674880550577613,0.8436974761736289,0.8543062031873004,0.046602421847126096
role_score,-0.09336168445510054,-0.006803496135135127,,0.30427443788364694,0.30427443788364694,0.153740852775578,1.0,-0.2637421741749836,0.20689066127049388,-0.24990777085562238,-0.09336168445510065,-0.006803496135134916,0.30427443788364694,0.15374085277557797,0.28864920781513753,-0.2637421741749836,0.4687339483226527,-0.05009395420217062,0.7947268232928213,0.543075448216501,-0.05758841151518912,0.012039307922059305
action_effect_score,-0.14553766879067695,-0.11609183244475556,,0.041140015726441166,0.041140015726441166,0.08919329478634438,-0.2637421741749836,1.0,0.11264427574224721,0.560359064945225,-0.14553766879067692,-0.11609183244475564,0.04114001572644118,0.0891932947863443,0.0871484188813298,1.0,0.017115821936474776,-0.17673638064154382,0.07944188553307917,-0.02320448187915276,-0.13791858540688,-0.00824162722843692
redundancy_score,-0.13762919588076458,-0.14541160877451795,,-0.042561362717578766,-0.042561362717578766,-0.05454126568031531,0.20689066127049388,0.11264427574224721,1.0,0.2169785662330695,-0.1376291958807643,-0.14541160877451778,-0.04256136271757877,-0.05454126568031538,-0.025633481626826975,0.11264427574224718,-0.0015819699088740517,-0.15439548375702813,0.1413277285368893,-0.006340181504872119,-0.14668567851840317,-0.05949715202800823
signature_len,0.3998016747765301,0.32056139770306064,,-0.22576920055894556,-0.22576920055894556,0.40290322380313015,-0.24990777085562238,0.560359064945225,0.2169785662330695,1.0,0.39980167477653084,0.3205613977030603,-0.22576920055894564,0.40290322380312976,-0.148202016370756,0.5603590649452251,0.2503285613571879,0.3262387313851045,0.1323194492428489,0.17603645074397473,0.3796243694135549,0.0280583342495411
frequency,1.0,0.8468429597491564,,-0.1748798850695517,-0.1748798850695517,0.7876411192512252,-0.09336168445510065,-0.14553766879067692,-0.1376291958807643,0.39980167477653084,1.0,0.8468429597491549,-0.17487988506955177,0.7876411192512252,-0.14515185788405846,-0.14553766879067684,0.6488627407286931,0.9774187240384449,0.30817972870004195,0.588385623380296,0.9700899214617318,0.0271707516860083
object_diversity_score,0.8468429597491552,1.0,,-0.1617617810926678,-0.1617617810926678,0.8646831310115541,-0.006803496135134916,-0.11609183244475564,-0.14541160877451778,0.3205613977030603,0.8468429597491549,1.0,-0.16176178109266778,0.8646831310115544,-0.13825257898803517,-0.1160918324447556,0.7441660400571458,0.8380577210333239,0.42157827631401046,0.715946397841835,0.9506165033518558,0.08708774088105703
depth_score,-0.17487988506955174,-0.16176178109266778,,1.0,1.0,-0.08138218012563452,0.30427443788364694,0.04114001572644118,-0.04256136271757877,-0.22576920055894564,-0.17487988506955177,-0.16176178109266778,1.0,-0.08138218012563457,0.996882496603462,0.041140015726441166,0.2067652409831893,-0.18428446792692574,0.307262097415519,0.3571182631363394,-0.17588669398510226,-0.09757667550508625
reuse_rate,0.7876411192512257,0.8646831310115548,,-0.08138218012563457,-0.08138218012563457,0.9999999999999984,0.15374085277557797,0.0891932947863443,-0.05454126568031538,0.40290322380312976,0.7876411192512252,0.8646831310115544,-0.08138218012563457,1.0,-0.0499847884125689,0.08919329478634433,0.9251972155787851,0.7766718370642596,0.6674880550577613,0.8436974761736277,0.8543062031873,0.04660242184712609
complexity,-0.1451518578840585,-0.13825257898803525,,0.996882496603462,0.996882496603462,-0.049984788412568884,0.28864920781513753,0.0871484188813298,-0.025633481626826975,-0.148202016370756,-0.14515185788405846,-0.13825257898803517,0.996882496603462,-0.0499847884125689,1.0,0.08714841888132979,0.2301759567140131,-0.1606570714478586,0.32263939013234283,0.3767924810979149,-0.1478081308733611,-0.0967842197120031
M2_intervention_score,-0.14553766879067695,-0.11609183244475556,,0.041140015726441166,0.041140015726441166,0.08919329478634438,-0.2637421741749836,1.0,0.11264427574224718,0.5603590649452251,-0.14553766879067684,-0.1160918324447556,0.041140015726441166,0.08919329478634433,0.08714841888132979,1.0,0.017115821936474776,-0.17673638064154382,0.07944188553307917,-0.02320448187915276,-0.13791858540688,-0.00824162722843692
M3_reuse_score,0.6488627407286927,0.7441660400571454,,0.2067652409831893,0.2067652409831893,0.9251972155787844,0.4687339483226527,0.017115821936474776,-0.0015819699088740517,0.2503285613571879,0.6488627407286931,0.7441660400571458,0.2067652409831893,0.9251972155787851,0.2301759567140131,0.017115821936474776,1.0,0.6488255986240086,0.8760954767787423,0.9764947695803889,0.7183123472638018,0.02588659973557133
M4_compression_score,0.9774187240384443,0.8380577210333234,,-0.18428446792692574,-0.18428446792692574,0.7766718370642595,-0.05009395420217062,-0.17673638064154382,-0.15439548375702813,0.3262387313851045,0.9774187240384449,0.8380577210333239,-0.18428446792692574,0.7766718370642596,-0.1606570714478586,-0.17673638064154382,0.6488255986240086,1.0,0.3259219332415767,0.5911679333665859,0.9529023603316195,0.026908244974349273
M5_perturbation_centrality_score,0.3081797287000418,0.4215782763140108,,0.307262097415519,0.307262097415519,0.6674880550577613,0.7947268232928213,0.07944188553307917,0.1413277285368893,0.1323194492428489,0.30817972870004195,0.42157827631401046,0.307262097415519,0.6674880550577613,0.32263939013234283,0.07944188553307917,0.8760954767787423,0.3259219332415767,1.0,0.8952865404981385,0.372263009141133,0.020723324912866107
M1_original_score,0.5883856233802962,0.7159463978418364,,0.3571182631363394,0.3571182631363394,0.8436974761736289,0.543075448216501,-0.02320448187915276,-0.006340181504872119,0.17603645074397473,0.588385623380296,0.715946397841835,0.3571182631363394,0.8436974761736277,0.3767924810979149,-0.02320448187915276,0.9764947695803889,0.5911679333665859,0.8952865404981385,1.0,0.670139562130673,0.023639336905332313
M6_frequency_control_score,0.9700899214617326,0.9506165033518569,,-0.17588669398510226,-0.17588669398510226,0.8543062031873004,-0.05758841151518912,-0.13791858540688,-0.14668567851840317,0.3796243694135549,0.9700899214617318,0.9506165033518558,-0.17588669398510226,0.8543062031873,-0.1478081308733611,-0.13791858540688,0.7183123472638018,0.9529023603316195,0.372263009141133,0.670139562130673,1.0,0.05560497409268136
M7_random_matched_score,0.027170751686008292,0.08708774088105717,,-0.09757667550508625,-0.09757667550508625,0.046602421847126096,0.012039307922059305,-0.00824162722843692,-0.05949715202800823,0.0280583342495411,0.0271707516860083,0.08708774088105703,-0.09757667550508625,0.04660242184712609,-0.0967842197120031,-0.00824162722843692,0.02588659973557133,0.026908244974349273,0.020723324912866107,0.023639336905332313,0.05560497409268136,1.0
