feature_set,component,feature,loading
F1_real_metrics,1,M1_original_score,0.5483503729041818
F1_real_metrics,1,M2_intervention_score,-0.014275471145075245
F1_real_metrics,1,M3_reuse_score,0.5521137893930599
F1_real_metrics,1,M4_compression_score,0.3834186457127165
F1_real_metrics,1,M5_perturbation_centrality_score,0.4972610834775766
F1_real_metrics,2,M1_original_score,0.03566986399209936
F1_real_metrics,2,M2_intervention_score,0.8978734631788926
F1_real_metrics,2,M3_reuse_score,0.045310873159691706
F1_real_metrics,2,M4_compression_score,-0.3741985756583964
F1_real_metrics,2,M5_perturbation_centrality_score,0.22466253731020547
F1_real_metrics,3,M1_original_score,-0.12563615563958186
F1_real_metrics,3,M2_intervention_score,0.43788404210337223
F1_real_metrics,3,M3_reuse_score,-0.005907110623832388
F1_real_metrics,3,M4_compression_score,0.774237824550413
F1_real_metrics,3,M5_perturbation_centrality_score,-0.4393108456968035
F1_real_metrics,4,M1_original_score,-0.4943807254506139
F1_real_metrics,4,M2_intervention_score,-0.004683073788140119
F1_real_metrics,4,M3_reuse_score,-0.37659165404920103
F1_real_metrics,4,M4_compression_score,0.3242183115357534
F1_real_metrics,4,M5_perturbation_centrality_score,0.7131808884765571
F1_real_metrics,5,M1_original_score,-0.6616968974067066
F1_real_metrics,5,M2_intervention_score,-0.0430707503281979
F1_real_metrics,5,M3_reuse_score,0.7424696091289572
F1_real_metrics,5,M4_compression_score,-0.0916724909414075
F1_real_metrics,5,M5_perturbation_centrality_score,-0.025242035436847846
F2_real_plus_controls,1,M1_original_score,0.485150468092184
F2_real_plus_controls,1,M2_intervention_score,-0.035938353333962954
F2_real_plus_controls,1,M3_reuse_score,0.4943328793329467
F2_real_plus_controls,1,M4_compression_score,0.40756228044335485
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.4075598293164939
F2_real_plus_controls,1,M6_frequency_control_score,0.4314959294604407
F2_real_plus_controls,1,M7_random_matched_score,0.023910215941524978
F2_real_plus_controls,2,M1_original_score,0.19024894428009761
F2_real_plus_controls,2,M2_intervention_score,0.6635679570540068
F2_real_plus_controls,2,M3_reuse_score,0.1712078922562351
F2_real_plus_controls,2,M4_compression_score,-0.4185337573986814
F2_real_plus_controls,2,M5_perturbation_centrality_score,0.428209182635092
F2_real_plus_controls,2,M6_frequency_control_score,-0.35947736077728276
F2_real_plus_controls,2,M7_random_matched_score,-0.08008233334503628
F2_real_plus_controls,3,M1_original_score,-0.009954719122087962
F2_real_plus_controls,3,M2_intervention_score,0.09251029583071264
F2_real_plus_controls,3,M3_reuse_score,-0.006410303402243003
F2_real_plus_controls,3,M4_compression_score,-0.03688462285451738
F2_real_plus_controls,3,M5_perturbation_centrality_score,0.010393706468084856
F2_real_plus_controls,3,M6_frequency_control_score,-0.0038666139069931803
F2_real_plus_controls,3,M7_random_matched_score,0.9948960757297393
F2_real_plus_controls,4,M1_original_score,-0.18704709703864078
F2_real_plus_controls,4,M2_intervention_score,0.73999122533585
F2_real_plus_controls,4,M3_reuse_score,-0.0901121426432581
F2_real_plus_controls,4,M4_compression_score,0.3777619842535041
F2_real_plus_controls,4,M5_perturbation_centrality_score,-0.3626789605092892
F2_real_plus_controls,4,M6_frequency_control_score,0.36380845470724343
F2_real_plus_controls,4,M7_random_matched_score,-0.05205223149770335
F2_real_plus_controls,5,M1_original_score,-0.4102292857184983
F2_real_plus_controls,5,M2_intervention_score,0.007975132188086468
F2_real_plus_controls,5,M3_reuse_score,-0.2673867426655682
F2_real_plus_controls,5,M4_compression_score,0.5747346825200444
F2_real_plus_controls,5,M5_perturbation_centrality_score,0.573818500122285
F2_real_plus_controls,5,M6_frequency_control_score,-0.3170309252542711
F2_real_plus_controls,5,M7_random_matched_score,0.007511744843000663
F3_all_internal,1,class_size,0.30455063890808926
F3_all_internal,1,object_diversity,0.2932144641583625
F3_all_internal,1,depth_min,-0.030928957279925832
F3_all_internal,1,depth_max,-0.030928957279925832
F3_all_internal,1,reuse_count,0.29963386123878877
F3_all_internal,1,role_score,0.044779871923162184
F3_all_internal,1,action_effect_score,-0.00704198298620619
F3_all_internal,1,redundancy_score,-0.01796753932525565
F3_all_internal,1,signature_len,0.1545790617057595
F3_all_internal,1,frequency,0.31168915004629183
F3_all_internal,1,object_diversity_score,0.3224275620782588
F3_all_internal,1,depth_score,-0.030928957279925832
F3_all_internal,1,reuse_rate,0.3227987544104993
F3_all_internal,1,complexity,-0.018878474568334525
F3_all_internal,1,M2_intervention_score,-0.007041982986206169
F3_all_internal,1,M3_reuse_score,0.29642120430493624
F3_all_internal,1,M4_compression_score,0.28961124621895074
F3_all_internal,1,M5_perturbation_centrality_score,0.20350884377170161
F3_all_internal,1,M1_original_score,0.2807271979930149
F3_all_internal,1,M6_frequency_control_score,0.32244153466496606
F3_all_internal,1,M7_random_matched_score,0.026543382049453182
F3_all_internal,2,class_size,-0.08303276664251082
F3_all_internal,2,object_diversity,-0.07145541633658331
F3_all_internal,2,depth_min,0.4310476956127776
F3_all_internal,2,depth_max,0.43104769561277767
F3_all_internal,2,reuse_count,0.02301511538292394
F3_all_internal,2,role_score,0.2539753431351962
F3_all_internal,2,action_effect_score,0.008022836274870297
F3_all_internal,2,redundancy_score,0.010800432395118631
F3_all_internal,2,signature_len,-0.11317662880126955
F3_all_internal,2,frequency,-0.075518931738671
F3_all_internal,2,object_diversity_score,-0.0490956074538821
F3_all_internal,2,depth_score,0.4310476956127778
F3_all_internal,2,reuse_rate,0.02171145216078939
F3_all_internal,2,complexity,0.42841942952572576
F3_all_internal,2,M2_intervention_score,0.008022836274870273
F3_all_internal,2,M3_reuse_score,0.1734126722882572
F3_all_internal,2,M4_compression_score,-0.07015758886856482
F3_all_internal,2,M5_perturbation_centrality_score,0.25120694871695065
F3_all_internal,2,M1_original_score,0.23634768276088577
F3_all_internal,2,M6_frequency_control_score,-0.06548937005568677
F3_all_internal,2,M7_random_matched_score,-0.04614860858821989
F3_all_internal,3,class_size,0.04679935592478228
F3_all_internal,3,object_diversity,0.03622808683548748
F3_all_internal,3,depth_min,0.036277572405752946
F3_all_internal,3,depth_max,0.036277572405752814
F3_all_internal,3,reuse_count,0.11137067080572793
F3_all_internal,3,role_score,-0.203090136053314
F3_all_internal,3,action_effect_score,0.5931132646446048
F3_all_internal,3,redundancy_score,0.1378658223670091
F3_all_internal,3,signature_len,0.4241581349185244
F3_all_internal,3,frequency,-0.06584255109962202
F3_all_internal,3,object_diversity_score,-0.06968844486374082
F3_all_internal,3,depth_score,0.036277572405752904
F3_all_internal,3,reuse_rate,0.040941876355246286
F3_all_internal,3,complexity,0.07118108688694065
F3_all_internal,3,M2_intervention_score,0.5931132646446047
F3_all_internal,3,M3_reuse_score,-0.01086971111183372
F3_all_internal,3,M4_compression_score,-0.11398929323842169
F3_all_internal,3,M5_perturbation_centrality_score,0.00785513808574026
F3_all_internal,3,M1_original_score,-0.033893605350398794
F3_all_internal,3,M6_frequency_control_score,-0.07710446469298504
F3_all_internal,3,M7_random_matched_score,-0.01464031298204375
F3_all_internal,4,class_size,-0.11537514322876247
F3_all_internal,4,object_diversity,-0.1237143969359591
F3_all_internal,4,depth_min,-0.21121679135200094
F3_all_internal,4,depth_max,-0.21121679135200092
F3_all_internal,4,reuse_count,-0.07523549468971963
F3_all_internal,4,role_score,0.5353499426157877
F3_all_internal,4,action_effect_score,0.04774813849335004
F3_all_internal,4,redundancy_score,0.42260486890610055
F3_all_internal,4,signature_len,0.020099966906809052
F3_all_internal,4,frequency,-0.15244051033114453
F3_all_internal,4,object_diversity_score,-0.09801570272020033
F3_all_internal,4,depth_score,-0.21121679135200105
F3_all_internal,4,reuse_rate,0.08978259478283662
F3_all_internal,4,complexity,-0.2127925800535697
F3_all_internal,4,M2_intervention_score,0.04774813849334991
F3_all_internal,4,M3_reuse_score,0.18367900532940856
F3_all_internal,4,M4_compression_score,-0.12870948523661438
F3_all_internal,4,M5_perturbation_centrality_score,0.42608714772838435
F3_all_internal,4,M1_original_score,0.14896698299909406
F3_all_internal,4,M6_frequency_control_score,-0.1401337923871234
F3_all_internal,4,M7_random_matched_score,0.04309686687609975
F3_all_internal,5,class_size,0.0030039806531208016
F3_all_internal,5,object_diversity,0.04938586908830337
F3_all_internal,5,depth_min,-0.00773798278625735
F3_all_internal,5,depth_max,-0.0077379827862573206
F3_all_internal,5,reuse_count,0.020956722957119728
F3_all_internal,5,role_score,0.0519788763228242
F3_all_internal,5,action_effect_score,0.07176539419805719
F3_all_internal,5,redundancy_score,-0.32573962773836174
F3_all_internal,5,signature_len,-0.08990042511380654
F3_all_internal,5,frequency,-0.0912328721321505
F3_all_internal,5,object_diversity_score,0.01694416143866131
F3_all_internal,5,depth_score,-0.007737982786257202
F3_all_internal,5,reuse_rate,0.007437373008894149
F3_all_internal,5,complexity,-0.015136533950744107
F3_all_internal,5,M2_intervention_score,0.07176539419805704
F3_all_internal,5,M3_reuse_score,0.019207794014135755
F3_all_internal,5,M4_compression_score,-0.09748505203416773
F3_all_internal,5,M5_perturbation_centrality_score,0.056904402957168226
F3_all_internal,5,M1_original_score,0.029662972757491236
F3_all_internal,5,M6_frequency_control_score,-0.05313694002300273
F3_all_internal,5,M7_random_matched_score,0.9187130548060076
F1_success_cluster,1,M1_original_score,0.5856981979952186
F1_success_cluster,1,M3_reuse_score,0.5818431743812497
F1_success_cluster,1,M5_perturbation_centrality_score,0.5642837418277302
F1_success_cluster,2,M1_original_score,-0.33251481569079033
F1_success_cluster,2,M3_reuse_score,-0.46242413328818643
F1_success_cluster,2,M5_perturbation_centrality_score,0.8219475763689491
F1_success_cluster,3,M1_original_score,0.7391830072527869
F1_success_cluster,3,M3_reuse_score,-0.6690459187369882
F1_success_cluster,3,M5_perturbation_centrality_score,-0.077369505686066
