source,k,target,r2,mae
F1_real_metrics,1,M1_original_score,0.9649177947958305,0.01441061109125438
F1_real_metrics,1,M3_reuse_score,0.9782080162189535,0.010892034901492952
F1_real_metrics,1,M5_perturbation_centrality_score,0.7934927685207436,0.025514538088616454
F1_real_metrics,1,mean_M1_M3_M5,0.9122061931785092,0.016939061360454595
F1_real_metrics,2,M1_original_score,0.9663090676391274,0.014509349894668901
F1_real_metrics,2,M3_reuse_score,0.9804530054593374,0.010262232984481867
F1_real_metrics,2,M5_perturbation_centrality_score,0.848684080775433,0.023856163909040773
F1_real_metrics,2,mean_M1_M3_M5,0.9318153846246325,0.01620924892939718
F1_real_metrics,3,M1_original_score,0.9760043850397059,0.013043095243708142
F1_real_metrics,3,M3_reuse_score,0.9804744384592274,0.010356113705465086
F1_real_metrics,3,M5_perturbation_centrality_score,0.9672272691828102,0.012325786004820294
F1_real_metrics,3,mean_M1_M3_M5,0.9745686975605811,0.011908331651331172
F1_real_metrics,4,M1_original_score,0.9917470088234186,0.006523902578668123
F1_real_metrics,4,M3_reuse_score,0.989609162628284,0.008049538556572755
F1_real_metrics,4,M5_perturbation_centrality_score,0.9999879900298394,0.0002168080530787057
F1_real_metrics,4,mean_M1_M3_M5,0.993781387160514,0.004930083062773194
F1_real_metrics,5,M1_original_score,1.0,7.128312177607202e-17
F1_real_metrics,5,M3_reuse_score,1.0,1.9289738484956586e-17
F1_real_metrics,5,M5_perturbation_centrality_score,1.0,4.7238598053340576e-17
F1_real_metrics,5,mean_M1_M3_M5,1.0,4.5937152771456395e-17
F2_real_plus_controls,1,M1_original_score,0.9044398998913871,0.023104588399678137
F2_real_plus_controls,1,M3_reuse_score,0.9390004462574305,0.015140209903634929
F2_real_plus_controls,1,M5_perturbation_centrality_score,0.6382775173626445,0.03644254604203845
F2_real_plus_controls,1,mean_M1_M3_M5,0.8272392878371541,0.024895781448450505
F2_real_plus_controls,2,M1_original_score,0.9491841480260201,0.01897597878027184
F2_real_plus_controls,2,M3_reuse_score,0.9752364474415862,0.010279637667771862
F2_real_plus_controls,2,M5_perturbation_centrality_score,0.8649530558814139,0.021688687547061398
F2_real_plus_controls,2,mean_M1_M3_M5,0.9297912171163402,0.016981434665035034
F2_real_plus_controls,3,M1_original_score,0.9492830297297217,0.018967779028086478
F2_real_plus_controls,3,M3_reuse_score,0.9752774503902908,0.010287592204624552
F2_real_plus_controls,3,M5_perturbation_centrality_score,0.8650608509304569,0.021682799879184346
F2_real_plus_controls,3,mean_M1_M3_M5,0.929873777016823,0.01697939037063179
F2_real_plus_controls,4,M1_original_score,0.9775310895754525,0.012787425636548073
F2_real_plus_controls,4,M3_reuse_score,0.9818336672826985,0.009309485222548538
F2_real_plus_controls,4,M5_perturbation_centrality_score,0.9712625352481968,0.01177021428376967
F2_real_plus_controls,4,mean_M1_M3_M5,0.9768757640354493,0.01128904171428876
F2_real_plus_controls,5,M1_original_score,0.9899597236303516,0.007859822161134867
F2_real_plus_controls,5,M3_reuse_score,0.9871138605692408,0.00826592556314049
F2_real_plus_controls,5,M5_perturbation_centrality_score,0.9955800490584416,0.004756908950711784
F2_real_plus_controls,5,mean_M1_M3_M5,0.9908845444193446,0.006960885558329047
F3_all_internal,1,M1_original_score,0.6692227142028211,0.04968315937439486
F3_all_internal,1,M3_reuse_score,0.746139833723364,0.04506923485012844
F3_all_internal,1,M5_perturbation_centrality_score,0.35169667703898566,0.056015194552983566
F3_all_internal,1,mean_M1_M3_M5,0.5890197416550569,0.05025586292583562
F3_all_internal,2,M1_original_score,0.9412067434614882,0.01877558757402003
F3_all_internal,2,M3_reuse_score,0.8925604961869608,0.026982175389433406
F3_all_internal,2,M5_perturbation_centrality_score,0.6589552454159979,0.03932219442212726
F3_all_internal,2,mean_M1_M3_M5,0.8309074950214823,0.028359985795193565
F3_all_internal,3,M1_original_score,0.944238857670842,0.01815794889726646
F3_all_internal,3,M3_reuse_score,0.8928723463839296,0.02656633503645547
F3_all_internal,3,M5_perturbation_centrality_score,0.6591181066296475,0.039484601232367175
F3_all_internal,3,mean_M1_M3_M5,0.8320764368948064,0.028069628388696366
F3_all_internal,4,M1_original_score,0.9816201365822125,0.01042127958005486
F3_all_internal,4,M3_reuse_score,0.9497043737803315,0.01926543040586473
F3_all_internal,4,M5_perturbation_centrality_score,0.964941695463028,0.014442782365256483
F3_all_internal,4,mean_M1_M3_M5,0.965422068608524,0.014709830783725357
F3_all_internal,5,M1_original_score,0.9825216929880539,0.010288959123803804
F3_all_internal,5,M3_reuse_score,0.9500823970525054,0.019214758411339593
F3_all_internal,5,M5_perturbation_centrality_score,0.9682595344022134,0.013405648753176324
F3_all_internal,5,mean_M1_M3_M5,0.9669545414809243,0.014303122096106574
F1_success_cluster,1,M1_original_score,0.9717088351635613,0.012609384927305272
F1_success_cluster,1,M3_reuse_score,0.958959495328521,0.016475905720656103
F1_success_cluster,1,M5_perturbation_centrality_score,0.9019520519056033,0.019270858283929968
F1_success_cluster,1,mean_M1_M3_M5,0.9442067941325619,0.016118716310630447
F1_success_cluster,2,M1_original_score,0.9877330436971463,0.00862518648218136
