k,operation,persistence,tested
0,P0_identity,1.0,4478
1,P1_remove_edge,1.0,24136
1,P2_add_edge,1.0,35496
1,P3_reverse_edge,1.0,22056
1,P4_alpha_rename,1.0,17080
1,P5_split_mediator,1.0,22312
2,P1_remove_edge,1.0,28328
2,P2_add_edge,1.0,35704
2,P3_reverse_edge,1.0,27728
2,P4_alpha_rename,1.0,22680
2,P5_split_mediator,1.0,28616
3,P1_remove_edge,1.0,30576
3,P2_add_edge,1.0,35824
3,P3_reverse_edge,1.0,30896
3,P4_alpha_rename,1.0,25888
3,P5_split_mediator,1.0,31520
4,P1_remove_edge,1.0,32432
4,P2_add_edge,1.0,35816
4,P3_reverse_edge,1.0,32816
4,P4_alpha_rename,1.0,28432
4,P5_split_mediator,1.0,33184
