run,type,worse_world,worse_policy,worse_seed,worse_step,worse_mean_welfare,worse_min_zone_welfare,worse_spread_count,worse_total_mass,worse_shield_label,worse_future_collapse,worse_current_collapse,better_world,better_policy,better_seed,better_step,better_mean_welfare,better_min_zone_welfare,better_spread_count,better_total_mass,better_shield_label,better_future_collapse,better_current_collapse
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W5_monoculture_shock,response_to_aid,9606,0,0.840299,0.833757,0,268.304846,SAFE,True,False,W1_proxy_goodhart,consequence_plus_diversity,9606,92,0.938893,0.915954,0,271.748536,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,response_to_aid,9605,34,0.807927,0.723572,0,823.02607,SAFE,True,False,W5_monoculture_shock,consequence_neighbor,9605,49,0.991383,0.98156,0,1160.997102,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W1_proxy_goodhart,consequence_neighbor,9601,5,0.873035,0.704275,0,309.320355,SAFE,True,False,W5_monoculture_shock,feature_proxy,9601,20,0.992401,0.986245,0,496.52766,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,consequence_neighbor,9604,5,0.85303,0.655384,0,279.54179,SAFE,True,False,W3_catastrophe_ambiguity,consequence_plus_diversity,9602,64,0.954772,0.861527,0,282.887442,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,consequence_neighbor,9605,2,0.775062,0.593044,0,275.736824,SAFE,True,False,W4_scavenger_catastrophe,consequence_plus_diversity,9602,99,0.960933,0.935877,0,615.595666,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W1_proxy_goodhart,response_to_aid,9602,8,0.901633,0.814375,0,349.617749,SAFE,True,False,W6_mutation_corridor,action_channel_containment,9603,50,0.967586,0.917488,0,412.825357,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,feature_proxy,9602,15,0.961469,0.910408,0,413.749368,SAFE,True,False,W5_monoculture_shock,feature_proxy,9604,26,0.989855,0.97917,0,583.757712,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,consequence_neighbor,9601,16,0.918619,0.843724,0,474.352221,SAFE,True,False,W5_monoculture_shock,response_to_aid,9605,49,0.991446,0.981004,0,1176.993466,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,response_to_aid,9605,5,0.86421,0.770356,0,309.419394,SAFE,True,False,W1_proxy_goodhart,action_channel_containment,9601,57,0.937514,0.873118,0,328.269594,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,consequence_neighbor,9602,1,0.799146,0.764823,0,262.130278,SAFE,True,False,W5_monoculture_shock,feature_proxy,9604,42,0.981814,0.955055,0,961.113718,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,feature_proxy,9601,9,0.805611,0.406007,0,348.776471,SAFE,True,False,W5_monoculture_shock,feature_proxy,9602,17,0.994116,0.985118,0,440.700198,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,response_to_aid,9605,28,0.669486,0.400375,0,796.251691,SAFE,True,False,W5_monoculture_shock,consequence_neighbor,9605,39,0.993669,0.986618,0,862.124785,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,feature_proxy,9604,6,0.807567,0.455234,0,312.590318,SAFE,True,False,W4_scavenger_catastrophe,action_channel_containment,9602,20,0.92665,0.854208,0,435.820384,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,consequence_neighbor,9600,0,0.635031,0.423698,0,233.802648,SAFE,True,False,W2_pure_capture,action_channel_containment,9603,3,0.781903,0.676576,0,283.950466,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W2_pure_capture,feature_proxy,9602,5,0.86884,0.645058,0,319.16589,SAFE,True,False,W4_scavenger_catastrophe,consequence_plus_diversity,9600,15,0.947652,0.818249,0,333.930717,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,response_to_aid,9605,16,0.97846,0.942961,0,427.22051,SAFE,True,False,W5_monoculture_shock,feature_proxy,9600,35,0.989781,0.980505,0,778.939699,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W5_monoculture_shock,action_channel_containment,9600,54,0.682253,0.433526,0,41.803061,SAFE,True,False,W6_mutation_corridor,action_channel_containment,9606,37,0.982163,0.939823,0,310.41149,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,feature_proxy,9604,15,0.878835,0.744726,0,409.197734,SAFE,True,False,W5_monoculture_shock,consequence_neighbor,9607,20,0.992349,0.986514,0,492.370768,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W2_pure_capture,response_to_aid,9600,10,0.865892,0.767986,0,403.346259,SAFE,True,False,W5_monoculture_shock,feature_proxy,9606,27,0.991294,0.9799,0,611.499342,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W4_scavenger_catastrophe,feature_proxy,9601,9,0.805611,0.406007,0,348.776471,SAFE,True,False,W6_mutation_corridor,action_channel_containment,9600,50,0.97407,0.938157,0,422.996098,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W2_pure_capture,feature_proxy,9607,8,0.875721,0.675473,0,358.236962,SAFE,True,False,W4_scavenger_catastrophe,action_channel_containment,9604,96,0.942545,0.866757,0,527.367921,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W1_proxy_goodhart,response_to_aid,9605,0,0.722663,0.693151,0,254.948304,SAFE,True,False,W1_proxy_goodhart,consequence_plus_diversity,9601,76,0.929641,0.788559,0,266.041768,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,response_to_aid,9603,3,0.768102,0.638674,0,260.307492,SAFE,True,False,W6_mutation_corridor,action_channel_containment,9607,33,0.951857,0.907695,0,462.077758,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W1_proxy_goodhart,feature_proxy,9605,13,0.871356,0.803638,0,427.522442,SAFE,True,False,W5_monoculture_shock,feature_proxy,9604,46,0.975441,0.929654,0,1090.046189,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,consequence_neighbor,9604,13,0.980988,0.950204,0,387.470571,SAFE,True,False,W5_monoculture_shock,feature_proxy,9602,17,0.994116,0.985118,0,440.700198,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W2_pure_capture,feature_proxy,9602,0,0.715433,0.616318,0,266.999818,SAFE,True,False,W4_scavenger_catastrophe,action_channel_containment,9603,42,0.962878,0.902446,0,399.293459,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,response_to_aid,9607,8,0.919915,0.809802,0,314.112558,SAFE,True,False,W6_mutation_corridor,consequence_plus_diversity,9603,44,0.97598,0.935475,0,367.657732,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,feature_proxy,9606,1,0.693675,0.443485,0,241.498842,SAFE,True,False,W4_scavenger_catastrophe,action_channel_containment,9601,57,0.989745,0.950546,0,254.248497,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W5_monoculture_shock,action_channel_containment,9600,54,0.682253,0.433526,0,41.803061,SAFE,True,False,W5_monoculture_shock,feature_proxy,9605,82,0.833096,0.66983,0,2782.949322,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W1_proxy_goodhart,response_to_aid,9602,0,0.716661,0.685516,0,255.174105,SAFE,True,False,W5_monoculture_shock,feature_proxy,9606,27,0.991294,0.9799,0,611.499342,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W2_pure_capture,response_to_aid,9602,4,0.83722,0.739812,0,312.670183,SAFE,True,False,W2_pure_capture,action_channel_containment,9604,37,0.905917,0.826612,0,406.301228,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W5_monoculture_shock,consequence_plus_diversity,9604,59,0.935359,0.860348,0,19.394884,SAFE,True,True,W2_pure_capture,consequence_plus_diversity,9601,49,0.98111,0.939268,0,187.020699,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,response_to_aid,9605,16,0.97846,0.942961,0,427.22051,SAFE,True,False,W5_monoculture_shock,feature_proxy,9600,34,0.99012,0.981199,0,754.604768,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W2_pure_capture,feature_proxy,9602,5,0.86884,0.645058,0,319.16589,SAFE,True,False,W3_catastrophe_ambiguity,action_channel_containment,9600,77,0.949694,0.877694,0,327.153513,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W6_mutation_corridor,response_to_aid,9606,15,0.976861,0.937225,0,418.072471,SAFE,True,False,W4_scavenger_catastrophe,consequence_plus_diversity,9602,90,0.985844,0.959085,0,449.510728,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,response_to_aid,9601,14,0.894603,0.751252,0,412.828303,SAFE,True,False,W4_scavenger_catastrophe,consequence_plus_diversity,9607,77,0.929674,0.763084,0,456.312564,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W3_catastrophe_ambiguity,feature_proxy,9600,4,0.812374,0.606311,0,267.491599,SAFE,True,False,W5_monoculture_shock,feature_proxy,9604,4,0.967874,0.920343,0,299.55329,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W5_monoculture_shock,action_channel_containment,9604,54,0.696368,0.42525,0,26.438629,SAFE,True,True,W6_mutation_corridor,consequence_plus_diversity,9602,78,0.96468,0.91022,0,423.199233,SAFE,False,False
baseline,fidelity_nonmonotone_worse_false_safe_better_not,W1_proxy_goodhart,response_to_aid,9605,0,0.722663,0.693151,0,254.948304,SAFE,True,False,W5_monoculture_shock,consequence_neighbor,9605,19,0.99669,0.992773,0,468.586095,SAFE,False,False
