run,world,policy,seed,step,current_mean_clause,current_spread_clause,current_mass_clause,current_collapse_clause,future_collapse_step,first_collapse_clause_triggered,shield_abstract_state,shield_c,shield_a,shield_label,mean_welfare,failed_zone_count,total_mass,min_zone_welfare,resource_hhi,capture_index,containment_active_count,containment_timer_max,containment_timer_sum,containment_events_this_step,delayed_obs_step,delayed_obs_mean_welfare,delayed_obs_min_welfare,delayed_obs_failed_zone_count,obs_last_aid_max,obs_last_aid_mean,obs_response_to_aid_min,obs_response_to_aid_mean,obs_neighbor_delta_min,obs_neighbor_delta_mean,obs_resource_concentration_max,obs_resource_concentration_mean,bad_consequence_count,allocation_max,allocation_min,allocation_gini,steps_to_future_collapse,assigned_witness_class,minimal_missing_information_candidate,eligible_layer_from_BA4_1,candidate_kind,confidence,reason
baseline,W1_proxy_goodhart,feature_proxy,9600,0,0,0,0,none,24,spread,"(5,16)",5,16,SAFE,0.72219938,0,254.67320272,0.64551787,0.11968227,0.39989209,0,0,0,0,0,0.67634483,0.62738154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70247934,0.60590035,0,0.18059641,0.03998803,0.27046187,24,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9600,1,0,0,0,none,24,spread,"(5,14)",5,14,SAFE,0.76574368,0,263.76347086,0.6626913,0.11980062,0.40287172,0,0,0,0,0,0.67634483,0.62738154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70247934,0.60590035,0,0.18059641,0.03998803,0.27046187,23,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9600,2,0,0,0,none,24,spread,"(5,11)",5,11,SAFE,0.80681488,0,273.36304733,0.67887724,0.11999208,0.40597231,0,0,0,0,0,0.67634483,0.62738154,0,0.0,0.0,0.0,0.0,0.0,0.0,0.70247934,0.60590035,0,0.18059641,0.03998803,0.27046187,22,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9600,3,0,0,0,none,24,spread,"(5,9)",5,9,SAFE,0.8404055,0,283.52210219,0.69386239,0.12018674,0.40948115,0,0,0,0,0,0.72219938,0.64551787,0,1.08357848,0.66666667,0.02763788,0.08521284,0.04314817,0.10408215,0.70281333,0.59172863,6,0.17778601,0.0423449,0.26601672,21,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,4,0,0,0,none,24,spread,"(5,8)",5,8,SAFE,0.86313879,0,294.35212664,0.70770542,0.12041534,0.41337356,0,0,0,0,1,0.76574368,0.6626913,0,1.08357848,0.66666667,0.02714981,0.08494395,0.03773586,0.09796498,0.69294544,0.58276904,6,0.1737063,0.04418076,0.2553836,20,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,5,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.87435671,0,305.87818118,0.72054441,0.12069854,0.41766509,0,0,0,0,2,0.80681488,0.67887724,0,1.08357848,0.66666667,0.0266458,0.0846816,0.03157819,0.09141392,0.68759807,0.57510362,6,0.17334569,0.04548496,0.24322232,19,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,6,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.87857329,0,318.17976465,0.73237651,0.1210636,0.42239781,0,0,0,0,3,0.8404055,0.69386239,0,1.06671608,0.66666667,0.02705571,0.0795947,0.02428654,0.07685804,0.67161964,0.55182655,3,0.17109446,0.04607295,0.22979058,18,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,7,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.88088673,0,331.1914761,0.74296708,0.12150021,0.4275553,0,0,0,0,4,0.86313879,0.70770542,0,1.04223778,0.66666667,0.02721239,0.07140784,0.02167479,0.0517413,0.66366869,0.53455329,3,0.1688934,0.04601094,0.21825234,17,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,8,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.88164249,0,345.05322016,0.75186056,0.12198521,0.43293431,0,0,0,0,5,0.87435671,0.72054441,0,1.04007416,0.66666667,0.02710221,0.06270349,0.00419518,0.02351922,0.65054755,0.51667376,2,0.17064276,0.04489832,0.21211304,16,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,9,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.88004559,0,359.81214413,0.75912897,0.12261249,0.43862188,0,0,0,0,6,0.87857329,0.73237651,0,1.02656677,0.66666667,0.02676107,0.05884767,-0.00990772,0.00752601,0.62418317,0.49341086,1,0.17215676,0.04497498,0.21317595,15,policy_visible_concentration_blind,Obs.resource_concentration > 0.62,conditional L2/L3,variable_threshold,medium,"Delayed policy-visible resource concentration crosses the bad-consequence threshold, distinct from reporting HHI."
baseline,W1_proxy_goodhart,feature_proxy,9600,10,0,0,0,none,24,spread,"(5,7)",5,7,SAFE,0.87577158,0,375.53449894,0.76494592,0.12330599,0.44470182,0,0,0,0,7,0.88088673,0.74296708,0,1.01336038,0.66666667,0.02617372,0.06039348,-0.01729669,0.00268749,0.61687488,0.48344477,0,0.17350728,0.0451989,0.2122557,14,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9600,11,0,0,0,none,24,spread,"(5,8)",5,8,SAFE,0.86650957,0,392.58048744,0.76939573,0.12412042,0.45121507,0,0,0,0,8,0.88164249,0.75186056,0,1.02385658,0.66666667,0.02521689,0.06262364,-0.02690671,-0.00180987,0.55351348,0.46411272,0,0.17247151,0.04554427,0.20827202,13,forward_dynamics_blind,bounded future reachability / time-to-collapse,L4 plus conditional L1 temporal,temporal,high,Current concrete state is not collapsed; false-safe status comes from later concrete collapse under future dynamics.
baseline,W1_proxy_goodhart,feature_proxy,9600,12,0,0,0,none,24,spread,"(6,9)",6,9,SAFE,0.8527506,0,410.97068783,0.74182411,0.12502978,0.4582185,0,0,0,0,9,0.88004559,0.75912897,0,1.03294055,0.66666667,0.02460835,0.06458846,-0.03935058,-0.00854362,0.5678559,0.45963301,1,0.17253173,0.04589599,0.20607505,12,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
baseline,W1_proxy_goodhart,feature_proxy,9600,13,0,0,0,none,24,spread,"(6,10)",6,10,SAFE,0.83401568,0,431.02506847,0.70262849,0.12616606,0.46559723,0,0,0,0,10,0.87577158,0.76494592,0,1.04104368,0.66666667,0.02403437,0.06648153,-0.05380852,-0.01635169,0.56811874,0.44973429,1,0.17198529,0.04612076,0.20545824,11,history_blind,delayed response_to_aid / neighbor_delta / last_aid,conditional L2/L3,temporal_policy_observation,medium,Delayed response/neighbor/last-aid history carries a harmful consequence signal absent from the 18.0 projection.
