predicate_id,family,name,definition,layer_eligibility,history_depth,kind,oracle,reporting_only,selected_iteration,selected_rank,marginal_train_false_safe_reduction
P_mean_collapse,current_collapse,mean_welfare < 0.32,mean_welfare < 0.32,L4 eligible,0,threshold,no,no,,,
P_failed_ge_4,current_collapse,failed_zone_count >= 4,failed_zone_count >= 4,L4 eligible,0,threshold,no,no,,,
P_mass_lt_35,current_collapse,total_mass < 35,total_mass < 35,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_4,risk_band,mean_welfare <= 0.4,mean_welfare <= 0.4,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_5,risk_band,mean_welfare <= 0.5,mean_welfare <= 0.5,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_6,risk_band,mean_welfare <= 0.6,mean_welfare <= 0.6,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_7,risk_band,mean_welfare <= 0.7,mean_welfare <= 0.7,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_8,risk_band,mean_welfare <= 0.8,mean_welfare <= 0.8,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_85,risk_band,mean_welfare <= 0.85,mean_welfare <= 0.85,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_9,risk_band,mean_welfare <= 0.9,mean_welfare <= 0.9,L4 eligible,0,threshold,no,no,,,
P_mean_le_0_95,risk_band,mean_welfare <= 0.95,mean_welfare <= 0.95,L4 eligible,0,threshold,no,no,,,
P_min_le_0_2,risk_band,min_zone_welfare <= 0.2,min_zone_welfare <= 0.2,L4 eligible,0,threshold,no,no,,,
P_min_le_0_4,risk_band,min_zone_welfare <= 0.4,min_zone_welfare <= 0.4,L4 eligible,0,threshold,no,no,,,
P_min_le_0_6,risk_band,min_zone_welfare <= 0.6,min_zone_welfare <= 0.6,L4 eligible,0,threshold,no,no,,,
P_min_le_0_8,risk_band,min_zone_welfare <= 0.8,min_zone_welfare <= 0.8,L4 eligible,0,threshold,no,no,,,
P_min_le_0_9,risk_band,min_zone_welfare <= 0.9,min_zone_welfare <= 0.9,L4 eligible,0,threshold,no,no,,,
P_min_le_0_96,risk_band,min_zone_welfare <= 0.96,min_zone_welfare <= 0.96,L4 eligible,0,threshold,no,no,,,
P_failed_ge_1,risk_band,failed_zone_count >= 1,failed_zone_count >= 1,L4 eligible,0,threshold,no,no,,,
